Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Magnetic Flux Density (T)
13	-0.28	0.	3.5e-002	0.65149
14	-0.25455	0.	3.5e-002	1.1783
15	-0.22909	0.	3.5e-002	1.9594
16	-0.20364	0.	3.5e-002	2.2057
17	-0.17818	0.	3.5e-002	2.4135
18	-0.15273	0.	3.5e-002	2.4902
19	-0.12727	0.	3.5e-002	2.4582
20	-0.10182	0.	3.5e-002	2.4101
21	-7.6364e-002	0.	3.5e-002	2.1432
22	-5.0909e-002	0.	3.5e-002	1.8714
23	0.	0.	3.5e-002	0.7045
24	-2.5455e-002	0.	3.5e-002	1.1956
95	-2.5455e-002	0.	-3.5e-002	1.1901
96	0.	0.	-3.5e-002	0.69617
97	-5.0909e-002	0.	-3.5e-002	1.8323
98	-7.6364e-002	0.	-3.5e-002	2.1216
99	-0.10182	0.	-3.5e-002	2.4101
100	-0.12727	0.	-3.5e-002	2.4532
101	-0.15273	0.	-3.5e-002	2.4638
102	-0.17818	0.	-3.5e-002	2.4108
103	-0.20364	0.	-3.5e-002	2.1942
104	-0.22909	0.	-3.5e-002	1.9688
105	-0.25455	0.	-3.5e-002	1.2001
106	-0.28	0.	-3.5e-002	0.70832
462	0.	0.	0.	0.74563
463	-0.28	0.	0.	0.73223
909	-3.8182e-002	0.	0.	1.7164
910	-8.9091e-002	0.	0.	2.3537
911	-0.14664	0.	6.0377e-019	2.4596
912	-0.19091	0.	0.	2.3298
913	-0.23541	0.	-4.9893e-019	1.7889
2100	-0.26727	0.	3.5e-002	0.91492
2103	-0.28	0.	1.75e-002	0.69186
2108	-0.24182	0.	3.5e-002	1.5689
2110	-0.26727	0.	1.75e-002	0.95529
2111	-0.24498	0.	1.75e-002	1.4836
2114	-0.21636	0.	3.5e-002	2.0826
2116	-0.23225	0.	1.75e-002	1.8741
2118	-0.19091	0.	3.5e-002	2.3096
2120	-0.19727	0.	1.75e-002	2.2677
2121	-0.21952	0.	1.75e-002	1.9973
2125	-0.16545	0.	3.5e-002	2.4519
2127	-0.16241	0.	1.75e-002	2.4366
2128	-0.18455	0.	1.75e-002	2.3716
2130	-0.14	0.	3.5e-002	2.4742
2132	-0.14969	0.	1.75e-002	2.4749
2133	-0.11455	0.	3.5e-002	2.4342
2135	-0.10818	0.	1.75e-002	2.406
2136	-0.13696	0.	1.75e-002	2.4589
2138	-8.9091e-002	0.	3.5e-002	2.2767
2140	-9.5455e-002	0.	1.75e-002	2.3819
2142	-6.3636e-002	0.	3.5e-002	2.0073
2144	-5.7273e-002	0.	1.75e-002	1.9298
2145	-8.2727e-002	0.	1.75e-002	2.2484
2147	-3.8182e-002	0.	3.5e-002	1.5335
2149	-4.4545e-002	0.	1.75e-002	1.7939
2151	-1.2727e-002	0.	3.5e-002	0.95006
2154	0.	0.	1.75e-002	0.72507
2160	-1.2727e-002	0.	1.75e-002	0.97062
2161	-3.1818e-002	0.	1.75e-002	1.456
2568	-1.2727e-002	0.	-3.5e-002	0.94312
2569	-3.8182e-002	0.	-3.5e-002	1.5112
2571	-1.2727e-002	0.	-1.75e-002	0.96785
2572	-3.1818e-002	0.	-1.75e-002	1.4532
2578	0.	0.	-1.75e-002	0.7209
2583	-6.3636e-002	0.	-3.5e-002	1.9769
2585	-4.4545e-002	0.	-1.75e-002	1.7743
2587	-8.9091e-002	0.	-3.5e-002	2.2659
2589	-5.7273e-002	0.	-1.75e-002	1.919
2590	-8.2727e-002	0.	-1.75e-002	2.2377
2592	-0.11455	0.	-3.5e-002	2.4316
2594	-9.5455e-002	0.	-1.75e-002	2.3819
2596	-0.14	0.	-3.5e-002	2.4585
