Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Magnetic Flux Density (T)
95	-0.36	0.	4.5e-002	0.71952
96	-0.3375	0.	4.5e-002	1.1164
97	-0.315	0.	4.5e-002	1.5743
98	-0.27	0.	4.5e-002	2.0108
99	-0.225	0.	4.5e-002	2.2917
100	-0.18	0.	4.5e-002	2.3961
101	-0.135	0.	4.5e-002	2.333
102	-9.e-002	0.	4.5e-002	1.9728
103	-4.5e-002	0.	4.5e-002	1.5665
104	0.	0.	4.5e-002	0.8441
105	-2.25e-002	0.	4.5e-002	1.1908
169	-2.25e-002	0.	-4.5e-002	1.0584
170	0.	0.	-4.5e-002	0.62993
171	-4.5e-002	0.	-4.5e-002	1.6634
172	-9.e-002	0.	-4.5e-002	1.9598
173	-0.135	0.	-4.5e-002	2.335
174	-0.18	0.	-4.5e-002	2.3956
175	-0.225	0.	-4.5e-002	2.312
176	-0.27	0.	-4.5e-002	2.0569
177	-0.315	0.	-4.5e-002	1.5498
178	-0.3375	0.	-4.5e-002	1.0719
179	-0.36	0.	-4.5e-002	0.68397
541	0.	0.	0.	0.76271
542	-0.36	0.	0.	0.73672
971	-4.5e-002	0.	0.	1.5633
972	-0.315	0.	0.	1.5035
973	-0.1125	0.	0.	2.2392
974	-0.2025	0.	0.	2.3901
2490	-0.34875	0.	4.5e-002	0.91793
2492	-0.36	0.	2.25e-002	0.72812
2497	-0.32625	0.	4.5e-002	1.3453
2499	-0.34875	0.	2.25e-002	0.92653
2500	-0.32625	0.	2.25e-002	1.31
2503	-0.2925	0.	4.5e-002	1.7926
2505	-0.315	0.	2.25e-002	1.5389
2508	-0.2475	0.	4.5e-002	2.1513
2510	-0.27	0.	0.	2.0338
2511	-0.2925	0.	2.25e-002	1.7572
2514	-0.2025	0.	4.5e-002	2.3439
2516	-0.2475	0.	0.	2.1743
2517	-0.21375	0.	2.25e-002	2.3409
2519	-0.1575	0.	4.5e-002	2.3646
2521	-0.14625	0.	2.25e-002	2.3177
2522	-0.19125	0.	2.25e-002	2.3931
2525	-0.1125	0.	4.5e-002	2.1529
2527	-0.12375	0.	2.25e-002	2.2861
2529	-6.75e-002	0.	4.5e-002	1.7696
2531	-6.75e-002	0.	2.25e-002	1.7681
2532	-0.10125	0.	2.25e-002	2.106
2534	-3.375e-002	0.	4.5e-002	1.3786
2536	-4.5e-002	0.	2.25e-002	1.5649
2539	-1.125e-002	0.	4.5e-002	1.0174
2541	0.	0.	2.25e-002	0.8034
2547	-1.125e-002	0.	2.25e-002	0.97673
2548	-3.375e-002	0.	2.25e-002	1.377
2832	-1.125e-002	0.	-4.5e-002	0.84415
2833	-3.375e-002	0.	-4.5e-002	1.3609
2834	-1.125e-002	0.	-2.25e-002	0.91054
2835	-3.375e-002	0.	-2.25e-002	1.3109
2838	0.	0.	-2.25e-002	0.69632
2842	-6.75e-002	0.	-4.5e-002	1.8116
2843	-4.5e-002	0.	-2.25e-002	1.6134
2845	-0.1125	0.	-4.5e-002	2.1474
2846	-6.75e-002	0.	-2.25e-002	1.7616
2847	-0.10125	0.	-2.25e-002	2.0995
2850	-0.1575	0.	-4.5e-002	2.3653
2851	-0.12375	0.	-2.25e-002	2.2871
2853	-0.2025	0.	-4.5e-002	2.3538
2854	-0.14625	0.	-2.25e-002	2.3174
2855	-0.19125	0.	-2.25e-002	2.3929
2858	-0.2475	0.	-4.5e-002	2.1845
2859	-0.21375	0.	-2.25e-002	2.3511
2861	-0.2925	0.	-4.5e-002	1.8033
2862	-0.2925	0.	-2.25e-002	1.7802
2863	-0.23625	0.	-2.25e-002	2.2235
2867	-0.32625	0.	-4.5e-002	1.3109
2868	-0.315	0.	-2.25e-002	1.5267
2871	-0.34875	0.	-4.5e-002	0.87792
2872	-0.34875	0.	-2.25e-002	0.9043
2873	-0.32625	0.	-2.25e-002	1.2877
2878	-0.36	0.	-2.25e-002	0.71034
5067	-2.25e-002	0.	0.	1.163
5077	-0.3375	0.	0.	1.1201
7961	-7.875e-002	0.	0.	1.9013
7973	-0.1575	0.	0.	2.3147
64	-0.3375	0.	-5.625e-002	3.3582e-002
65	-0.315	0.	-5.625e-002	-3.8198e-002
66	-0.27	0.	-5.625e-002	-4.9268e-002
67	-0.225	0.	-5.625e-002	-5.1186e-002
68	-0.18	0.	-5.625e-002	-4.8802e-002
69	-0.135	0.	-5.625e-002	-5.0779e-002
70	-9.e-002	0.	-5.625e-002	-4.8793e-002
71	-4.5e-002	0.	-5.625e-002	-3.9302e-002
72	-2.25e-002	0.	-5.625e-002	3.2054e-002
73	-2.25e-002	0.	5.625e-002	3.3151e-002
74	-4.5e-002	0.	5.625e-002	-3.8634e-002
75	-9.e-002	0.	5.625e-002	-4.8729e-002
76	-0.135	0.	5.625e-002	-5.0515e-002
77	-0.18	0.	5.625e-002	-4.9068e-002
78	-0.225	0.	5.625e-002	-5.1514e-002
79	-0.27	0.	5.625e-002	-4.8571e-002
80	-0.315	0.	5.625e-002	-3.8394e-002
81	-0.3375	0.	5.625e-002	3.1518e-002
82	0.	0.	5.625e-002	9.8798e-002
83	0.	0.	6.75e-002	5.8426e-002
84	-2.25e-002	0.	6.75e-002	1.0488e-002
85	-4.5e-002	0.	6.75e-002	-5.33e-002
86	-9.e-002	0.	6.75e-002	-7.3998e-002
87	-0.135	0.	6.75e-002	-7.8128e-002
88	-0.18	0.	6.75e-002	-7.8408e-002
89	-0.225	0.	6.75e-002	-7.9444e-002
90	-0.27	0.	6.75e-002	-7.3635e-002
91	-0.315	0.	6.75e-002	-5.3145e-002
92	-0.3375	0.	6.75e-002	8.8481e-003
93	-0.36	0.	5.625e-002	9.5919e-002
94	-0.36	0.	6.75e-002	5.62e-002
95	-0.36	0.	4.5e-002	0.13564
96	-0.3375	0.	4.5e-002	5.4188e-002
97	-0.315	0.	4.5e-002	-2.3642e-002
98	-0.27	0.	4.5e-002	-2.3506e-002
99	-0.225	0.	4.5e-002	-2.3583e-002
100	-0.18	0.	4.5e-002	-1.9727e-002
101	-0.135	0.	4.5e-002	-2.2902e-002
102	-9.e-002	0.	4.5e-002	-2.346e-002
