Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Magnetic Flux Density (T)
13	-0.24	0.	3.e-002	0.82738
14	-0.21818	0.	3.e-002	1.4238
15	-0.19636	0.	3.e-002	1.9753
16	-0.17455	0.	3.e-002	2.315
17	-0.15273	0.	3.e-002	2.4452
18	-0.13091	0.	3.e-002	2.501
19	-0.10909	0.	3.e-002	2.4984
20	-8.7273e-002	0.	3.e-002	2.4446
21	-6.5455e-002	0.	3.e-002	2.2889
22	-4.3636e-002	0.	3.e-002	2.0759
23	0.	0.	3.e-002	0.83261
24	-2.1818e-002	0.	3.e-002	1.3634
95	-2.1818e-002	0.	-3.e-002	1.3558
96	0.	0.	-3.e-002	0.7366
97	-4.3636e-002	0.	-3.e-002	1.9599
98	-6.5455e-002	0.	-3.e-002	2.3047
99	-8.7273e-002	0.	-3.e-002	2.4604
100	-0.10909	0.	-3.e-002	2.52
101	-0.13091	0.	-3.e-002	2.5067
102	-0.15273	0.	-3.e-002	2.4461
103	-0.17455	0.	-3.e-002	2.3168
104	-0.19636	0.	-3.e-002	2.0201
105	-0.21818	0.	-3.e-002	1.3622
106	-0.24	0.	-3.e-002	0.75705
462	0.	0.	0.	0.7855
463	-0.24	0.	0.	0.7931
916	-3.8218e-002	0.	-2.4947e-019	1.8184
917	-7.6364e-002	0.	0.	2.3789
918	-0.12	0.	0.	2.4955
919	-0.16933	0.	0.	2.3437
920	-0.20727	0.	0.	1.7318
2128	-0.22909	0.	3.e-002	1.1256
2130	-0.24	0.	1.5e-002	0.81024
2137	-0.20727	0.	3.e-002	1.6995
2139	-0.22909	0.	1.5e-002	1.1084
2140	-0.21273	0.	1.5e-002	1.5778
2143	-0.18545	0.	3.e-002	2.1451
2145	-0.18285	0.	1.5e-002	2.1595
2146	-0.20182	0.	1.5e-002	1.8536
2149	-0.16364	0.	3.e-002	2.3801
2151	-0.17194	0.	1.5e-002	2.3293
2154	-0.14182	0.	3.e-002	2.4731
2156	-0.13636	0.	1.5e-002	2.4703
2157	-0.16103	0.	1.5e-002	2.3944
2160	-0.12	0.	3.e-002	2.4997
2162	-0.12545	0.	1.5e-002	2.4982
2165	-9.8182e-002	0.	3.e-002	2.4715
2167	-0.11455	0.	1.5e-002	2.497
2170	-7.6364e-002	0.	3.e-002	2.3668
2172	-8.1818e-002	0.	1.5e-002	2.4117
2173	-0.10364	0.	1.5e-002	2.47
2176	-5.4545e-002	0.	3.e-002	2.1824
2178	-5.1836e-002	0.	1.5e-002	2.0537
2179	-7.0909e-002	0.	1.5e-002	2.3339
2182	-3.2727e-002	0.	3.e-002	1.7196
2184	-4.0927e-002	0.	1.5e-002	1.9471
2186	-1.0909e-002	0.	3.e-002	1.098
2188	0.	0.	1.5e-002	0.80905
2195	-1.0909e-002	0.	1.5e-002	1.0744
2196	-3.0018e-002	0.	1.5e-002	1.5909
2588	-1.0909e-002	0.	-3.e-002	1.0462
2589	-3.2727e-002	0.	-3.e-002	1.6578
2591	-1.0909e-002	0.	-1.5e-002	1.0706
2592	-3.0018e-002	0.	-1.5e-002	1.5871
2598	0.	0.	-1.5e-002	0.76105
2606	-5.4545e-002	0.	-3.e-002	2.1323
2608	-4.0927e-002	0.	-1.5e-002	1.8891
2611	-7.6364e-002	0.	-3.e-002	2.3825
2613	-5.1836e-002	0.	-1.5e-002	2.0616
2614	-7.0909e-002	0.	-1.5e-002	2.3418
2617	-9.8182e-002	0.	-3.e-002	2.4902
2619	-8.1818e-002	0.	-1.5e-002	2.4196
2620	-0.10364	0.	-1.5e-002	2.4779
2624	-0.12	0.	-3.e-002	2.5134
2626	-0.11455	0.	-1.5e-002	2.5078
2628	-0.14182	0.	-3.e-002	2.4764
2630	-0.12545	0.	-1.5e-002	2.5011
2633	-0.16364	0.	-3.e-002	2.3814
2635	-0.13636	0.	-1.5e-002	2.4708
2636	-0.16103	0.	-1.5e-002	2.3949
2639	-0.18545	0.	-3.e-002	2.1685
2641	-0.17194	0.	-1.5e-002	2.3302
2644	-0.20727	0.	-3.e-002	1.6911
2646	-0.18285	0.	-1.5e-002	2.1819
