Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Magnetic Flux Density (T)
9	-0.16	0.	2.e-002	0.8239
10	-0.13714	0.	2.e-002	1.7148
11	-0.11429	0.	2.e-002	2.4386
12	-9.1429e-002	0.	2.e-002	2.5721
13	-6.8571e-002	0.	2.e-002	2.5752
14	-4.5714e-002	0.	2.e-002	2.44
15	0.	0.	2.e-002	1.4213
16	-2.2857e-002	0.	2.e-002	2.0856
59	-2.2857e-002	0.	-2.e-002	1.372
60	0.	0.	-2.e-002	-0.61171
61	-4.5714e-002	0.	-2.e-002	2.408
62	-6.8571e-002	0.	-2.e-002	2.5641
63	-9.1429e-002	0.	-2.e-002	2.5675
64	-0.11429	0.	-2.e-002	2.4018
65	-0.13714	0.	-2.e-002	1.7676
66	-0.16	0.	-2.e-002	1.066
385	0.	0.	0.	0.72041
386	-0.16	0.	0.	0.77678
1875	-0.14857	0.	2.e-002	1.2694
1877	-0.16	0.	1.e-002	0.80034
1883	-0.12571	0.	2.e-002	2.0767
1885	-0.12571	0.	0.	2.0583
1886	-0.13714	0.	0.	1.7412
1887	-0.14857	0.	1.e-002	1.2458
1892	-0.10286	0.	2.e-002	2.5054
1894	-0.10286	0.	0.	2.5031
1895	-0.11429	0.	0.	2.4202
1898	-8.e-002	0.	2.e-002	2.5737
1900	-9.1429e-002	0.	0.	2.5698
1903	-5.7143e-002	0.	2.e-002	2.5076
1905	-6.8571e-002	0.	0.	2.5697
1906	-8.e-002	0.	0.	2.5714
1909	-3.4286e-002	0.	2.e-002	2.2628
1911	-4.5714e-002	0.	0.	2.424
1912	-5.7143e-002	0.	0.	2.5021
1915	-1.1429e-002	0.	2.e-002	1.7534
1917	0.	0.	1.e-002	1.0708
1922	-2.2857e-002	0.	0.	1.7288
1923	-3.4286e-002	0.	0.	2.2468
1924	-1.1429e-002	0.	1.e-002	1.403
2152	-1.1429e-002	0.	-2.e-002	0.38014
2153	-3.4286e-002	0.	-2.e-002	1.89
2155	-1.1429e-002	0.	-1.e-002	1.0462
2160	0.	0.	-1.e-002	5.4349e-002
2165	-5.7143e-002	0.	-2.e-002	2.4861
2169	-8.e-002	0.	-2.e-002	2.5658
2173	-0.10286	0.	-2.e-002	2.4846
2177	-0.12571	0.	-2.e-002	2.0847
2181	-0.14857	0.	-2.e-002	1.4168
2183	-0.14857	0.	-1.e-002	1.2722
2188	-0.16	0.	-1.e-002	0.9214
1	0.	0.	3.e-002	5.4038e-002
2	-2.2857e-002	0.	3.e-002	-1.4518e-002
3	-4.5714e-002	0.	3.e-002	-5.5625e-002
4	-6.8571e-002	0.	3.e-002	-1.8144e-002
5	-9.1429e-002	0.	3.e-002	-1.8211e-002
6	-0.11429	0.	3.e-002	-5.5894e-002
7	-0.13714	0.	3.e-002	-1.0568e-002
8	-0.16	0.	3.e-002	6.234e-002
9	-0.16	0.	2.e-002	6.234e-002
10	-0.13714	0.	2.e-002	-1.0568e-002
11	-0.11429	0.	2.e-002	-5.5894e-002
12	-9.1429e-002	0.	2.e-002	-1.8211e-002
13	-6.8571e-002	0.	2.e-002	-1.8144e-002
14	-4.5714e-002	0.	2.e-002	-5.5625e-002
15	0.	0.	2.e-002	5.4038e-002
16	-2.2857e-002	0.	2.e-002	-1.4518e-002
59	-2.2857e-002	0.	-2.e-002	-1.5724e-002
60	0.	0.	-2.e-002	4.8827e-002
61	-4.5714e-002	0.	-2.e-002	-5.4139e-002
62	-6.8571e-002	0.	-2.e-002	-1.7636e-002
63	-9.1429e-002	0.	-2.e-002	-1.8605e-002
64	-0.11429	0.	-2.e-002	-5.6509e-002
65	-0.13714	0.	-2.e-002	-1.5705e-002
66	-0.16	0.	-2.e-002	5.1666e-002
131	-0.13714	0.	-3.e-002	-1.5705e-002
132	-0.16	0.	-3.e-002	5.1666e-002
133	-0.11429	0.	-3.e-002	-5.6509e-002
134	-9.1429e-002	0.	-3.e-002	-1.8605e-002
135	-6.8571e-002	0.	-3.e-002	-1.7636e-002
136	-4.5714e-002	0.	-3.e-002	-5.4139e-002
137	-2.2857e-002	0.	-3.e-002	-1.5724e-002
138	0.	0.	-3.e-002	4.8827e-002
1815	-1.1429e-002	0.	3.e-002	1.976e-002
1816	0.	0.	2.5e-002	5.4038e-002
1825	-3.4286e-002	0.	3.e-002	-3.5072e-002
1826	-2.2857e-002	0.	2.5e-002	-1.4518e-002
1833	-5.7143e-002	0.	3.e-002	-3.6884e-002
1834	-4.5714e-002	0.	2.5e-002	-5.5625e-002
1842	-8.e-002	0.	3.e-002	-1.8178e-002
1843	-6.8571e-002	0.	2.5e-002	-1.8144e-002
