Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Magnetic Flux Density (T)
11162	0.	0.	1.e-002	0.59107
11163	0.	0.	0.	1.2875
11166	-8.e-002	0.	1.e-002	0.74961
11167	-8.e-002	0.	0.	1.2989
11168	-8.e-002	0.	-1.e-002	0.61502
11169	0.	0.	-1.e-002	0.66422
11444	-4.e-002	0.	1.e-002	2.7332
11445	-2.e-002	0.	1.e-002	2.2214
11446	-6.e-002	0.	1.e-002	2.1651
11447	-4.e-002	0.	-1.e-002	2.7246
11448	-6.e-002	0.	-1.e-002	2.1935
11449	-2.e-002	0.	-1.e-002	2.2242
12689	0.	0.	5.e-003	0.93929
12692	-1.e-002	0.	1.e-002	1.4062
12697	0.	0.	-5.e-003	0.97586
12699	-1.e-002	0.	5.e-003	1.7545
12700	-1.e-002	0.	-5.e-003	1.7559
12715	-8.e-002	0.	5.e-003	1.0242
12719	-7.e-002	0.	1.e-002	1.4573
12722	-8.e-002	0.	-5.e-003	0.95694
12726	-7.e-002	0.	5.e-003	1.732
12727	-7.e-002	0.	-5.e-003	1.7462
12734	-7.e-002	0.	-1.e-002	1.4043
12738	-1.e-002	0.	-1.e-002	1.4442
14332	-3.e-002	0.	1.e-002	2.4773
14333	-5.e-002	0.	1.e-002	2.4491
14334	-4.e-002	0.	0.	2.7289
14335	-5.e-002	0.	0.	2.4634
14342	-3.e-002	0.	0.	2.473
14343	-2.e-002	0.	0.	2.2228
14349	-6.e-002	0.	0.	2.1793
14353	-5.e-002	0.	-1.e-002	2.4591
14354	-3.e-002	0.	-1.e-002	2.4744
11162	0.	0.	1.e-002	-1.4182e-002
11166	-8.e-002	0.	1.e-002	0.20073
11168	-8.e-002	0.	-1.e-002	0.22877
11169	0.	0.	-1.e-002	-0.10012
11175	-8.e-002	0.	1.5e-002	3.1697e-002
11177	0.	0.	1.5e-002	0.20435
11178	0.	0.	-1.5e-002	0.21299
11179	-8.e-002	0.	-1.5e-002	1.7334e-003
11444	-4.e-002	0.	1.e-002	0.16137
11445	-2.e-002	0.	1.e-002	9.494e-003
11446	-6.e-002	0.	1.e-002	4.7029e-002
11447	-4.e-002	0.	-1.e-002	7.2303e-002
11448	-6.e-002	0.	-1.e-002	6.0808e-002
11449	-2.e-002	0.	-1.e-002	-9.2821e-002
11450	-4.e-002	0.	1.5e-002	3.2704e-002
11451	-6.e-002	0.	1.5e-002	9.561e-004
11452	-2.e-002	0.	1.5e-002	2.4851e-002
11453	-4.e-002	0.	-1.5e-002	6.17e-002
11454	-2.e-002	0.	-1.5e-002	-3.1918e-002
11455	-6.e-002	0.	-1.5e-002	6.3871e-003
12691	0.	0.	1.25e-002	9.5086e-002
12692	-1.e-002	0.	1.e-002	-2.3439e-003
12693	-1.e-002	0.	1.25e-002	5.3346e-003
12717	-8.e-002	0.	1.25e-002	0.11621
12719	-7.e-002	0.	1.e-002	0.12388
12732	-8.e-002	0.	-1.25e-002	0.11525
12734	-7.e-002	0.	-1.e-002	0.14479
12737	0.	0.	-1.25e-002	5.6435e-002
12738	-1.e-002	0.	-1.e-002	-9.6471e-002
12739	-1.e-002	0.	-1.25e-002	-6.602e-002
12780	-7.e-002	0.	1.25e-002	3.9363e-002
12781	-7.e-002	0.	1.5e-002	1.6327e-002
12798	-1.e-002	0.	1.5e-002	0.1146
12806	-1.e-002	0.	-1.5e-002	9.0537e-002
12813	-7.e-002	0.	-1.25e-002	3.1271e-002
12814	-7.e-002	0.	-1.5e-002	4.0602e-003
14332	-3.e-002	0.	1.e-002	8.5431e-002
14333	-5.e-002	0.	1.e-002	0.1042
14336	-4.e-002	0.	1.25e-002	9.7036e-002
14337	-5.e-002	0.	1.25e-002	8.1162e-002
14344	-3.e-002	0.	1.25e-002	2.1099e-002
14345	-2.e-002	0.	1.25e-002	1.7173e-002
14350	-6.e-002	0.	1.25e-002	2.3993e-002
14353	-5.e-002	0.	-1.e-002	6.6556e-002
14354	-3.e-002	0.	-1.e-002	-1.0259e-002
14355	-4.e-002	0.	-1.25e-002	6.7002e-002
14356	-5.e-002	0.	-1.25e-002	3.9345e-002
14361	-6.e-002	0.	-1.25e-002	3.3598e-002
14364	-3.e-002	0.	-1.25e-002	-1.556e-002
14365	-2.e-002	0.	-1.25e-002	-6.2369e-002
14368	-5.e-002	0.	1.5e-002	1.683e-002
14369	-3.e-002	0.	1.5e-002	2.8778e-002
14383	-3.e-002	0.	-1.5e-002	1.4891e-002
14384	-5.e-002	0.	-1.5e-002	3.4043e-002
11163	0.	0.	0.	0.66779
11167	-8.e-002	0.	0.	0.61676
11168	-8.e-002	0.	-1.e-002	0.35752
11169	0.	0.	-1.e-002	0.47598
11178	0.	0.	-1.5e-002	4.8125e-002
11179	-8.e-002	0.	-1.5e-002	5.513e-002
11254	1.	0.	-1.015	2.5876e-007
11255	1.	0.	0.	1.2412e-005
11256	1.	0.	-0.93042	5.5079e-007
11257	1.	0.	-0.84583	1.4695e-006
11258	1.	0.	-0.76125	2.3893e-006
11259	1.	0.	-0.67667	3.568e-006
11260	1.	0.	-0.59208	4.5335e-006
11261	1.	0.	-0.5075	5.6605e-006
11262	1.	0.	-0.42292	7.2473e-006
11263	1.	0.	-0.33833	8.4845e-006
11264	1.	0.	-0.25375	9.9892e-006
11265	1.	0.	-0.16917	1.1292e-005
11266	1.	0.	-8.4583e-002	1.2171e-005
11277	-1.08	0.	-1.015	3.2005e-007
11278	-0.98957	0.	-1.015	4.0984e-007
11279	-0.89913	0.	-1.015	4.8795e-007
11280	-0.8087	0.	-1.015	4.615e-007
11281	-0.71826	0.	-1.015	4.5858e-007
11282	-0.62783	0.	-1.015	3.1797e-007
11283	-0.53739	0.	-1.015	1.5972e-007
11284	-0.44696	0.	-1.015	-6.4346e-009
11285	-0.35652	0.	-1.015	-8.7437e-008
11286	-0.26609	0.	-1.015	-4.3795e-007
11287	-0.17565	0.	-1.015	-5.7697e-007
11288	-8.5217e-002	0.	-1.015	-6.4056e-007
11289	5.2174e-003	0.	-1.015	-8.415e-007
11290	9.5652e-002	0.	-1.015	-6.0654e-007
11291	0.18609	0.	-1.015	-6.3923e-007
11292	0.27652	0.	-1.015	-3.7707e-007
11293	0.36696	0.	-1.015	-6.4573e-008
11294	0.45739	0.	-1.015	2.1404e-007
11295	0.54783	0.	-1.015	2.7121e-007
11296	0.63826	0.	-1.015	3.1493e-007
11297	0.7287	0.	-1.015	4.1225e-007
11298	0.81913	0.	-1.015	3.1677e-007
11299	0.90957	0.	-1.015	3.4119e-007
11305	-1.08	0.	0.	1.2059e-005
11306	-1.08	0.	-8.4583e-002	1.2033e-005
11307	-1.08	0.	-0.16917	1.135e-005
11308	-1.08	0.	-0.25375	9.9832e-006
11309	-1.08	0.	-0.33833	8.9471e-006
11310	-1.08	0.	-0.42292	7.5346e-006
11311	-1.08	0.	-0.5075	5.6273e-006
11312	-1.08	0.	-0.59208	4.3227e-006
11313	-1.08	0.	-0.67667	3.4139e-006
11314	-1.08	0.	-0.76125	2.2052e-006
11315	-1.08	0.	-0.84583	1.6502e-006
11316	-1.08	0.	-0.93042	6.2219e-007
11322	0.90909	0.	0.	1.3119e-005
11323	0.81818	0.	0.	1.5531e-005
11324	0.72727	0.	0.	2.0115e-005
11325	0.63636	0.	0.	2.9966e-005
11326	0.54545	0.	0.	4.9248e-005
11327	0.45455	0.	0.	7.2918e-005
11328	0.36364	0.	0.	1.5307e-004
11329	0.27273	0.	0.	3.7205e-004
11330	0.18182	0.	0.	1.1086e-003
11331	9.0909e-002	0.	0.	6.0974e-003
11332	-0.17091	0.	0.	5.6052e-003
11333	-0.26182	0.	0.	7.7501e-004
11334	-0.35273	0.	0.	2.151e-004
11335	-0.44364	0.	0.	1.2227e-004
11336	-0.53455	0.	0.	8.1572e-005
11337	-0.62545	0.	0.	4.6262e-005
11338	-0.71636	0.	0.	2.9325e-005
11339	-0.80727	0.	0.	2.2682e-005
11340	-0.89818	0.	0.	1.5439e-005
11341	-0.98909	0.	0.	1.2913e-005
11453	-4.e-002	0.	-1.5e-002	-5.2671e-002
11454	-2.e-002	0.	-1.5e-002	-6.3737e-002
11455	-6.e-002	0.	-1.5e-002	-4.8385e-002
11459	4.5455e-002	0.	0.	2.3113e-002
11460	2.2727e-002	0.	0.	0.20623
11461	-0.12545	0.	0.	1.9311e-002
11462	-0.10273	0.	0.	0.18319
11606	1.8414e-002	0.	-0.52086	-2.7154e-005
11607	5.2174e-003	0.	-0.34833	-8.7118e-005
11608	0.52391	0.	-0.51125	7.6721e-006
11609	-0.51208	0.	-0.50438	8.6311e-006
11610	-4.4397e-002	0.	-0.19059	-5.0574e-004
11611	-0.26218	0.	-0.36295	-8.7156e-006
11612	-0.78538	0.	-0.42292	9.7797e-006
11613	-0.12559	0.	-0.75727	-5.5311e-006
11614	0.24992	0.	-0.43021	2.3504e-006
11615	0.27915	0.	-0.71931	-1.948e-006
11616	-0.76067	0.	-0.70046	3.3854e-006
11617	0.76196	0.	-0.3825	9.9035e-006
11618	0.76977	0.	-0.64825	3.7738e-006
11619	-0.43422	0.	-0.66293	7.3042e-007
11620	-0.16654	0.	-0.64222	-9.2917e-006
11621	-0.51995	0.	-0.16917	6.4175e-005
11622	0.50079	0.	-0.34083	2.3644e-005
11623	-6.2552e-002	0.	-0.12858	-1.8498e-003
11624	0.52895	0.	-0.85387	1.2219e-006
11625	0.30454	0.	-0.2321	7.5058e-005
11626	0.18649	0.	-0.22183	5.8148e-005
11627	-0.12929	0.	-0.18753	-2.8173e-004
11628	-0.87102	0.	-0.13594	1.5653e-005
11629	1.7428e-002	0.	-0.7508	-5.2585e-006
11630	0.72009	0.	-0.255	1.6691e-005
11631	-7.1845e-002	0.	-0.48897	-3.1085e-005
11632	-1.8983e-002	0.	-7.4382e-002	-6.6056e-003
11633	-0.30204	0.	-0.1865	1.7038e-004
11634	-0.34914	0.	-0.82871	-8.5379e-007
11635	-0.32826	0.	-0.58334	-3.842e-006
11636	0.77305	0.	-0.81947	1.8699e-006
11637	-7.3729e-002	0.	-7.1898e-002	-6.0835e-003
11638	-0.67311	0.	-0.29906	2.0304e-005
11639	-0.6197	0.	-0.89827	7.1247e-007
11640	-0.91591	0.	-0.65552	3.8861e-006
11641	-0.90752	0.	-0.83526	1.9432e-006
11642	-0.5028	0.	-0.35141	2.3373e-005
11643	0.16	0.	-0.12786	4.4251e-004
11644	-0.63288	0.	-0.62109	4.6416e-006
11645	0.38957	0.	-0.13568	8.2114e-005
11646	-0.12943	0.	-0.34646	-7.4315e-005
11647	0.15918	0.	-0.6187	-6.4726e-006
11648	0.51134	0.	-0.16411	4.2947e-005
11649	0.38462	0.	-0.61297	2.1966e-006
11650	0.53188	0.	-0.67917	3.0655e-006
11651	0.12376	0.	-0.39194	-3.1935e-005
11652	9.1299e-002	0.	-0.19255	5.2138e-006
11653	0.10243	0.	-0.89601	-1.9555e-006
11654	2.4236e-002	0.	-0.14359	-8.1633e-004
11655	-0.25043	0.	-0.74336	-3.3332e-006
11656	-0.39451	0.	-0.42875	7.9012e-006
11657	-0.87063	0.	-0.30597	1.204e-005
11658	-0.63806	0.	-0.46521	1.0951e-005
11659	0.31283	0.	-0.87992	-4.3335e-007
11660	-0.19622	0.	-0.54497	-1.2236e-005
11661	0.86005	0.	-0.21208	1.1518e-005
11662	-0.21703	0.	-0.87517	-1.3863e-006
11663	-0.7686	0.	-0.57094	6.5562e-006
11664	4.0565e-002	0.	-5.9116e-002	3.5184e-003
11665	0.66751	0.	-0.74131	2.7253e-006
11666	-0.64959	0.	-0.13974	3.4044e-005
11667	0.37978	0.	-0.46055	9.0281e-006
11668	-0.47584	0.	-0.8815	1.9713e-007
11669	-0.39892	0.	-0.23744	6.4824e-005
11670	-6.8442e-002	0.	-0.90159	-1.788e-006
11671	0.41358	0.	-0.76901	8.6434e-007
11672	-0.12748	0.	-0.1084	3.8909e-004
11673	-0.12803	0.	-4.8469e-002	5.6344e-003
11674	0.26554	0.	-0.1025	2.3067e-004
11675	0.89531	0.	-0.58691	4.7497e-006
11676	-7.1424e-002	0.	-0.57469	-1.7781e-005
11677	0.14399	0.	-0.7366	-4.6551e-006
11678	-0.18349	0.	-0.27054	-4.0277e-005
11679	0.63367	0.	-0.43594	9.9354e-006
11680	0.13435	0.	-0.5005	-2.2131e-005
11681	0.64812	0.	-0.58755	5.1161e-006
11682	-0.54071	0.	-0.74043	2.0773e-006
11683	-8.3409e-002	0.	-0.26406	-1.7513e-004
11684	0.65671	0.	-0.12196	2.8208e-005
11685	-0.77103	0.	-0.85983	1.2056e-006
11686	0.89527	0.	-0.75115	2.4561e-006
11687	-0.77294	0.	-0.21661	1.8695e-005
11688	0.64974	0.	-0.8837	8.6196e-007
11689	0.76196	0.	-0.50937	5.9733e-006
11690	4.2779e-002	0.	-0.6101	-1.3525e-005
11691	-0.24987	0.	-0.11815	3.5088e-004
11692	0.90173	0.	-0.33926	9.0378e-006
11693	0.10287	0.	-0.29239	-5.4151e-005
11694	0.88358	0.	-0.89404	9.7529e-007
11695	-0.1656	0.	-0.43642	-2.6926e-005
11696	0.61044	0.	-0.29792	1.8335e-005
11697	0.41086	0.	-0.2434	5.2861e-005
11698	-0.36217	0.	-0.10043	2.4736e-004
11699	-1.2892e-002	0.	-3.8223e-002	-1.9195e-002
11700	1.5142e-002	0.	-3.7934e-002	1.3655e-002
11701	-0.9952	0.	-0.24652	1.0666e-005
11702	9.6646e-003	0.	-0.24048	-2.525e-004
11703	-0.28959	0.	-0.47622	-4.2088e-006
11704	-0.98558	0.	-0.10603	1.2996e-005
11705	-6.6342e-002	0.	-0.66713	-9.6231e-006
11706	0.21295	0.	-0.82798	-1.5736e-006
11707	0.219	0.	-0.32397	1.7244e-005
11708	0.34806	0.	-0.34429	2.3754e-005
11709	0.42025	0.	-0.89385	2.5026e-007
11710	0.88098	0.	-0.46615	6.7869e-006
11711	0.89479	0.	-9.7101e-002	1.3611e-005
11712	-0.29153	0.	-0.26699	3.7979e-005
11713	3.3973e-002	0.	-0.44242	-4.2718e-005
11714	0.27139	0.	-0.52378	-1.1413e-006
11715	-0.35221	0.	-0.70601	-1.1787e-006
11716	0.7814	0.	-0.11677	1.5082e-005
11717	-0.87444	0.	-0.9219	7.9686e-007
11718	-5.0216e-002	0.	-0.41444	-4.8434e-005
11719	-0.99376	0.	-0.88284	1.1727e-006
11720	-0.99795	0.	-0.70839	2.8361e-006
11721	-0.98993	0.	-0.37885	8.5339e-006
11722	-0.98924	0.	-0.50229	5.9772e-006
11723	-0.27656	0.	-0.6476	-3.7944e-006
11724	8.6632e-002	0.	-9.8791e-002	9.7499e-004
11725	0.77084	0.	-0.92544	6.9326e-007
11726	-0.8686	0.	-0.5212	6.3312e-006
11727	-4.2899e-002	0.	-4.2778e-002	-3.6178e-002
11728	-0.18793	0.	-7.1684e-002	1.4824e-003
11729	-0.55463	0.	-6.1782e-002	6.5018e-005
11730	-0.43042	0.	-0.76392	8.9216e-008
11731	-8.8048e-002	0.	-2.8145e-002	1.3601e-002
11732	-0.37716	0.	-0.33312	2.3328e-005
11733	-0.66685	0.	-0.76112	2.0425e-006
11734	-0.38971	0.	-0.93215	-2.3272e-007
11735	-0.51036	0.	-0.61782	3.2836e-006
11736	-0.22095	0.	-0.1965	1.0484e-004
11737	-0.40826	0.	-0.53684	1.7411e-006
11738	-0.74286	0.	-8.2749e-002	2.4544e-005
11739	-0.18022	0.	-0.14185	4.151e-004
12697	0.	0.	-5.e-003	0.57189
12701	1.1364e-002	0.	0.	0.43701
12722	-8.e-002	0.	-5.e-003	0.48714
12728	-9.1364e-002	0.	0.	0.39998
12732	-8.e-002	0.	-1.25e-002	0.20633
12735	-9.1364e-002	0.	-5.e-003	0.27036
12737	0.	0.	-1.25e-002	0.26205
12740	1.1364e-002	0.	-5.e-003	0.34111
12806	-1.e-002	0.	-1.5e-002	-7.8057e-003
12807	1.1364e-002	0.	-7.5e-003	0.12718
12808	-6.4459e-003	0.	-2.6612e-002	1.4465e-002
12809	7.5712e-003	0.	-2.6467e-002	3.089e-002
