Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Magnetic Flux Density (T)
9	-0.12	0.	1.5e-002	1.1131
10	-0.10286	0.	1.5e-002	1.9819
11	-8.5714e-002	0.	1.5e-002	2.4826
12	-6.8571e-002	0.	1.5e-002	2.6334
13	-5.1429e-002	0.	1.5e-002	2.6417
14	-3.4286e-002	0.	1.5e-002	2.5183
15	0.	0.	1.5e-002	1.2615
16	-1.7143e-002	0.	1.5e-002	2.0692
59	-1.7143e-002	0.	-1.5e-002	1.9371
60	0.	0.	-1.5e-002	1.0997
61	-3.4286e-002	0.	-1.5e-002	2.4844
62	-5.1429e-002	0.	-1.5e-002	2.632
63	-6.8571e-002	0.	-1.5e-002	2.6419
64	-8.5714e-002	0.	-1.5e-002	2.5221
65	-0.10286	0.	-1.5e-002	2.225
66	-0.12	0.	-1.5e-002	1.5948
385	0.	0.	0.	0.8404
386	-0.12	0.	0.	1.0544
1810	-0.11143	0.	1.5e-002	1.5475
1812	-0.12	0.	7.5e-003	1.0838
1818	-9.4286e-002	0.	1.5e-002	2.2322
1820	-0.10286	0.	0.	2.1034
1821	-0.11143	0.	7.5e-003	1.5181
1826	-7.7143e-002	0.	1.5e-002	2.558
1828	-8.5714e-002	0.	0.	2.5024
1829	-9.4286e-002	0.	0.	2.3538
1832	-6.e-002	0.	1.5e-002	2.6375
1834	-6.8571e-002	0.	0.	2.6376
1835	-7.7143e-002	0.	0.	2.5778
1838	-4.2857e-002	0.	1.5e-002	2.58
1840	-5.1429e-002	0.	0.	2.6368
1841	-6.e-002	0.	0.	2.6418
1844	-2.5714e-002	0.	1.5e-002	2.2937
1846	-3.4286e-002	0.	0.	2.5013
1847	-4.2857e-002	0.	0.	2.5751
1850	-8.5714e-003	0.	1.5e-002	1.6653
1852	0.	0.	7.5e-003	1.051
1858	-1.7143e-002	0.	0.	2.0032
1859	-2.5714e-002	0.	0.	2.2768
1860	-8.5714e-003	0.	7.5e-003	1.4548
2085	-8.5714e-003	0.	-1.5e-002	1.5184
2086	-2.5714e-002	0.	-1.5e-002	2.2108
2088	-8.5714e-003	0.	-7.5e-003	1.3888
2093	0.	0.	-7.5e-003	0.97006
2097	-4.2857e-002	0.	-1.5e-002	2.5582
2101	-6.e-002	0.	-1.5e-002	2.6369
2105	-7.7143e-002	0.	-1.5e-002	2.582
2109	-9.4286e-002	0.	-1.5e-002	2.3736
2113	-0.11143	0.	-1.5e-002	1.9099
2115	-0.11143	0.	-7.5e-003	1.6397
2121	-0.12	0.	-7.5e-003	1.3246
1	0.	0.	2.25e-002	5.4624e-002
2	-1.7143e-002	0.	2.25e-002	-1.4716e-002
3	-3.4286e-002	0.	2.25e-002	-4.6932e-002
4	-5.1429e-002	0.	2.25e-002	3.4024e-004
5	-6.8571e-002	0.	2.25e-002	-7.6956e-004
6	-8.5714e-002	0.	2.25e-002	-4.6209e-002
7	-0.10286	0.	2.25e-002	-1.7112e-002
8	-0.12	0.	2.25e-002	4.6168e-002
9	-0.12	0.	1.5e-002	4.6168e-002
10	-0.10286	0.	1.5e-002	-1.7112e-002
11	-8.5714e-002	0.	1.5e-002	-4.6209e-002
12	-6.8571e-002	0.	1.5e-002	-7.6956e-004
13	-5.1429e-002	0.	1.5e-002	3.4024e-004
14	-3.4286e-002	0.	1.5e-002	-4.6932e-002
15	0.	0.	1.5e-002	5.4624e-002
16	-1.7143e-002	0.	1.5e-002	-1.4716e-002
59	-1.7143e-002	0.	-1.5e-002	-1.6167e-002
60	0.	0.	-1.5e-002	5.0805e-002
61	-3.4286e-002	0.	-1.5e-002	-4.7118e-002
62	-5.1429e-002	0.	-1.5e-002	-2.2553e-004
63	-6.8571e-002	0.	-1.5e-002	-2.674e-005
64	-8.5714e-002	0.	-1.5e-002	-4.554e-002
65	-0.10286	0.	-1.5e-002	-1.5818e-002
66	-0.12	0.	-1.5e-002	4.8745e-002
131	-0.10286	0.	-2.25e-002	-1.5818e-002
132	-0.12	0.	-2.25e-002	4.8745e-002
133	-8.5714e-002	0.	-2.25e-002	-4.554e-002
134	-6.8571e-002	0.	-2.25e-002	-2.674e-005
135	-5.1429e-002	0.	-2.25e-002	-2.2553e-004
136	-3.4286e-002	0.	-2.25e-002	-4.7118e-002
137	-1.7143e-002	0.	-2.25e-002	-1.6167e-002
138	0.	0.	-2.25e-002	5.0805e-002
1758	-8.5714e-003	0.	2.25e-002	1.9954e-002
1759	0.	0.	1.875e-002	5.4624e-002
1765	-2.5714e-002	0.	2.25e-002	-3.0824e-002
1766	-1.7143e-002	0.	1.875e-002	-1.4716e-002
1771	-4.2857e-002	0.	2.25e-002	-2.3296e-002
1772	-3.4286e-002	0.	1.875e-002	-4.6932e-002
1778	-6.e-002	0.	2.25e-002	-2.1466e-004
1779	-5.1429e-002	0.	1.875e-002	3.4024e-004
1783	-7.7143e-002	0.	2.25e-002	-2.3489e-002
1784	-6.8571e-002	0.	1.875e-002	-7.6956e-004
1790	-9.4286e-002	0.	2.25e-002	-3.1661e-002
1791	-8.5714e-002	0.	1.875e-002	-4.6209e-002
1796	-0.11143	0.	2.25e-002	1.4528e-002
1797	-0.10286	0.	1.875e-002	-1.7112e-002
1803	-0.12	0.	1.875e-002	4.6168e-002
1810	-0.11143	0.	1.5e-002	1.4528e-002
