Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Magnetic Flux Density (T)
13	-0.24	0.	3.e-002	0.2198
14	-0.21818	0.	3.e-002	0.38099
15	-0.19636	0.	3.e-002	0.53714
16	-0.17455	0.	3.e-002	0.63878
17	-0.15273	0.	3.e-002	0.69712
18	-0.13091	0.	3.e-002	0.72748
19	-0.10909	0.	3.e-002	0.72561
20	-8.7273e-002	0.	3.e-002	0.69518
21	-6.5455e-002	0.	3.e-002	0.63113
22	-4.3636e-002	0.	3.e-002	0.55194
23	0.	0.	3.e-002	0.22119
24	-2.1818e-002	0.	3.e-002	0.35923
95	-2.1818e-002	0.	-3.e-002	0.36503
96	0.	0.	-3.e-002	0.19617
97	-4.3636e-002	0.	-3.e-002	0.52991
98	-6.5455e-002	0.	-3.e-002	0.62557
99	-8.7273e-002	0.	-3.e-002	0.70146
100	-0.10909	0.	-3.e-002	0.74767
101	-0.13091	0.	-3.e-002	0.7414
102	-0.15273	0.	-3.e-002	0.69608
103	-0.17455	0.	-3.e-002	0.63903
104	-0.19636	0.	-3.e-002	0.5381
105	-0.21818	0.	-3.e-002	0.36267
106	-0.24	0.	-3.e-002	0.20123
462	0.	0.	0.	0.21049
463	-0.24	0.	0.	0.21249
916	-3.8218e-002	0.	-2.4947e-019	0.48991
917	-7.6364e-002	0.	0.	0.65458
918	-0.12	0.	0.	0.72119
919	-0.16933	0.	0.	0.64879
920	-0.20727	0.	0.	0.47483
2128	-0.22909	0.	3.e-002	0.3004
2130	-0.24	0.	1.5e-002	0.21614
2137	-0.20727	0.	3.e-002	0.45907
2139	-0.22909	0.	1.5e-002	0.29674
2140	-0.21273	0.	1.5e-002	0.42791
2143	-0.18545	0.	3.e-002	0.58796
2145	-0.18285	0.	1.5e-002	0.59297
2146	-0.20182	0.	1.5e-002	0.50599
2149	-0.16364	0.	3.e-002	0.66795
2151	-0.17194	0.	1.5e-002	0.64378
2154	-0.14182	0.	3.e-002	0.7123
2156	-0.13636	0.	1.5e-002	0.70915
2157	-0.16103	0.	1.5e-002	0.67295
2160	-0.12	0.	3.e-002	0.72655
2162	-0.12545	0.	1.5e-002	0.72434
2165	-9.8182e-002	0.	3.e-002	0.7104
2167	-0.11455	0.	1.5e-002	0.7234
2170	-7.6364e-002	0.	3.e-002	0.66316
2172	-8.1818e-002	0.	1.5e-002	0.67488
2173	-0.10364	0.	1.5e-002	0.70819
2176	-5.4545e-002	0.	3.e-002	0.59153
2178	-5.1836e-002	0.	1.5e-002	0.56052
2179	-7.0909e-002	0.	1.5e-002	0.64285
2182	-3.2727e-002	0.	3.e-002	0.45558
2184	-4.0927e-002	0.	1.5e-002	0.52092
2186	-1.0909e-002	0.	3.e-002	0.29021
2188	0.	0.	1.5e-002	0.21584
2195	-1.0909e-002	0.	1.5e-002	0.28486
2196	-3.0018e-002	0.	1.5e-002	0.42457
2588	-1.0909e-002	0.	-3.e-002	0.2806
2589	-3.2727e-002	0.	-3.e-002	0.44747
2591	-1.0909e-002	0.	-1.5e-002	0.28776
2592	-3.0018e-002	0.	-1.5e-002	0.42747
2598	0.	0.	-1.5e-002	0.20333
2606	-5.4545e-002	0.	-3.e-002	0.57774
2608	-4.0927e-002	0.	-1.5e-002	0.50991
2611	-7.6364e-002	0.	-3.e-002	0.66352
