Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Magnetic Flux Density (T)
9	-0.12	0.	1.5e-002	0.10641
10	-0.10286	0.	1.5e-002	0.20149
11	-8.5714e-002	0.	1.5e-002	0.30238
12	-6.8571e-002	0.	1.5e-002	0.34409
13	-5.1429e-002	0.	1.5e-002	0.34765
14	-3.4286e-002	0.	1.5e-002	0.31352
15	0.	0.	1.5e-002	0.10773
16	-1.7143e-002	0.	1.5e-002	0.21398
59	-1.7143e-002	0.	-1.5e-002	0.21474
60	0.	0.	-1.5e-002	0.11796
61	-3.4286e-002	0.	-1.5e-002	0.30241
62	-5.1429e-002	0.	-1.5e-002	0.34365
63	-6.8571e-002	0.	-1.5e-002	0.34765
64	-8.5714e-002	0.	-1.5e-002	0.31417
65	-0.10286	0.	-1.5e-002	0.21175
66	-0.12	0.	-1.5e-002	0.10343
385	0.	0.	0.	9.6714e-002
386	-0.12	0.	0.	0.10307
1810	-0.11143	0.	1.5e-002	0.15395
1812	-0.12	0.	7.5e-003	0.10474
1818	-9.4286e-002	0.	1.5e-002	0.25194
1820	-0.10286	0.	0.	0.20662
1821	-0.11143	0.	7.5e-003	0.15228
1826	-7.7143e-002	0.	1.5e-002	0.32323
1828	-8.5714e-002	0.	0.	0.30827
1829	-9.4286e-002	0.	0.	0.25707
1832	-6.e-002	0.	1.5e-002	0.34587
1834	-6.8571e-002	0.	0.	0.34587
1835	-7.7143e-002	0.	0.	0.32913
1838	-4.2857e-002	0.	1.5e-002	0.33058
1840	-5.1429e-002	0.	0.	0.34565
1841	-6.e-002	0.	0.	0.34765
1844	-2.5714e-002	0.	1.5e-002	0.26375
1846	-3.4286e-002	0.	0.	0.30796
1847	-4.2857e-002	0.	0.	0.32859
1850	-8.5714e-003	0.	1.5e-002	0.16085
1852	0.	0.	7.5e-003	0.10222
1858	-1.7143e-002	0.	0.	0.21436
1859	-2.5714e-002	0.	0.	0.2582
1860	-8.5714e-003	0.	7.5e-003	0.15535
2085	-8.5714e-003	0.	-1.5e-002	0.16635
2086	-2.5714e-002	0.	-1.5e-002	0.25857
2088	-8.5714e-003	0.	-7.5e-003	0.15573
2093	0.	0.	-7.5e-003	0.10734
2097	-4.2857e-002	0.	-1.5e-002	0.32303
2101	-6.e-002	0.	-1.5e-002	0.34565
2105	-7.7143e-002	0.	-1.5e-002	0.33091
2109	-9.4286e-002	0.	-1.5e-002	0.26296
2113	-0.11143	0.	-1.5e-002	0.15759
2115	-0.11143	0.	-7.5e-003	0.15741
2121	-0.12	0.	-7.5e-003	0.10325
1	0.	0.	2.25e-002	7.7075e-003
2	-1.7143e-002	0.	2.25e-002	-1.2315e-003
3	-3.4286e-002	0.	2.25e-002	-9.3952e-003
4	-5.1429e-002	0.	2.25e-002	-8.9613e-003
5	-6.8571e-002	0.	2.25e-002	-9.1373e-003
6	-8.5714e-002	0.	2.25e-002	-9.3933e-003
7	-0.10286	0.	2.25e-002	-1.4563e-003
8	-0.12	0.	2.25e-002	6.9021e-003
9	-0.12	0.	1.5e-002	6.9021e-003
10	-0.10286	0.	1.5e-002	-1.4563e-003
11	-8.5714e-002	0.	1.5e-002	-9.3933e-003
12	-6.8571e-002	0.	1.5e-002	-9.1373e-003
13	-5.1429e-002	0.	1.5e-002	-8.9613e-003
14	-3.4286e-002	0.	1.5e-002	-9.3952e-003
15	0.	0.	1.5e-002	7.7075e-003
16	-1.7143e-002	0.	1.5e-002	-1.2315e-003
59	-1.7143e-002	0.	-1.5e-002	-1.3933e-003
60	0.	0.	-1.5e-002	7.3117e-003
61	-3.4286e-002	0.	-1.5e-002	-9.4317e-003
62	-5.1429e-002	0.	-1.5e-002	-9.0439e-003
63	-6.8571e-002	0.	-1.5e-002	-9.0479e-003
64	-8.5714e-002	0.	-1.5e-002	-9.2702e-003
65	-0.10286	0.	-1.5e-002	-1.3441e-003
66	-0.12	0.	-1.5e-002	7.0791e-003
131	-0.10286	0.	-2.25e-002	-1.3441e-003
132	-0.12	0.	-2.25e-002	7.0791e-003
133	-8.5714e-002	0.	-2.25e-002	-9.2702e-003
134	-6.8571e-002	0.	-2.25e-002	-9.0479e-003
135	-5.1429e-002	0.	-2.25e-002	-9.0439e-003
136	-3.4286e-002	0.	-2.25e-002	-9.4317e-003
137	-1.7143e-002	0.	-2.25e-002	-1.3933e-003
138	0.	0.	-2.25e-002	7.3117e-003
1758	-8.5714e-003	0.	2.25e-002	3.238e-003
1759	0.	0.	1.875e-002	7.7075e-003
1765	-2.5714e-002	0.	2.25e-002	-5.3133e-003
1766	-1.7143e-002	0.	1.875e-002	-1.2315e-003
1771	-4.2857e-002	0.	2.25e-002	-9.1782e-003
1772	-3.4286e-002	0.	1.875e-002	-9.3952e-003
1778	-6.e-002	0.	2.25e-002	-9.0493e-003
1779	-5.1429e-002	0.	1.875e-002	-8.9613e-003
1783	-7.7143e-002	0.	2.25e-002	-9.2653e-003
1784	-6.8571e-002	0.	1.875e-002	-9.1373e-003
1790	-9.4286e-002	0.	2.25e-002	-5.4248e-003
1791	-8.5714e-002	0.	1.875e-002	-9.3933e-003
1796	-0.11143	0.	2.25e-002	2.7229e-003
1797	-0.10286	0.	1.875e-002	-1.4563e-003
1803	-0.12	0.	1.875e-002	6.9021e-003
1810	-0.11143	0.	1.5e-002	2.7229e-003
1818	-9.4286e-002	0.	1.5e-002	-5.4248e-003
1826	-7.7143e-002	0.	1.5e-002	-9.2653e-003
1832	-6.e-002	0.	1.5e-002	-9.0493e-003
1838	-4.2857e-002	0.	1.5e-002	-9.1782e-003
1844	-2.5714e-002	0.	1.5e-002	-5.3133e-003
1850	-8.5714e-003	0.	1.5e-002	3.238e-003
2085	-8.5714e-003	0.	-1.5e-002	2.9592e-003
2086	-2.5714e-002	0.	-1.5e-002	-5.4125e-003
2087	-1.7143e-002	0.	-1.875e-002	-1.3933e-003
2092	0.	0.	-1.875e-002	7.3117e-003
2097	-4.2857e-002	0.	-1.5e-002	-9.2378e-003
2098	-3.4286e-002	0.	-1.875e-002	-9.4317e-003
2101	-6.e-002	0.	-1.5e-002	-9.0459e-003
2102	-5.1429e-002	0.	-1.875e-002	-9.0439e-003
2105	-7.7143e-002	0.	-1.5e-002	-9.159e-003
2106	-6.8571e-002	0.	-1.875e-002	-9.0479e-003
2109	-9.4286e-002	0.	-1.5e-002	-5.3071e-003
2110	-8.5714e-002	0.	-1.875e-002	-9.2702e-003
2113	-0.11143	0.	-1.5e-002	2.8675e-003
2114	-0.10286	0.	-1.875e-002	-1.3441e-003
2120	-0.12	0.	-1.875e-002	7.0791e-003
2519	-0.11143	0.	-2.25e-002	2.8675e-003
2520	-9.4286e-002	0.	-2.25e-002	-5.3071e-003
2529	-7.7143e-002	0.	-2.25e-002	-9.159e-003
2533	-6.e-002	0.	-2.25e-002	-9.0459e-003
2537	-4.2857e-002	0.	-2.25e-002	-9.2378e-003
2543	-2.5714e-002	0.	-2.25e-002	-5.4125e-003
2546	-8.5714e-003	0.	-2.25e-002	2.9592e-003
60	0.	0.	-1.5e-002	3.9278e-002
66	-0.12	0.	-1.5e-002	3.5626e-002
131	-0.10286	0.	-2.25e-002	-5.8309e-003
132	-0.12	0.	-2.25e-002	1.2837e-002
133	-8.5714e-002	0.	-2.25e-002	-9.9376e-003
134	-6.8571e-002	0.	-2.25e-002	-1.2098e-002
135	-5.1429e-002	0.	-2.25e-002	-1.2137e-002
136	-3.4286e-002	0.	-2.25e-002	-1.1696e-002
137	-1.7143e-002	0.	-2.25e-002	-6.7698e-003
138	0.	0.	-2.25e-002	1.2458e-002
209	1.	0.	-9.2955e-002	5.1156e-006
210	1.	0.	-0.18591	4.8275e-006
211	1.	0.	-0.27886	4.3247e-006
212	1.	0.	-0.37182	3.6738e-006
213	1.	0.	-0.46477	2.8579e-006
214	1.	0.	-0.55773	2.2841e-006
215	1.	0.	-0.65068	1.6739e-006
216	1.	0.	-0.74364	1.205e-006
217	1.	0.	-0.83659	6.8139e-007
218	1.	0.	-0.92955	3.1e-007
229	0.90783	0.	-1.0225	1.2959e-007
230	0.81565	0.	-1.0225	1.5355e-007
231	0.72348	0.	-1.0225	1.53e-007
232	0.6313	0.	-1.0225	1.4351e-007
233	0.53913	0.	-1.0225	1.2418e-007
234	0.44696	0.	-1.0225	7.2757e-008
235	0.35478	0.	-1.0225	-1.7117e-008
236	0.26261	0.	-1.0225	-1.0418e-007
237	0.17043	0.	-1.0225	-1.9163e-007
238	7.8261e-002	0.	-1.0225	-1.8975e-007
239	-1.3913e-002	0.	-1.0225	-3.9686e-007
240	-0.10609	0.	-1.0225	-2.6803e-007
241	-0.19826	0.	-1.0225	-2.6794e-007
242	-0.29043	0.	-1.0225	-2.4471e-007
243	-0.38261	0.	-1.0225	-1.0526e-007
244	-0.47478	0.	-1.0225	-1.1564e-008
245	-0.56696	0.	-1.0225	6.0148e-008
246	-0.65913	0.	-1.0225	1.2142e-007
247	-0.7513	0.	-1.0225	1.4893e-007
248	-0.84348	0.	-1.0225	1.6464e-007
249	-0.93565	0.	-1.0225	1.99e-007
250	-1.0278	0.	-1.0225	2.2349e-007
256	-1.12	0.	-0.92955	3.8198e-007
257	-1.12	0.	-0.83659	7.0388e-007
258	-1.12	0.	-0.74364	1.1846e-006
259	-1.12	0.	-0.65068	1.703e-006
260	-1.12	0.	-0.55773	2.2595e-006
261	-1.12	0.	-0.46477	2.9604e-006
262	-1.12	0.	-0.37182	3.5938e-006
263	-1.12	0.	-0.27886	4.2298e-006
264	-1.12	0.	-0.18591	4.8465e-006
265	-1.12	0.	-9.2955e-002	5.1757e-006
271	9.0909e-002	0.	0.	1.3499e-003
272	0.18182	0.	0.	3.0336e-004
273	0.27273	0.	0.	1.1539e-004
274	0.36364	0.	0.	5.587e-005
275	0.45455	0.	0.	2.8057e-005
276	0.54545	0.	0.	1.8795e-005
277	0.63636	0.	0.	1.2393e-005
278	0.72727	0.	0.	8.8296e-006
279	0.81818	0.	0.	6.7044e-006
280	0.90909	0.	0.	5.4669e-006
281	-1.0291	0.	0.	5.5333e-006
282	-0.93818	0.	0.	6.3585e-006
283	-0.84727	0.	0.	8.4496e-006
284	-0.75636	0.	0.	1.3269e-005
285	-0.66545	0.	0.	1.8989e-005
286	-0.57455	0.	0.	3.2797e-005
287	-0.48364	0.	0.	5.0651e-005
288	-0.39273	0.	0.	1.366e-004
289	-0.30182	0.	0.	4.121e-004
290	-0.21091	0.	0.	1.5642e-003
385	0.	0.	0.	6.1536e-002
386	-0.12	0.	0.	6.2755e-002
391	1.	0.	-1.0225	1.3647e-007
392	1.	0.	0.	5.2399e-006
393	-1.12	0.	-1.0225	1.4554e-007
394	-1.12	0.	0.	5.2386e-006
399	4.5455e-002	0.	0.	4.4007e-003
