Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Magnetic Flux Density (T)
115	-0.44	0.	5.5e-002	0.35957
116	-0.418	0.	5.5e-002	0.515
117	-0.396	0.	5.5e-002	0.76135
118	-0.352	0.	5.5e-002	1.0384
119	-0.308	0.	5.5e-002	1.2082
120	-0.264	0.	5.5e-002	1.3172
121	-0.22	0.	5.5e-002	1.3637
122	-0.176	0.	5.5e-002	1.3228
123	-0.132	0.	5.5e-002	1.2196
124	-8.8e-002	0.	5.5e-002	1.044
125	-4.4e-002	0.	5.5e-002	0.80293
126	0.	0.	5.5e-002	0.36368
127	-2.2e-002	0.	5.5e-002	0.57134
205	-2.2e-002	0.	-5.5e-002	0.56386
206	0.	0.	-5.5e-002	0.36878
207	-4.4e-002	0.	-5.5e-002	0.80242
208	-8.8e-002	0.	-5.5e-002	1.0705
209	-0.132	0.	-5.5e-002	1.2332
210	-0.176	0.	-5.5e-002	1.3126
211	-0.22	0.	-5.5e-002	1.3545
212	-0.264	0.	-5.5e-002	1.3182
213	-0.308	0.	-5.5e-002	1.2117
214	-0.352	0.	-5.5e-002	1.0453
215	-0.396	0.	-5.5e-002	0.7728
216	-0.418	0.	-5.5e-002	0.53684
217	-0.44	0.	-5.5e-002	0.37311
595	0.	0.	0.	0.39417
596	-0.44	0.	0.	0.44642
1044	-4.4e-002	0.	0.	0.77003
1045	-0.1306	0.	8.6736e-019	1.1907
1046	-0.21707	0.	0.	1.3468
1047	-0.286	0.	0.	1.252
1048	-0.35131	0.	1.9516e-018	1.0082
2682	-0.429	0.	5.5e-002	0.43728
2684	-0.44	0.	2.75e-002	0.403
2690	-0.407	0.	5.5e-002	0.63817
2692	-0.429	0.	2.75e-002	0.48071
2695	-0.374	0.	5.5e-002	0.89988
2697	-0.418	0.	2.75e-002	0.60388
2698	-0.37366	0.	2.75e-002	0.88476
2701	-0.33	0.	5.5e-002	1.1233
2703	-0.35166	0.	2.75e-002	1.0233
2706	-0.286	0.	5.5e-002	1.2627
2708	-0.297	0.	2.75e-002	1.2301
2709	-0.32966	0.	2.75e-002	1.1082
2712	-0.242	0.	5.5e-002	1.3404
2714	-0.24054	0.	2.75e-002	1.332
2715	-0.275	0.	2.75e-002	1.2846
2719	-0.198	0.	5.5e-002	1.3432
2721	-0.21854	0.	2.75e-002	1.3552
2724	-0.154	0.	5.5e-002	1.2712
2726	-0.1533	0.	2.75e-002	1.2567
2727	-0.19654	0.	2.75e-002	1.3348
2730	-0.11	0.	5.5e-002	1.1318
2732	-0.1313	0.	2.75e-002	1.2051
2735	-6.6e-002	0.	5.5e-002	0.92345
2737	-6.6e-002	0.	2.75e-002	0.907
2738	-0.1093	0.	2.75e-002	1.1173
2741	-3.3e-002	0.	5.5e-002	0.68713
2743	-4.4e-002	0.	2.75e-002	0.78648
2746	-1.1e-002	0.	5.5e-002	0.46751
2748	0.	0.	2.75e-002	0.37892
2752	-1.1e-002	0.	2.75e-002	0.48275
2753	-3.3e-002	0.	2.75e-002	0.67069
3123	-1.1e-002	0.	-5.5e-002	0.46632
3124	-3.3e-002	0.	-5.5e-002	0.68314
3125	-1.1e-002	0.	-2.75e-002	0.47902
3126	-3.3e-002	0.	-2.75e-002	0.66695
3131	0.	0.	-2.75e-002	0.38147
3137	-6.6e-002	0.	-5.5e-002	0.93647
3138	-4.4e-002	0.	-2.75e-002	0.78623
3141	-0.11	0.	-5.5e-002	1.1519
3142	-6.6e-002	0.	-2.75e-002	0.92027
3143	-0.1093	0.	-2.75e-002	1.1306
3147	-0.154	0.	-5.5e-002	1.2729
3148	-0.1313	0.	-2.75e-002	1.212
3151	-0.198	0.	-5.5e-002	1.3335
3152	-0.1533	0.	-2.75e-002	1.2516
3153	-0.19654	0.	-2.75e-002	1.3297
3158	-0.242	0.	-5.5e-002	1.3363
3159	-0.21854	0.	-2.75e-002	1.3506
3162	-0.286	0.	-5.5e-002	1.2649
3163	-0.24054	0.	-2.75e-002	1.3325
3164	-0.275	0.	-2.75e-002	1.2851
3167	-0.33	0.	-5.5e-002	1.1285
3168	-0.297	0.	-2.75e-002	1.2318
3169	-0.32966	0.	-2.75e-002	1.1099
3172	-0.374	0.	-5.5e-002	0.90903
3173	-0.35166	0.	-2.75e-002	1.0267
3176	-0.407	0.	-5.5e-002	0.65482
3177	-0.418	0.	-2.75e-002	0.60961
3178	-0.37366	0.	-2.75e-002	0.89048
3182	-0.429	0.	-5.5e-002	0.45497
3183	-0.429	0.	-2.75e-002	0.49163
3188	-0.44	0.	-2.75e-002	0.40976
5509	-2.2e-002	0.	0.	0.5821
5518	-0.39566	0.	9.7582e-019	0.7273
8505	-8.7298e-002	0.	4.3368e-019	0.98037
8511	-0.17384	0.	4.3368e-019	1.2688
8520	-0.25154	0.	0.	1.2994
8528	-0.31866	0.	9.7582e-019	1.1301
78	-0.418	0.	-6.875e-002	2.6294e-002
79	-0.396	0.	-6.875e-002	-1.5603e-002
80	-0.352	0.	-6.875e-002	-2.4338e-002
81	-0.308	0.	-6.875e-002	-2.906e-002
82	-0.264	0.	-6.875e-002	-3.0217e-002
83	-0.22	0.	-6.875e-002	-3.0311e-002
84	-0.176	0.	-6.875e-002	-2.9871e-002
85	-0.132	0.	-6.875e-002	-2.8519e-002
86	-8.8e-002	0.	-6.875e-002	-2.4774e-002
87	-4.4e-002	0.	-6.875e-002	-1.5891e-002
88	-2.2e-002	0.	-6.875e-002	2.6383e-002
89	-2.2e-002	0.	6.875e-002	2.8084e-002
90	-4.4e-002	0.	6.875e-002	-1.5206e-002
91	-8.8e-002	0.	6.875e-002	-2.4554e-002
92	-0.132	0.	6.875e-002	-2.8837e-002
93	-0.176	0.	6.875e-002	-2.9824e-002
94	-0.22	0.	6.875e-002	-3.0304e-002
95	-0.264	0.	6.875e-002	-3.0026e-002
96	-0.308	0.	6.875e-002	-2.8651e-002
97	-0.352	0.	6.875e-002	-2.4392e-002
98	-0.396	0.	6.875e-002	-1.551e-002
99	-0.418	0.	6.875e-002	2.7029e-002
100	0.	0.	6.875e-002	6.5589e-002
101	0.	0.	8.25e-002	4.2119e-002
102	-2.2e-002	0.	8.25e-002	1.6111e-002
103	-4.4e-002	0.	8.25e-002	-2.1276e-002
104	-8.8e-002	0.	8.25e-002	-3.7337e-002
105	-0.132	0.	8.25e-002	-4.3124e-002
106	-0.176	0.	8.25e-002	-4.4573e-002
107	-0.22	0.	8.25e-002	-4.5257e-002
108	-0.264	0.	8.25e-002	-4.4891e-002
109	-0.308	0.	8.25e-002	-4.2829e-002
110	-0.352	0.	8.25e-002	-3.708e-002
111	-0.396	0.	8.25e-002	-2.1609e-002
112	-0.418	0.	8.25e-002	1.4166e-002
113	-0.44	0.	6.875e-002	6.4061e-002
114	-0.44	0.	8.25e-002	3.8859e-002
115	-0.44	0.	5.5e-002	8.9262e-002
116	-0.418	0.	5.5e-002	3.9892e-002
117	-0.396	0.	5.5e-002	-9.4105e-003
118	-0.352	0.	5.5e-002	-1.1704e-002
119	-0.308	0.	5.5e-002	-1.4472e-002
120	-0.264	0.	5.5e-002	-1.516e-002
121	-0.22	0.	5.5e-002	-1.5352e-002
122	-0.176	0.	5.5e-002	-1.5075e-002
123	-0.132	0.	5.5e-002	-1.455e-002
124	-8.8e-002	0.	5.5e-002	-1.177e-002
125	-4.4e-002	0.	5.5e-002	-9.1359e-003
126	0.	0.	5.5e-002	8.9059e-002
127	-2.2e-002	0.	5.5e-002	4.0058e-002
205	-2.2e-002	0.	-5.5e-002	3.8005e-002
206	0.	0.	-5.5e-002	8.5071e-002
207	-4.4e-002	0.	-5.5e-002	-9.417e-003
208	-8.8e-002	0.	-5.5e-002	-1.1895e-002
209	-0.132	0.	-5.5e-002	-1.441e-002
210	-0.176	0.	-5.5e-002	-1.5073e-002
211	-0.22	0.	-5.5e-002	-1.5358e-002
212	-0.264	0.	-5.5e-002	-1.5274e-002
213	-0.308	0.	-5.5e-002	-1.4677e-002
214	-0.352	0.	-5.5e-002	-1.1687e-002
215	-0.396	0.	-5.5e-002	-9.3496e-003
216	-0.418	0.	-5.5e-002	3.898e-002
217	-0.44	0.	-5.5e-002	8.7464e-002
325	-0.418	0.	-8.25e-002	1.3608e-002
326	-0.44	0.	-8.25e-002	3.878e-002
327	-0.396	0.	-8.25e-002	-2.1856e-002
328	-0.352	0.	-8.25e-002	-3.6988e-002
329	-0.308	0.	-8.25e-002	-4.3444e-002
330	-0.264	0.	-8.25e-002	-4.516e-002
331	-0.22	0.	-8.25e-002	-4.5264e-002
332	-0.176	0.	-8.25e-002	-4.4669e-002
333	-0.132	0.	-8.25e-002	-4.2628e-002
334	-8.8e-002	0.	-8.25e-002	-3.7654e-002
335	-4.4e-002	0.	-8.25e-002	-2.2366e-002
336	-2.2e-002	0.	-8.25e-002	1.4762e-002
337	0.	0.	-8.25e-002	4.0131e-002
347	-0.44	0.	-6.875e-002	6.3122e-002
351	0.	0.	-6.875e-002	6.2601e-002
2532	-0.407	0.	-6.875e-002	5.3455e-003
2533	-0.418	0.	-6.1875e-002	3.2637e-002
2534	-0.418	0.	-7.5625e-002	1.9951e-002
2535	-0.429	0.	-6.875e-002	4.4708e-002
2536	-0.374	0.	-6.875e-002	-1.997e-002
2537	-0.396	0.	-6.1875e-002	-1.2476e-002
