Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Magnetic Flux Density (T)
11162	0.	0.	1.e-002	4.0045e-002
11163	0.	0.	0.	9.1786e-002
11166	-8.e-002	0.	1.e-002	4.8317e-002
11167	-8.e-002	0.	0.	9.0532e-002
11168	-8.e-002	0.	-1.e-002	3.984e-002
11169	0.	0.	-1.e-002	4.3283e-002
11444	-4.e-002	0.	1.e-002	0.23118
11445	-2.e-002	0.	1.e-002	0.17928
11446	-6.e-002	0.	1.e-002	0.16017
11447	-4.e-002	0.	-1.e-002	0.22991
11448	-6.e-002	0.	-1.e-002	0.17286
11449	-2.e-002	0.	-1.e-002	0.1659
12689	0.	0.	5.e-003	6.5916e-002
12692	-1.e-002	0.	1.e-002	0.10966
12697	0.	0.	-5.e-003	6.7535e-002
12699	-1.e-002	0.	5.e-003	0.13553
12700	-1.e-002	0.	-5.e-003	0.12884
12715	-8.e-002	0.	5.e-003	6.9425e-002
12719	-7.e-002	0.	1.e-002	0.10424
12722	-8.e-002	0.	-5.e-003	6.5186e-002
12726	-7.e-002	0.	5.e-003	0.12535
12727	-7.e-002	0.	-5.e-003	0.1317
12734	-7.e-002	0.	-1.e-002	0.10635
12738	-1.e-002	0.	-1.e-002	0.10459
14332	-3.e-002	0.	1.e-002	0.20523
14333	-5.e-002	0.	1.e-002	0.19568
14334	-4.e-002	0.	0.	0.23054
14335	-5.e-002	0.	0.	0.20202
14342	-3.e-002	0.	0.	0.20459
14343	-2.e-002	0.	0.	0.17259
14349	-6.e-002	0.	0.	0.16652
14353	-5.e-002	0.	-1.e-002	0.20139
14354	-3.e-002	0.	-1.e-002	0.19791
11162	0.	0.	1.e-002	-3.7981e-004
11166	-8.e-002	0.	1.e-002	1.3459e-002
11168	-8.e-002	0.	-1.e-002	1.4912e-002
11169	0.	0.	-1.e-002	-3.2559e-003
11175	-8.e-002	0.	1.5e-002	2.6951e-003
11177	0.	0.	1.5e-002	1.435e-002
11178	0.	0.	-1.5e-002	1.4418e-002
11179	-8.e-002	0.	-1.5e-002	5.1599e-004
11444	-4.e-002	0.	1.e-002	6.1658e-004
11445	-2.e-002	0.	1.e-002	-5.1961e-003
11446	-6.e-002	0.	1.e-002	2.2302e-003
11447	-4.e-002	0.	-1.e-002	-3.1093e-003
11448	-6.e-002	0.	-1.e-002	3.2478e-003
11449	-2.e-002	0.	-1.e-002	-1.0098e-002
11450	-4.e-002	0.	1.5e-002	-4.2666e-003
11451	-6.e-002	0.	1.5e-002	-5.1942e-003
11452	-2.e-002	0.	1.5e-002	-3.1147e-004
11453	-4.e-002	0.	-1.5e-002	-4.6648e-003
11454	-2.e-002	0.	-1.5e-002	-3.6651e-003
11455	-6.e-002	0.	-1.5e-002	-4.0866e-003
12691	0.	0.	1.25e-002	6.9853e-003
12692	-1.e-002	0.	1.e-002	-2.7879e-003
12693	-1.e-002	0.	1.25e-002	-3.4564e-004
12717	-8.e-002	0.	1.25e-002	8.0769e-003
12719	-7.e-002	0.	1.e-002	7.8444e-003
