Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Magnetic Flux Density (T)
13	-0.2	0.	2.5e-002	0.16602
14	-0.18182	0.	2.5e-002	0.29927
15	-0.16364	0.	2.5e-002	0.45615
16	-0.14545	0.	2.5e-002	0.53352
17	-0.12727	0.	2.5e-002	0.57896
18	-0.10909	0.	2.5e-002	0.60079
19	-9.0909e-002	0.	2.5e-002	0.5958
20	-7.2727e-002	0.	2.5e-002	0.58087
21	-5.4545e-002	0.	2.5e-002	0.53081
22	-3.6364e-002	0.	2.5e-002	0.46876
23	0.	0.	2.5e-002	0.16876
24	-1.8182e-002	0.	2.5e-002	0.28081
95	-1.8182e-002	0.	-2.5e-002	0.27459
96	0.	0.	-2.5e-002	0.16074
97	-3.6364e-002	0.	-2.5e-002	0.46994
98	-5.4545e-002	0.	-2.5e-002	0.5405
99	-7.2727e-002	0.	-2.5e-002	0.58081
100	-9.0909e-002	0.	-2.5e-002	0.60276
101	-0.10909	0.	-2.5e-002	0.60758
102	-0.12727	0.	-2.5e-002	0.58346
103	-0.14545	0.	-2.5e-002	0.53025
104	-0.16364	0.	-2.5e-002	0.4617
105	-0.18182	0.	-2.5e-002	0.28892
106	-0.2	0.	-2.5e-002	0.17687
457	0.	0.	0.	0.17459
458	-0.2	0.	0.	0.17142
900	-2.7273e-002	0.	0.	0.39145
901	-6.3636e-002	0.	0.	0.55475
902	-0.1074	0.	4.3368e-019	0.59993
903	-0.14411	0.	0.	0.53743
904	-0.17273	0.	0.	0.38921
2073	-0.19091	0.	2.5e-002	0.23265
2075	-0.2	0.	1.25e-002	0.16872
2081	-0.17273	0.	2.5e-002	0.37771
2083	-0.19091	0.	1.25e-002	0.23535
2084	-0.17727	0.	1.25e-002	0.34424
2088	-0.15455	0.	2.5e-002	0.49484
2090	-0.15387	0.	1.25e-002	0.49679
2091	-0.16818	0.	1.25e-002	0.42268
2095	-0.13636	0.	2.5e-002	0.55624
2097	-0.14478	0.	1.25e-002	0.53548
2099	-0.11818	0.	2.5e-002	0.58987
2101	-0.11734	0.	1.25e-002	0.58944
2102	-0.13569	0.	1.25e-002	0.5582
2104	-0.1	0.	2.5e-002	0.59829
2106	-0.10825	0.	1.25e-002	0.60036
2109	-8.1818e-002	0.	2.5e-002	0.58834
2111	-7.7273e-002	0.	1.25e-002	0.57528
2112	-9.9155e-002	0.	1.25e-002	0.59786
2116	-6.3636e-002	0.	2.5e-002	0.55584
2118	-6.8182e-002	0.	1.25e-002	0.56781
2120	-4.5455e-002	0.	2.5e-002	0.49978
2122	-5.9091e-002	0.	1.25e-002	0.54278
2124	-2.7273e-002	0.	2.5e-002	0.37479
2126	-3.1818e-002	0.	1.25e-002	0.4301
2127	-5.e-002	0.	1.25e-002	0.51176
2129	-9.0909e-003	0.	2.5e-002	0.22478
2131	0.	0.	1.25e-002	0.17167
2138	-9.0909e-003	0.	1.25e-002	0.2277
2139	-2.2727e-002	0.	1.25e-002	0.33613
2536	-9.0909e-003	0.	-2.5e-002	0.21766
2537	-2.7273e-002	0.	-2.5e-002	0.37227
2539	-9.0909e-003	0.	-1.25e-002	0.22459
