Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Magnetic Flux Density (T)
13	-0.28	0.	3.5e-002	0.21064
14	-0.25455	0.	3.5e-002	0.38153
15	-0.22909	0.	3.5e-002	0.63686
16	-0.20364	0.	3.5e-002	0.72393
17	-0.17818	0.	3.5e-002	0.80307
18	-0.15273	0.	3.5e-002	0.93403
19	-0.12727	0.	3.5e-002	0.86341
20	-0.10182	0.	3.5e-002	0.81166
21	-7.6364e-002	0.	3.5e-002	0.71489
22	-5.0909e-002	0.	3.5e-002	0.62737
23	0.	0.	3.5e-002	0.22824
24	-2.5455e-002	0.	3.5e-002	0.3902
95	-2.5455e-002	0.	-3.5e-002	0.38896
96	0.	0.	-3.5e-002	0.22544
97	-5.0909e-002	0.	-3.5e-002	0.62673
98	-7.6364e-002	0.	-3.5e-002	0.71261
99	-0.10182	0.	-3.5e-002	0.80772
100	-0.12727	0.	-3.5e-002	0.82531
101	-0.15273	0.	-3.5e-002	0.85713
102	-0.17818	0.	-3.5e-002	0.81261
103	-0.20364	0.	-3.5e-002	0.72702
104	-0.22909	0.	-3.5e-002	0.65059
105	-0.25455	0.	-3.5e-002	0.39075
106	-0.28	0.	-3.5e-002	0.22942
462	0.	0.	0.	0.2419
463	-0.28	0.	0.	0.23766
909	-3.8182e-002	0.	0.	0.55728
910	-8.9091e-002	0.	0.	0.78252
911	-0.14664	0.	6.0377e-019	0.84343
912	-0.19091	0.	0.	0.76448
913	-0.23541	0.	-4.9893e-019	0.58521
2100	-0.26727	0.	3.5e-002	0.29608
2103	-0.28	0.	1.75e-002	0.22415
2108	-0.24182	0.	3.5e-002	0.50919
2110	-0.26727	0.	1.75e-002	0.30959
2111	-0.24498	0.	1.75e-002	0.48337
2114	-0.21636	0.	3.5e-002	0.68039
2116	-0.23225	0.	1.75e-002	0.61103
2118	-0.19091	0.	3.5e-002	0.7635
2120	-0.19727	0.	1.75e-002	0.74421
2121	-0.21952	0.	1.75e-002	0.65457
2125	-0.16545	0.	3.5e-002	0.86855
2127	-0.16241	0.	1.75e-002	0.82325
2128	-0.18455	0.	1.75e-002	0.78378
2130	-0.14	0.	3.5e-002	0.89872
2132	-0.14969	0.	1.75e-002	0.88873
2133	-0.11455	0.	3.5e-002	0.83753
2135	-0.10818	0.	1.75e-002	0.82297
2136	-0.13696	0.	1.75e-002	0.85342
2138	-8.9091e-002	0.	3.5e-002	0.76327
2140	-9.5455e-002	0.	1.75e-002	0.79709
2142	-6.3636e-002	0.	3.5e-002	0.67113
2144	-5.7273e-002	0.	1.75e-002	0.63608
2145	-8.2727e-002	0.	1.75e-002	0.7487
2147	-3.8182e-002	0.	3.5e-002	0.50878
2149	-4.4545e-002	0.	1.75e-002	0.59232
2151	-1.2727e-002	0.	3.5e-002	0.30922
2154	0.	0.	1.75e-002	0.23507
2160	-1.2727e-002	0.	1.75e-002	0.31605
