Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Magnetic Flux Density (T)
115	-0.48	0.	6.e-002	0.39264
116	-0.456	0.	6.e-002	0.56705
117	-0.432	0.	6.e-002	0.83324
118	-0.384	0.	6.e-002	1.1306
119	-0.336	0.	6.e-002	1.3252
120	-0.288	0.	6.e-002	1.436
121	-0.24	0.	6.e-002	1.4875
122	-0.192	0.	6.e-002	1.4409
123	-0.144	0.	6.e-002	1.3299
124	-9.6e-002	0.	6.e-002	1.1256
125	-4.8e-002	0.	6.e-002	0.87866
126	0.	0.	6.e-002	0.40941
127	-2.4e-002	0.	6.e-002	0.63139
205	-2.4e-002	0.	-6.e-002	0.59542
206	0.	0.	-6.e-002	0.37759
207	-4.8e-002	0.	-6.e-002	0.85096
208	-9.6e-002	0.	-6.e-002	1.1359
209	-0.144	0.	-6.e-002	1.3456
210	-0.192	0.	-6.e-002	1.4451
211	-0.24	0.	-6.e-002	1.4863
212	-0.288	0.	-6.e-002	1.4555
213	-0.336	0.	-6.e-002	1.3001
214	-0.384	0.	-6.e-002	1.1449
215	-0.432	0.	-6.e-002	0.87808
216	-0.456	0.	-6.e-002	0.58364
217	-0.48	0.	-6.e-002	0.40495
595	0.	0.	0.	0.42396
596	-0.48	0.	0.	0.47708
1054	-4.8e-002	0.	0.	0.86838
1055	-0.14247	0.	-7.4083e-019	1.306
1056	-0.23681	0.	1.6421e-018	1.473
1057	-0.312	0.	0.	1.3914
1058	-0.38325	0.	-6.5055e-019	1.0932
2668	-0.468	0.	6.e-002	0.47985
2670	-0.48	0.	3.e-002	0.43486
2676	-0.444	0.	6.e-002	0.70014
2678	-0.468	0.	3.e-002	0.52206
2681	-0.408	0.	6.e-002	0.98193
2683	-0.456	0.	3.e-002	0.65516
2684	-0.40763	0.	3.e-002	0.9632
2687	-0.36	0.	6.e-002	1.2279
2689	-0.38363	0.	3.e-002	1.1119
2692	-0.312	0.	6.e-002	1.3806
2694	-0.324	0.	3.e-002	1.3583
2695	-0.35963	0.	3.e-002	1.2092
2699	-0.264	0.	6.e-002	1.4617
2701	-0.2624	0.	3.e-002	1.4545
2702	-0.3	0.	3.e-002	1.4137
2706	-0.216	0.	6.e-002	1.4642
2708	-0.2384	0.	3.e-002	1.4802
2711	-0.168	0.	6.e-002	1.3854
2713	-0.16723	0.	3.e-002	1.3734
2714	-0.2144	0.	3.e-002	1.4569
2717	-0.12	0.	6.e-002	1.2278
2719	-0.14323	0.	3.e-002	1.3179
2722	-7.2e-002	0.	6.e-002	1.0021
2724	-7.2e-002	0.	3.e-002	0.99701
2725	-0.11923	0.	3.e-002	1.2158
2728	-3.6e-002	0.	6.e-002	0.75502
2730	-4.8e-002	0.	3.e-002	0.87352
2733	-1.2e-002	0.	6.e-002	0.5204
2735	0.	0.	3.e-002	0.41669
2741	-1.2e-002	0.	3.e-002	0.52767
2742	-3.6e-002	0.	3.e-002	0.74988
3104	-1.2e-002	0.	-6.e-002	0.48651
3105	-3.6e-002	0.	-6.e-002	0.72319
3106	-1.2e-002	0.	-3.e-002	0.50969
3107	-3.6e-002	0.	-3.e-002	0.7319
3113	0.	0.	-3.e-002	0.40078
3117	-7.2e-002	0.	-6.e-002	0.99344
3118	-4.8e-002	0.	-3.e-002	0.85967
3121	-0.12	0.	-6.e-002	1.2407
3122	-7.2e-002	0.	-3.e-002	1.0021
3123	-0.11923	0.	-3.e-002	1.2209
3128	-0.168	0.	-6.e-002	1.3953
3129	-0.14323	0.	-3.e-002	1.3258
3132	-0.216	0.	-6.e-002	1.4657
3133	-0.16723	0.	-3.e-002	1.3755
3134	-0.2144	0.	-3.e-002	1.459
3138	-0.264	0.	-6.e-002	1.4709
3139	-0.2384	0.	-3.e-002	1.4796
3142	-0.312	0.	-6.e-002	1.3778
3143	-0.2624	0.	-3.e-002	1.4642
3144	-0.3	0.	-3.e-002	1.4235
3146	-0.36	0.	-6.e-002	1.2225
3147	-0.324	0.	-3.e-002	1.3458
3148	-0.35963	0.	-3.e-002	1.1966
3150	-0.408	0.	-6.e-002	1.0115
3151	-0.38363	0.	-3.e-002	1.119
3154	-0.444	0.	-6.e-002	0.73086
3155	-0.456	0.	-3.e-002	0.67758
3156	-0.40763	0.	-3.e-002	0.98563
3159	-0.468	0.	-6.e-002	0.4943
3160	-0.468	0.	-3.e-002	0.53036
3165	-0.48	0.	-3.e-002	0.44102
5455	-2.4e-002	0.	0.	0.64617
5465	-0.43163	0.	-3.2527e-019	0.78512
8490	-9.5234e-002	0.	-3.7042e-019	1.0872
8498	-0.18964	0.	4.5064e-019	1.3895
8505	-0.2744	0.	8.2106e-019	1.4322
8514	-0.34763	0.	-3.2527e-019	1.2423
78	-0.456	0.	-7.5e-002	2.8966e-002
79	-0.432	0.	-7.5e-002	-1.6379e-002
80	-0.384	0.	-7.5e-002	-2.6717e-002
81	-0.336	0.	-7.5e-002	-3.1401e-002
82	-0.288	0.	-7.5e-002	-3.2751e-002
83	-0.24	0.	-7.5e-002	-3.314e-002
84	-0.192	0.	-7.5e-002	-3.2808e-002
85	-0.144	0.	-7.5e-002	-3.1515e-002
86	-9.6e-002	0.	-7.5e-002	-2.6606e-002
87	-4.8e-002	0.	-7.5e-002	-1.6177e-002
88	-2.4e-002	0.	-7.5e-002	3.0624e-002
89	-2.4e-002	0.	7.5e-002	2.8545e-002
90	-4.8e-002	0.	7.5e-002	-1.6439e-002
91	-9.6e-002	0.	7.5e-002	-2.6496e-002
92	-0.144	0.	7.5e-002	-3.1282e-002
93	-0.192	0.	7.5e-002	-3.2904e-002
94	-0.24	0.	7.5e-002	-3.3139e-002
95	-0.288	0.	7.5e-002	-3.264e-002
96	-0.336	0.	7.5e-002	-3.1342e-002
97	-0.384	0.	7.5e-002	-2.6793e-002
98	-0.432	0.	7.5e-002	-1.6861e-002
99	-0.456	0.	7.5e-002	2.9938e-002
100	0.	0.	7.5e-002	6.7223e-002
101	0.	0.	9.e-002	4.4601e-002
102	-2.4e-002	0.	9.e-002	1.6638e-002
103	-4.8e-002	0.	9.e-002	-2.3291e-002
104	-9.6e-002	0.	9.e-002	-4.0242e-002
105	-0.144	0.	9.e-002	-4.6781e-002
106	-0.192	0.	9.e-002	-4.9188e-002
107	-0.24	0.	9.e-002	-4.9494e-002
108	-0.288	0.	9.e-002	-4.8801e-002
109	-0.336	0.	9.e-002	-4.6852e-002
110	-0.384	0.	9.e-002	-4.0748e-002
111	-0.432	0.	9.e-002	-2.3601e-002
112	-0.456	0.	9.e-002	1.7036e-002
113	-0.48	0.	7.5e-002	7.0203e-002
114	-0.48	0.	9.e-002	4.483e-002
115	-0.48	0.	6.e-002	9.5576e-002
116	-0.456	0.	6.e-002	4.2839e-002
117	-0.432	0.	6.e-002	-1.0121e-002
118	-0.384	0.	6.e-002	-1.2837e-002
119	-0.336	0.	6.e-002	-1.5831e-002
120	-0.288	0.	6.e-002	-1.648e-002
121	-0.24	0.	6.e-002	-1.6784e-002
122	-0.192	0.	6.e-002	-1.6621e-002
123	-0.144	0.	6.e-002	-1.5783e-002
124	-9.6e-002	0.	6.e-002	-1.275e-002
125	-4.8e-002	0.	6.e-002	-9.5873e-003
126	0.	0.	6.e-002	8.9846e-002
127	-2.4e-002	0.	6.e-002	4.0452e-002
205	-2.4e-002	0.	-6.e-002	4.2759e-002
206	0.	0.	-6.e-002	9.4627e-002
207	-4.8e-002	0.	-6.e-002	-9.5933e-003
208	-9.6e-002	0.	-6.e-002	-1.278e-002
209	-0.144	0.	-6.e-002	-1.5914e-002
210	-0.192	0.	-6.e-002	-1.6571e-002
211	-0.24	0.	-6.e-002	-1.6783e-002
212	-0.288	0.	-6.e-002	-1.6536e-002
213	-0.336	0.	-6.e-002	-1.5849e-002
214	-0.384	0.	-6.e-002	-1.2832e-002
215	-0.432	0.	-6.e-002	-9.5395e-003
216	-0.456	0.	-6.e-002	4.0371e-002
217	-0.48	0.	-6.e-002	8.9551e-002
325	-0.456	0.	-9.e-002	1.7561e-002
326	-0.48	0.	-9.e-002	4.5768e-002
327	-0.432	0.	-9.e-002	-2.3218e-002
328	-0.384	0.	-9.e-002	-4.0603e-002
329	-0.336	0.	-9.e-002	-4.6954e-002
330	-0.288	0.	-9.e-002	-4.8966e-002
331	-0.24	0.	-9.e-002	-4.9497e-002
332	-0.192	0.	-9.e-002	-4.9045e-002
333	-0.144	0.	-9.e-002	-4.7116e-002
334	-9.6e-002	0.	-9.e-002	-4.0432e-002
335	-4.8e-002	0.	-9.e-002	-2.276e-002
336	-2.4e-002	0.	-9.e-002	1.849e-002
337	0.	0.	-9.e-002	4.7329e-002
347	-0.48	0.	-7.5e-002	6.766e-002
351	0.	0.	-7.5e-002	7.0978e-002
