Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Magnetic Flux Density (T)
13	-0.28	0.	3.5e-002	0.2725
14	-0.25455	0.	3.5e-002	0.40054
15	-0.22909	0.	3.5e-002	0.64083
16	-0.20364	0.	3.5e-002	0.72508
17	-0.17818	0.	3.5e-002	0.80378
18	-0.15273	0.	3.5e-002	0.93422
19	-0.12727	0.	3.5e-002	0.86356
20	-0.10182	0.	3.5e-002	0.81205
21	-7.6364e-002	0.	3.5e-002	0.71645
22	-5.0909e-002	0.	3.5e-002	0.63145
23	0.	0.	3.5e-002	0.28408
24	-2.5455e-002	0.	3.5e-002	0.40881
95	-2.5455e-002	0.	-3.5e-002	0.40789
96	0.	0.	-3.5e-002	0.28153
97	-5.0909e-002	0.	-3.5e-002	0.63111
98	-7.6364e-002	0.	-3.5e-002	0.71428
99	-0.10182	0.	-3.5e-002	0.80819
100	-0.12727	0.	-3.5e-002	0.82554
101	-0.15273	0.	-3.5e-002	0.85724
102	-0.17818	0.	-3.5e-002	0.81296
103	-0.20364	0.	-3.5e-002	0.72823
104	-0.22909	0.	-3.5e-002	0.65499
105	-0.25455	0.	-3.5e-002	0.40756
106	-0.28	0.	-3.5e-002	0.27969
462	0.	0.	0.	0.24857
463	-0.28	0.	0.	0.2442
909	-3.8182e-002	0.	0.	0.55818
910	-8.9091e-002	0.	0.	0.78268
911	-0.14664	0.	6.0377e-019	0.84348
912	-0.19091	0.	0.	0.76455
913	-0.23541	0.	-4.9893e-019	0.5862
2100	-0.26727	0.	3.5e-002	0.33074
2103	-0.28	0.	1.75e-002	0.2446
2108	-0.24182	0.	3.5e-002	0.51827
2110	-0.26727	0.	1.75e-002	0.31812
2111	-0.24498	0.	1.75e-002	0.48809
2114	-0.21636	0.	3.5e-002	0.6827
2116	-0.23225	0.	1.75e-002	0.61256
2118	-0.19091	0.	3.5e-002	0.76441
2120	-0.19727	0.	1.75e-002	0.74452
2121	-0.21952	0.	1.75e-002	0.65525
2125	-0.16545	0.	3.5e-002	0.86887
2127	-0.16241	0.	1.75e-002	0.82345
2128	-0.18455	0.	1.75e-002	0.78399
2130	-0.14	0.	3.5e-002	0.89872
2132	-0.14969	0.	1.75e-002	0.88884
2133	-0.11455	0.	3.5e-002	0.83774
2135	-0.10818	0.	1.75e-002	0.82312
2136	-0.13696	0.	1.75e-002	0.85343
2138	-8.9091e-002	0.	3.5e-002	0.76413
2140	-9.5455e-002	0.	1.75e-002	0.79728
2142	-6.3636e-002	0.	3.5e-002	0.67376
2144	-5.7273e-002	0.	1.75e-002	0.63692
2145	-8.2727e-002	0.	1.75e-002	0.74921
2147	-3.8182e-002	0.	3.5e-002	0.5179
2149	-4.4545e-002	0.	1.75e-002	0.59396
2151	-1.2727e-002	0.	3.5e-002	0.34175
2154	0.	0.	1.75e-002	0.25311
2160	-1.2727e-002	0.	1.75e-002	0.32396
2161	-3.1818e-002	0.	1.75e-002	0.47848
2568	-1.2727e-002	0.	-3.5e-002	0.34001
2569	-3.8182e-002	0.	-3.5e-002	0.51731
2571	-1.2727e-002	0.	-1.75e-002	0.32346
2572	-3.1818e-002	0.	-1.75e-002	0.4774
2578	0.	0.	-1.75e-002	0.2518
2583	-6.3636e-002	0.	-3.5e-002	0.67249
2585	-4.4545e-002	0.	-1.75e-002	0.59346
2587	-8.9091e-002	0.	-3.5e-002	0.76113
2589	-5.7273e-002	0.	-1.75e-002	0.63566
2590	-8.2727e-002	0.	-1.75e-002	0.74801
2592	-0.11455	0.	-3.5e-002	0.81685
2594	-9.5455e-002	0.	-1.75e-002	0.79528
2596	-0.14	0.	-3.5e-002	0.84127
2598	-0.10818	0.	-1.75e-002	0.804
2599	-0.13696	0.	-1.75e-002	0.83444
2601	-0.16545	0.	-3.5e-002	0.83505
2603	-0.14969	0.	-1.75e-002	0.85036
2605	-0.19091	0.	-3.5e-002	0.77051
2607	-0.16241	0.	-1.75e-002	0.82814
2608	-0.18455	0.	-1.75e-002	0.78868
2611	-0.21636	0.	-3.5e-002	0.69132
2613	-0.19727	0.	-1.75e-002	0.74609
2614	-0.21952	0.	-1.75e-002	0.65669
2618	-0.24182	0.	-3.5e-002	0.52941
2620	-0.23225	0.	-1.75e-002	0.6193
2622	-0.26727	0.	-3.5e-002	0.33936
2624	-0.26727	0.	-1.75e-002	0.32102
2625	-0.24498	0.	-1.75e-002	0.49175
2631	-0.28	0.	-1.75e-002	0.2492
4810	-1.9091e-002	0.	0.	0.40205
4818	-0.25771	0.	-2.4947e-019	0.4139
7773	-6.3636e-002	0.	0.	0.67032
7779	-0.11787	0.	3.0189e-019	0.81298
7786	-0.16878	0.	3.0189e-019	0.80402
7793	-0.21316	0.	-2.4947e-019	0.67521
1	0.	0.	5.25e-002	0.13925
2	-2.5455e-002	0.	5.25e-002	0.11138
3	-5.0909e-002	0.	5.25e-002	7.4804e-002
4	-7.6364e-002	0.	5.25e-002	5.2982e-002
5	-0.10182	0.	5.25e-002	3.5382e-002
6	-0.12727	0.	5.25e-002	2.332e-002
7	-0.15273	0.	5.25e-002	2.3304e-002
8	-0.17818	0.	5.25e-002	3.5338e-002
9	-0.20364	0.	5.25e-002	5.3556e-002
10	-0.22909	0.	5.25e-002	7.5821e-002
11	-0.25455	0.	5.25e-002	0.11121
12	-0.28	0.	5.25e-002	0.13925
13	-0.28	0.	3.5e-002	0.13925
14	-0.25455	0.	3.5e-002	0.11121
15	-0.22909	0.	3.5e-002	7.5821e-002
16	-0.20364	0.	3.5e-002	5.3556e-002
17	-0.17818	0.	3.5e-002	3.5338e-002
18	-0.15273	0.	3.5e-002	2.3304e-002
19	-0.12727	0.	3.5e-002	2.332e-002
20	-0.10182	0.	3.5e-002	3.5382e-002
21	-7.6364e-002	0.	3.5e-002	5.2982e-002
22	-5.0909e-002	0.	3.5e-002	7.4804e-002
23	0.	0.	3.5e-002	0.13925
24	-2.5455e-002	0.	3.5e-002	0.11138
95	-2.5455e-002	0.	-3.5e-002	0.11104
96	0.	0.	-3.5e-002	0.13778
97	-5.0909e-002	0.	-3.5e-002	7.5189e-002
98	-7.6364e-002	0.	-3.5e-002	5.2854e-002
99	-0.10182	0.	-3.5e-002	3.5898e-002
100	-0.12727	0.	-3.5e-002	2.3135e-002
101	-0.15273	0.	-3.5e-002	2.3466e-002
102	-0.17818	0.	-3.5e-002	3.5283e-002
103	-0.20364	0.	-3.5e-002	5.2604e-002
104	-0.22909	0.	-3.5e-002	7.4841e-002
105	-0.25455	0.	-3.5e-002	0.11085
106	-0.28	0.	-3.5e-002	0.13841
199	-0.25455	0.	-5.25e-002	0.11085
200	-0.28	0.	-5.25e-002	0.13841
201	-0.22909	0.	-5.25e-002	7.4841e-002
202	-0.20364	0.	-5.25e-002	5.2604e-002
203	-0.17818	0.	-5.25e-002	3.5283e-002
204	-0.15273	0.	-5.25e-002	2.3466e-002
205	-0.12727	0.	-5.25e-002	2.3135e-002
206	-0.10182	0.	-5.25e-002	3.5898e-002
207	-7.6364e-002	0.	-5.25e-002	5.2854e-002
208	-5.0909e-002	0.	-5.25e-002	7.5189e-002
209	-2.5455e-002	0.	-5.25e-002	0.11104
210	0.	0.	-5.25e-002	0.13778
2024	-1.2727e-002	0.	5.25e-002	0.12496
2025	0.	0.	4.375e-002	0.13925
2032	-3.8182e-002	0.	5.25e-002	9.2141e-002
2033	-2.5455e-002	0.	4.375e-002	0.11138
2039	-6.3636e-002	0.	5.25e-002	6.374e-002
2040	-5.0909e-002	0.	4.375e-002	7.4804e-002
2044	-8.9091e-002	0.	5.25e-002	4.3863e-002
