Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Magnetic Flux Density (T)
13	-0.2	0.	2.5e-002	0.20462
14	-0.18182	0.	2.5e-002	0.30996
15	-0.16364	0.	2.5e-002	0.45873
16	-0.14545	0.	2.5e-002	0.53556
17	-0.12727	0.	2.5e-002	0.57912
18	-0.10909	0.	2.5e-002	0.60082
19	-9.0909e-002	0.	2.5e-002	0.59581
20	-7.2727e-002	0.	2.5e-002	0.58104
21	-5.4545e-002	0.	2.5e-002	0.53226
22	-3.6364e-002	0.	2.5e-002	0.47058
23	0.	0.	2.5e-002	0.20709
24	-1.8182e-002	0.	2.5e-002	0.29406
95	-1.8182e-002	0.	-2.5e-002	0.28786
96	0.	0.	-2.5e-002	0.19948
97	-3.6364e-002	0.	-2.5e-002	0.47193
98	-5.4545e-002	0.	-2.5e-002	0.54217
99	-7.2727e-002	0.	-2.5e-002	0.58111
100	-9.0909e-002	0.	-2.5e-002	0.60279
101	-0.10909	0.	-2.5e-002	0.60762
102	-0.12727	0.	-2.5e-002	0.5837
103	-0.14545	0.	-2.5e-002	0.53143
104	-0.16364	0.	-2.5e-002	0.46369
105	-0.18182	0.	-2.5e-002	0.30173
106	-0.2	0.	-2.5e-002	0.2144
457	0.	0.	0.	0.17903
458	-0.2	0.	0.	0.17696
900	-2.7273e-002	0.	0.	0.39223
901	-6.3636e-002	0.	0.	0.55481
902	-0.1074	0.	4.3368e-019	0.59993
903	-0.14411	0.	0.	0.53758
904	-0.17273	0.	0.	0.39046
2073	-0.19091	0.	2.5e-002	0.25328
2075	-0.2	0.	1.25e-002	0.18303
2081	-0.17273	0.	2.5e-002	0.3832
2083	-0.19091	0.	1.25e-002	0.24121
2084	-0.17727	0.	1.25e-002	0.34674
2088	-0.15455	0.	2.5e-002	0.49712
2090	-0.15387	0.	1.25e-002	0.49766
2091	-0.16818	0.	1.25e-002	0.42359
2095	-0.13636	0.	2.5e-002	0.55706
2097	-0.14478	0.	1.25e-002	0.53623
2099	-0.11818	0.	2.5e-002	0.58996
2101	-0.11734	0.	1.25e-002	0.58947
2102	-0.13569	0.	1.25e-002	0.55832
2104	-0.1	0.	2.5e-002	0.5983
2106	-0.10825	0.	1.25e-002	0.60036
2109	-8.1818e-002	0.	2.5e-002	0.5884
2111	-7.7273e-002	0.	1.25e-002	0.5753
2112	-9.9155e-002	0.	1.25e-002	0.59787
2116	-6.3636e-002	0.	2.5e-002	0.55647
2118	-6.8182e-002	0.	1.25e-002	0.56786
2120	-4.5455e-002	0.	2.5e-002	0.5014
2122	-5.9091e-002	0.	1.25e-002	0.54316
2124	-2.7273e-002	0.	2.5e-002	0.38025
2126	-3.1818e-002	0.	1.25e-002	0.43099
2127	-5.e-002	0.	1.25e-002	0.5122
2129	-9.0909e-003	0.	2.5e-002	0.24753
2131	0.	0.	1.25e-002	0.1844
2138	-9.0909e-003	0.	1.25e-002	0.23346
2139	-2.2727e-002	0.	1.25e-002	0.33966
2536	-9.0909e-003	0.	-2.5e-002	0.24049
2537	-2.7273e-002	0.	-2.5e-002	0.37786
2539	-9.0909e-003	0.	-1.25e-002	0.22989
2540	-2.2727e-002	0.	-1.25e-002	0.33602
2545	0.	0.	-1.25e-002	0.17965
2550	-4.5455e-002	0.	-2.5e-002	0.50704
2552	-3.1818e-002	0.	-1.25e-002	0.43147
2553	-5.e-002	0.	-1.25e-002	0.51289
2556	-6.3636e-002	0.	-2.5e-002	0.56149
2558	-5.9091e-002	0.	-1.25e-002	0.54812
2560	-8.1818e-002	0.	-2.5e-002	0.59191
2562	-6.8182e-002	0.	-1.25e-002	0.56789
2564	-0.1	0.	-2.5e-002	0.60517
2566	-7.7273e-002	0.	-1.25e-002	0.57879
2567	-9.9155e-002	0.	-1.25e-002	0.60134
2570	-0.11818	0.	-2.5e-002	0.59564
2572	-0.10825	0.	-1.25e-002	0.60377
2575	-0.13636	0.	-2.5e-002	0.55747
2577	-0.11734	0.	-1.25e-002	0.59177
2578	-0.13569	0.	-1.25e-002	0.56051
2581	-0.15455	0.	-2.5e-002	0.49751
2583	-0.14478	0.	-1.25e-002	0.53411
2586	-0.17273	0.	-2.5e-002	0.38089
2588	-0.15387	0.	-1.25e-002	0.49996
2589	-0.16818	0.	-1.25e-002	0.42668
2591	-0.19091	0.	-2.5e-002	0.25507
2593	-0.19091	0.	-1.25e-002	0.23535
2594	-0.17727	0.	-1.25e-002	0.3432
2598	-0.2	0.	-1.25e-002	0.18635
4727	-1.3636e-002	0.	0.	0.28484
4736	-0.18636	0.	0.	0.28267
7702	-4.5455e-002	0.	0.	0.47338
7708	-8.5518e-002	0.	2.1684e-019	0.57735
7716	-0.12575	0.	2.1684e-019	0.56872
7724	-0.15842	0.	0.	0.46375
1	0.	0.	3.75e-002	9.8164e-002
2	-1.8182e-002	0.	3.75e-002	7.8973e-002
3	-3.6364e-002	0.	3.75e-002	5.3756e-002
4	-5.4545e-002	0.	3.75e-002	3.7678e-002
5	-7.2727e-002	0.	3.75e-002	2.5176e-002
6	-9.0909e-002	0.	3.75e-002	1.6663e-002
7	-0.10909	0.	3.75e-002	1.6559e-002
8	-0.12727	0.	3.75e-002	2.5234e-002
9	-0.14545	0.	3.75e-002	3.7434e-002
10	-0.16364	0.	3.75e-002	5.3334e-002
11	-0.18182	0.	3.75e-002	7.8217e-002
12	-0.2	0.	3.75e-002	9.6682e-002
13	-0.2	0.	2.5e-002	9.6682e-002
14	-0.18182	0.	2.5e-002	7.8217e-002
15	-0.16364	0.	2.5e-002	5.3334e-002
16	-0.14545	0.	2.5e-002	3.7434e-002
17	-0.12727	0.	2.5e-002	2.5234e-002
18	-0.10909	0.	2.5e-002	1.6559e-002
19	-9.0909e-002	0.	2.5e-002	1.6663e-002
20	-7.2727e-002	0.	2.5e-002	2.5176e-002
21	-5.4545e-002	0.	2.5e-002	3.7678e-002
22	-3.6364e-002	0.	2.5e-002	5.3756e-002
23	0.	0.	2.5e-002	9.8164e-002
24	-1.8182e-002	0.	2.5e-002	7.8973e-002
95	-1.8182e-002	0.	-2.5e-002	7.8106e-002
96	0.	0.	-2.5e-002	9.5636e-002
97	-3.6364e-002	0.	-2.5e-002	5.4115e-002
98	-5.4545e-002	0.	-2.5e-002	3.7704e-002
99	-7.2727e-002	0.	-2.5e-002	2.546e-002
100	-9.0909e-002	0.	-2.5e-002	1.6657e-002
101	-0.10909	0.	-2.5e-002	1.655e-002
102	-0.12727	0.	-2.5e-002	2.5096e-002
103	-0.14545	0.	-2.5e-002	3.7598e-002
104	-0.16364	0.	-2.5e-002	5.296e-002
105	-0.18182	0.	-2.5e-002	7.7917e-002
106	-0.2	0.	-2.5e-002	9.7343e-002
