Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Magnetic Flux Density (T)
115	-0.44	0.	5.5e-002	0.50379
116	-0.418	0.	5.5e-002	0.59199
117	-0.396	0.	5.5e-002	0.77742
118	-0.352	0.	5.5e-002	1.0456
119	-0.308	0.	5.5e-002	1.2097
120	-0.264	0.	5.5e-002	1.3175
121	-0.22	0.	5.5e-002	1.3637
122	-0.176	0.	5.5e-002	1.323
123	-0.132	0.	5.5e-002	1.2216
124	-8.8e-002	0.	5.5e-002	1.0486
125	-4.4e-002	0.	5.5e-002	0.82258
126	0.	0.	5.5e-002	0.49719
127	-2.2e-002	0.	5.5e-002	0.61849
205	-2.2e-002	0.	-5.5e-002	0.61496
206	0.	0.	-5.5e-002	0.49838
207	-4.4e-002	0.	-5.5e-002	0.8215
208	-8.8e-002	0.	-5.5e-002	1.0749
209	-0.132	0.	-5.5e-002	1.2355
210	-0.176	0.	-5.5e-002	1.3129
211	-0.22	0.	-5.5e-002	1.3545
212	-0.264	0.	-5.5e-002	1.3186
213	-0.308	0.	-5.5e-002	1.2132
214	-0.352	0.	-5.5e-002	1.0517
215	-0.396	0.	-5.5e-002	0.78489
216	-0.418	0.	-5.5e-002	0.60592
217	-0.44	0.	-5.5e-002	0.51346
595	0.	0.	0.	0.40806
596	-0.44	0.	0.	0.45871
1044	-4.4e-002	0.	0.	0.77148
1045	-0.1306	0.	8.6736e-019	1.1911
1046	-0.21707	0.	0.	1.3468
1047	-0.286	0.	0.	1.2521
1048	-0.35131	0.	1.9516e-018	1.0087
2682	-0.429	0.	5.5e-002	0.54326
2684	-0.44	0.	2.75e-002	0.44688
2690	-0.407	0.	5.5e-002	0.67641
2692	-0.429	0.	2.75e-002	0.50744
2695	-0.374	0.	5.5e-002	0.91065
2697	-0.418	0.	2.75e-002	0.61309
2698	-0.37366	0.	2.75e-002	0.88872
2701	-0.33	0.	5.5e-002	1.127
2703	-0.35166	0.	2.75e-002	1.0255
2706	-0.286	0.	5.5e-002	1.2635
2708	-0.297	0.	2.75e-002	1.2306
2709	-0.32966	0.	2.75e-002	1.1088
2712	-0.242	0.	5.5e-002	1.3405
2714	-0.24054	0.	2.75e-002	1.3321
2715	-0.275	0.	2.75e-002	1.2847
2719	-0.198	0.	5.5e-002	1.3433
2721	-0.21854	0.	2.75e-002	1.3552
2724	-0.154	0.	5.5e-002	1.2721
2726	-0.1533	0.	2.75e-002	1.2569
2727	-0.19654	0.	2.75e-002	1.3348
2730	-0.11	0.	5.5e-002	1.1349
2732	-0.1313	0.	2.75e-002	1.2056
2735	-6.6e-002	0.	5.5e-002	0.93377
2737	-6.6e-002	0.	2.75e-002	0.90882
2738	-0.1093	0.	2.75e-002	1.1183
2741	-3.3e-002	0.	5.5e-002	0.71771
2743	-4.4e-002	0.	2.75e-002	0.79236
2746	-1.1e-002	0.	5.5e-002	0.54906
2748	0.	0.	2.75e-002	0.42113
2752	-1.1e-002	0.	2.75e-002	0.50114
2753	-3.3e-002	0.	2.75e-002	0.68161
3123	-1.1e-002	0.	-5.5e-002	0.5493
3124	-3.3e-002	0.	-5.5e-002	0.71473
3125	-1.1e-002	0.	-2.75e-002	0.49961
3126	-3.3e-002	0.	-2.75e-002	0.6796
3131	0.	0.	-2.75e-002	0.42434
3137	-6.6e-002	0.	-5.5e-002	0.94628
3138	-4.4e-002	0.	-2.75e-002	0.79251
3141	-0.11	0.	-5.5e-002	1.1551
3142	-6.6e-002	0.	-2.75e-002	0.92215
3143	-0.1093	0.	-2.75e-002	1.1322
3147	-0.154	0.	-5.5e-002	1.274
3148	-0.1313	0.	-2.75e-002	1.213
3151	-0.198	0.	-5.5e-002	1.3336
3152	-0.1533	0.	-2.75e-002	1.2519
3153	-0.19654	0.	-2.75e-002	1.3298
3158	-0.242	0.	-5.5e-002	1.3364
3159	-0.21854	0.	-2.75e-002	1.3506
3162	-0.286	0.	-5.5e-002	1.2658
3163	-0.24054	0.	-2.75e-002	1.3326
3164	-0.275	0.	-2.75e-002	1.2853
3167	-0.33	0.	-5.5e-002	1.132
3168	-0.297	0.	-2.75e-002	1.2323
3169	-0.32966	0.	-2.75e-002	1.1106
3172	-0.374	0.	-5.5e-002	0.91782
3173	-0.35166	0.	-2.75e-002	1.0287
3176	-0.407	0.	-5.5e-002	0.68727
3177	-0.418	0.	-2.75e-002	0.61728
3178	-0.37366	0.	-2.75e-002	0.89363
3182	-0.429	0.	-5.5e-002	0.55441
3183	-0.429	0.	-2.75e-002	0.51592
3188	-0.44	0.	-2.75e-002	0.45266
5509	-2.2e-002	0.	0.	0.58708
5518	-0.39566	0.	9.7582e-019	0.73052
8505	-8.7298e-002	0.	4.3368e-019	0.98109
8511	-0.17384	0.	4.3368e-019	1.2689
8520	-0.25154	0.	0.	1.2994
8528	-0.31866	0.	9.7582e-019	1.1304
78	-0.418	0.	-6.875e-002	0.21321
79	-0.396	0.	-6.875e-002	0.1584
80	-0.352	0.	-6.875e-002	0.11041
81	-0.308	0.	-6.875e-002	7.276e-002
82	-0.264	0.	-6.875e-002	4.4824e-002
83	-0.22	0.	-6.875e-002	3.0318e-002
84	-0.176	0.	-6.875e-002	4.379e-002
85	-0.132	0.	-6.875e-002	7.2985e-002
86	-8.8e-002	0.	-6.875e-002	0.11161
87	-4.4e-002	0.	-6.875e-002	0.15721
88	-2.2e-002	0.	-6.875e-002	0.21244
89	-2.2e-002	0.	6.875e-002	0.21521
90	-4.4e-002	0.	6.875e-002	0.15853
91	-8.8e-002	0.	6.875e-002	0.11126
92	-0.132	0.	6.875e-002	7.374e-002
93	-0.176	0.	6.875e-002	4.4505e-002
94	-0.22	0.	6.875e-002	3.0305e-002
95	-0.264	0.	6.875e-002	4.4165e-002
96	-0.308	0.	6.875e-002	7.307e-002
97	-0.352	0.	6.875e-002	0.11155
98	-0.396	0.	6.875e-002	0.15906
99	-0.418	0.	6.875e-002	0.21466
100	0.	0.	6.875e-002	0.25137
101	0.	0.	8.25e-002	0.18242
102	-2.2e-002	0.	8.25e-002	0.17033
103	-4.4e-002	0.	8.25e-002	0.14081
104	-8.8e-002	0.	8.25e-002	0.10363
105	-0.132	0.	8.25e-002	7.4801e-002
106	-0.176	0.	8.25e-002	5.3678e-002
107	-0.22	0.	8.25e-002	4.5257e-002
108	-0.264	0.	8.25e-002	5.3413e-002
109	-0.308	0.	8.25e-002	7.3828e-002
110	-0.352	0.	8.25e-002	0.10384
111	-0.396	0.	8.25e-002	0.14161
112	-0.418	0.	8.25e-002	0.17013
113	-0.44	0.	6.875e-002	0.24963
114	-0.44	0.	8.25e-002	0.18061
115	-0.44	0.	5.5e-002	0.31891
116	-0.418	0.	5.5e-002	0.25944
117	-0.396	0.	5.5e-002	0.17689
118	-0.352	0.	5.5e-002	0.12127
119	-0.308	0.	5.5e-002	7.57e-002
120	-0.264	0.	5.5e-002	3.8907e-002
121	-0.22	0.	5.5e-002	1.5352e-002
122	-0.176	0.	5.5e-002	3.9178e-002
123	-0.132	0.	5.5e-002	7.6023e-002
124	-8.8e-002	0.	5.5e-002	0.12094
125	-4.4e-002	0.	5.5e-002	0.17665
126	0.	0.	5.5e-002	0.32046
127	-2.2e-002	0.	5.5e-002	0.26027
205	-2.2e-002	0.	-5.5e-002	0.25645
206	0.	0.	-5.5e-002	0.31499
207	-4.4e-002	0.	-5.5e-002	0.17536
208	-8.8e-002	0.	-5.5e-002	0.12107
209	-0.132	0.	-5.5e-002	7.5604e-002
