Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Magnetic Flux Density (T)
11162	0.	0.	1.e-002	6.1382e-002
11163	0.	0.	0.	9.3898e-002
11166	-8.e-002	0.	1.e-002	6.6911e-002
11167	-8.e-002	0.	0.	9.2331e-002
11168	-8.e-002	0.	-1.e-002	6.02e-002
11169	0.	0.	-1.e-002	6.7272e-002
11444	-4.e-002	0.	1.e-002	0.23125
11445	-2.e-002	0.	1.e-002	0.17983
11446	-6.e-002	0.	1.e-002	0.16106
11447	-4.e-002	0.	-1.e-002	0.22997
11448	-6.e-002	0.	-1.e-002	0.17334
11449	-2.e-002	0.	-1.e-002	0.16668
12689	0.	0.	5.e-003	7.152e-002
12692	-1.e-002	0.	1.e-002	0.11368
12697	0.	0.	-5.e-003	7.1949e-002
12699	-1.e-002	0.	5.e-003	0.13639
12700	-1.e-002	0.	-5.e-003	0.12948
12715	-8.e-002	0.	5.e-003	7.3009e-002
12719	-7.e-002	0.	1.e-002	0.10884
12722	-8.e-002	0.	-5.e-003	7.0324e-002
12726	-7.e-002	0.	5.e-003	0.126
12727	-7.e-002	0.	-5.e-003	0.13245
12734	-7.e-002	0.	-1.e-002	0.1101
12738	-1.e-002	0.	-1.e-002	0.10983
14332	-3.e-002	0.	1.e-002	0.20546
14333	-5.e-002	0.	1.e-002	0.19576
14334	-4.e-002	0.	0.	0.23061
14335	-5.e-002	0.	0.	0.20222
14342	-3.e-002	0.	0.	0.20479
14343	-2.e-002	0.	0.	0.17267
14349	-6.e-002	0.	0.	0.16662
14353	-5.e-002	0.	-1.e-002	0.20159
14354	-3.e-002	0.	-1.e-002	0.19798
11162	0.	0.	1.e-002	4.2163e-002
11166	-8.e-002	0.	1.e-002	3.778e-002
11168	-8.e-002	0.	-1.e-002	3.7946e-002
11169	0.	0.	-1.e-002	4.6014e-002
11175	-8.e-002	0.	1.5e-002	2.6879e-002
11177	0.	0.	1.5e-002	3.3269e-002
11178	0.	0.	-1.5e-002	3.2731e-002
11179	-8.e-002	0.	-1.5e-002	2.6903e-002
11444	-4.e-002	0.	1.e-002	2.3127e-003
11445	-2.e-002	0.	1.e-002	2.1011e-002
11446	-6.e-002	0.	1.e-002	2.3642e-002
11447	-4.e-002	0.	-1.e-002	6.2921e-003
11448	-6.e-002	0.	-1.e-002	2.366e-002
11449	-2.e-002	0.	-1.e-002	2.4631e-002
11450	-4.e-002	0.	1.5e-002	6.9831e-003
11451	-6.e-002	0.	1.5e-002	1.3853e-002
11452	-2.e-002	0.	1.5e-002	2.3401e-002
11453	-4.e-002	0.	-1.5e-002	5.5961e-003
11454	-2.e-002	0.	-1.5e-002	2.0346e-002
11455	-6.e-002	0.	-1.5e-002	1.2604e-002
12691	0.	0.	1.25e-002	3.6454e-002
12692	-1.e-002	0.	1.e-002	3.134e-002
12693	-1.e-002	0.	1.25e-002	3.2515e-002
12717	-8.e-002	0.	1.25e-002	3.102e-002
12719	-7.e-002	0.	1.e-002	3.0368e-002
12732	-8.e-002	0.	-1.25e-002	3.1027e-002
12734	-7.e-002	0.	-1.e-002	3.0498e-002
12737	0.	0.	-1.25e-002	3.7268e-002
12738	-1.e-002	0.	-1.e-002	3.4812e-002
12739	-1.e-002	0.	-1.25e-002	3.2571e-002
12780	-7.e-002	0.	1.25e-002	2.4811e-002
12781	-7.e-002	0.	1.5e-002	1.9708e-002
12798	-1.e-002	0.	1.5e-002	2.7614e-002
12806	-1.e-002	0.	-1.5e-002	2.5276e-002
12813	-7.e-002	0.	-1.25e-002	2.4847e-002
12814	-7.e-002	0.	-1.5e-002	1.9221e-002
14332	-3.e-002	0.	1.e-002	1.1523e-002
14333	-5.e-002	0.	1.e-002	1.0791e-002
14336	-4.e-002	0.	1.25e-002	4.2818e-003
14337	-5.e-002	0.	1.25e-002	5.7888e-003
14344	-3.e-002	0.	1.25e-002	1.3768e-002
14345	-2.e-002	0.	1.25e-002	2.1988e-002
14350	-6.e-002	0.	1.25e-002	1.8209e-002
14353	-5.e-002	0.	-1.e-002	1.4435e-002
14354	-3.e-002	0.	-1.e-002	1.1003e-002
14355	-4.e-002	0.	-1.25e-002	4.1783e-003
14356	-5.e-002	0.	-1.25e-002	9.3993e-003
14361	-6.e-002	0.	-1.25e-002	1.7684e-002
14364	-3.e-002	0.	-1.25e-002	1.4314e-002
14365	-2.e-002	0.	-1.25e-002	2.2039e-002
14368	-5.e-002	0.	1.5e-002	6.0632e-003
14369	-3.e-002	0.	1.5e-002	1.4565e-002
14383	-3.e-002	0.	-1.5e-002	1.2091e-002
14384	-5.e-002	0.	-1.5e-002	6.4652e-003
11163	0.	0.	0.	4.3514e-002
11167	-8.e-002	0.	0.	3.9983e-002
11168	-8.e-002	0.	-1.e-002	2.4038e-002
11169	0.	0.	-1.e-002	3.1536e-002
11178	0.	0.	-1.5e-002	1.0964e-002
11179	-8.e-002	0.	-1.5e-002	1.2671e-002
11254	1.	0.	-1.015	2.8554e-008
11255	1.	0.	0.	9.2876e-007
11256	1.	0.	-0.93042	5.1043e-008
11257	1.	0.	-0.84583	1.1443e-007
11258	1.	0.	-0.76125	1.832e-007
11259	1.	0.	-0.67667	2.7421e-007
11260	1.	0.	-0.59208	3.4361e-007
11261	1.	0.	-0.5075	4.2813e-007
11262	1.	0.	-0.42292	5.4645e-007
11263	1.	0.	-0.33833	6.3855e-007
11264	1.	0.	-0.25375	7.5085e-007
11265	1.	0.	-0.16917	8.4746e-007
11266	1.	0.	-8.4583e-002	9.1138e-007
11277	-1.08	0.	-1.015	3.4669e-008
11278	-0.98957	0.	-1.015	6.1666e-008
11279	-0.89913	0.	-1.015	1.2047e-007
11280	-0.8087	0.	-1.015	1.7674e-007
11281	-0.71826	0.	-1.015	2.347e-007
11282	-0.62783	0.	-1.015	2.674e-007
11283	-0.53739	0.	-1.015	2.9546e-007
11284	-0.44696	0.	-1.015	3.0613e-007
11285	-0.35652	0.	-1.015	2.9294e-007
11286	-0.26609	0.	-1.015	2.6946e-007
11287	-0.17565	0.	-1.015	1.5186e-007
11288	-8.5217e-002	0.	-1.015	8.9278e-008
11289	5.2174e-003	0.	-1.015	7.6128e-008
11290	9.5652e-002	0.	-1.015	1.6074e-007
11291	0.18609	0.	-1.015	2.3431e-007
11292	0.27652	0.	-1.015	2.8138e-007
11293	0.36696	0.	-1.015	3.0285e-007
11294	0.45739	0.	-1.015	2.9735e-007
11295	0.54783	0.	-1.015	2.6461e-007
11296	0.63826	0.	-1.015	2.2025e-007
11297	0.7287	0.	-1.015	1.7478e-007
11298	0.81913	0.	-1.015	1.2059e-007
11299	0.90957	0.	-1.015	6.1116e-008
11305	-1.08	0.	0.	9.0088e-007
11306	-1.08	0.	-8.4583e-002	8.9878e-007
11307	-1.08	0.	-0.16917	8.4766e-007
11308	-1.08	0.	-0.25375	7.4534e-007
11309	-1.08	0.	-0.33833	6.6819e-007
11310	-1.08	0.	-0.42292	5.656e-007
11311	-1.08	0.	-0.5075	4.2171e-007
11312	-1.08	0.	-0.59208	3.2493e-007
11313	-1.08	0.	-0.67667	2.558e-007
11314	-1.08	0.	-0.76125	1.668e-007
11315	-1.08	0.	-0.84583	1.2711e-007
11316	-1.08	0.	-0.93042	5.2235e-008
11322	0.90909	0.	0.	9.8201e-007
11323	0.81818	0.	0.	1.1632e-006
11324	0.72727	0.	0.	1.513e-006
11325	0.63636	0.	0.	2.243e-006
11326	0.54545	0.	0.	3.7092e-006
11327	0.45455	0.	0.	5.5327e-006
11328	0.36364	0.	0.	1.1711e-005
11329	0.27273	0.	0.	2.8458e-005
11330	0.18182	0.	0.	8.6565e-005
11331	9.0909e-002	0.	0.	4.9691e-004
11332	-0.17091	0.	0.	4.3559e-004
11333	-0.26182	0.	0.	5.9811e-005
11334	-0.35273	0.	0.	1.6409e-005
11335	-0.44364	0.	0.	9.1675e-006
11336	-0.53455	0.	0.	6.1111e-006
11337	-0.62545	0.	0.	3.4724e-006
11338	-0.71636	0.	0.	2.1898e-006
11339	-0.80727	0.	0.	1.6971e-006
11340	-0.89818	0.	0.	1.1554e-006
11341	-0.98909	0.	0.	9.6551e-007
11453	-4.e-002	0.	-1.5e-002	5.5874e-003
11454	-2.e-002	0.	-1.5e-002	1.0079e-002
11455	-6.e-002	0.	-1.5e-002	8.4398e-003
11459	4.5455e-002	0.	0.	1.8692e-003
