Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Magnetic Flux Density (T)
115	-0.48	0.	6.e-002	0.54936
116	-0.456	0.	6.e-002	0.64876
117	-0.432	0.	6.e-002	0.85129
118	-0.384	0.	6.e-002	1.138
119	-0.336	0.	6.e-002	1.3268
120	-0.288	0.	6.e-002	1.4366
121	-0.24	0.	6.e-002	1.4875
122	-0.192	0.	6.e-002	1.4412
123	-0.144	0.	6.e-002	1.3322
124	-9.6e-002	0.	6.e-002	1.1312
125	-4.8e-002	0.	6.e-002	0.90106
126	0.	0.	6.e-002	0.55329
127	-2.4e-002	0.	6.e-002	0.68366
205	-2.4e-002	0.	-6.e-002	0.65332
206	0.	0.	-6.e-002	0.52454
207	-4.8e-002	0.	-6.e-002	0.87337
208	-9.6e-002	0.	-6.e-002	1.1405
209	-0.144	0.	-6.e-002	1.3481
210	-0.192	0.	-6.e-002	1.4455
211	-0.24	0.	-6.e-002	1.4863
212	-0.288	0.	-6.e-002	1.4559
213	-0.336	0.	-6.e-002	1.3021
214	-0.384	0.	-6.e-002	1.1524
215	-0.432	0.	-6.e-002	0.89334
216	-0.456	0.	-6.e-002	0.65743
217	-0.48	0.	-6.e-002	0.54706
595	0.	0.	0.	0.44109
596	-0.48	0.	0.	0.49067
1054	-4.8e-002	0.	0.	0.8705
1055	-0.14247	0.	-7.4083e-019	1.3063
1056	-0.23681	0.	1.6421e-018	1.473
1057	-0.312	0.	0.	1.3915
1058	-0.38325	0.	-6.5055e-019	1.0937
2668	-0.468	0.	6.e-002	0.59372
2670	-0.48	0.	3.e-002	0.48516
2676	-0.444	0.	6.e-002	0.74155
2678	-0.468	0.	3.e-002	0.55233
2681	-0.408	0.	6.e-002	0.99362
2683	-0.456	0.	3.e-002	0.66616
2684	-0.40763	0.	3.e-002	0.96728
2687	-0.36	0.	6.e-002	1.2318
2689	-0.38363	0.	3.e-002	1.1139
2692	-0.312	0.	6.e-002	1.3817
2694	-0.324	0.	3.e-002	1.3588
2695	-0.35963	0.	3.e-002	1.2097
2699	-0.264	0.	6.e-002	1.462
2701	-0.2624	0.	3.e-002	1.4547
2702	-0.3	0.	3.e-002	1.4139
2706	-0.216	0.	6.e-002	1.4642
2708	-0.2384	0.	3.e-002	1.4803
2711	-0.168	0.	6.e-002	1.3864
2713	-0.16723	0.	3.e-002	1.3735
2714	-0.2144	0.	3.e-002	1.457
2717	-0.12	0.	6.e-002	1.2314
2719	-0.14323	0.	3.e-002	1.3184
2722	-7.2e-002	0.	6.e-002	1.0142
2724	-7.2e-002	0.	3.e-002	0.99905
2725	-0.11923	0.	3.e-002	1.2169
2728	-3.6e-002	0.	6.e-002	0.78934
2730	-4.8e-002	0.	3.e-002	0.87986
2733	-1.2e-002	0.	6.e-002	0.60942
2735	0.	0.	3.e-002	0.46639
2741	-1.2e-002	0.	3.e-002	0.55027
2742	-3.6e-002	0.	3.e-002	0.76124
3104	-1.2e-002	0.	-6.e-002	0.58037
3105	-3.6e-002	0.	-6.e-002	0.7596
3106	-1.2e-002	0.	-3.e-002	0.53178
3107	-3.6e-002	0.	-3.e-002	0.74696
3113	0.	0.	-3.e-002	0.447
3117	-7.2e-002	0.	-6.e-002	1.0046
