Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Magnetic Flux Density (T)
9	-0.16	0.	2.e-002	0.15676
10	-0.13714	0.	2.e-002	0.28303
11	-0.11429	0.	2.e-002	0.41935
12	-9.1429e-002	0.	2.e-002	0.46321
13	-6.8571e-002	0.	2.e-002	0.46454
14	-4.5714e-002	0.	2.e-002	0.42051
15	0.	0.	2.e-002	0.16965
16	-2.2857e-002	0.	2.e-002	0.30293
59	-2.2857e-002	0.	-2.e-002	0.28844
60	0.	0.	-2.e-002	0.16284
61	-4.5714e-002	0.	-2.e-002	0.40371
62	-6.8571e-002	0.	-2.e-002	0.45953
63	-9.1429e-002	0.	-2.e-002	0.46073
64	-0.11429	0.	-2.e-002	0.40552
65	-0.13714	0.	-2.e-002	0.29724
66	-0.16	0.	-2.e-002	0.18076
385	0.	0.	0.	0.15034
386	-0.16	0.	0.	0.14112
1875	-0.14857	0.	2.e-002	0.21548
1877	-0.16	0.	1.e-002	0.14517
1883	-0.12571	0.	2.e-002	0.3507
1885	-0.12571	0.	0.	0.34297
1886	-0.13714	0.	0.	0.28731
1887	-0.14857	0.	1.e-002	0.21124
1892	-0.10286	0.	2.e-002	0.44125
1894	-0.10286	0.	0.	0.43993
1895	-0.11429	0.	0.	0.41218
1898	-8.e-002	0.	2.e-002	0.46382
1900	-9.1429e-002	0.	0.	0.46194
1903	-5.7143e-002	0.	2.e-002	0.44248
1905	-6.8571e-002	0.	0.	0.46201
1906	-8.e-002	0.	0.	0.46263
1909	-3.4286e-002	0.	2.e-002	0.36147
1911	-4.5714e-002	0.	0.	0.41186
1912	-5.7143e-002	0.	0.	0.4399
1915	-1.1429e-002	0.	2.e-002	0.23317
1917	0.	0.	1.e-002	0.15481
1922	-2.2857e-002	0.	0.	0.29432
1923	-3.4286e-002	0.	0.	0.35244
1924	-1.1429e-002	0.	1.e-002	0.22464
2152	-1.1429e-002	0.	-2.e-002	0.2172
2153	-3.4286e-002	0.	-2.e-002	0.34592
2155	-1.1429e-002	0.	-1.e-002	0.21847
2160	0.	0.	-1.e-002	0.1503
2165	-5.7143e-002	0.	-2.e-002	0.43158
2169	-8.e-002	0.	-2.e-002	0.46011
2173	-0.10286	0.	-2.e-002	0.43308
2177	-0.12571	0.	-2.e-002	0.35089
2181	-0.14857	0.	-2.e-002	0.23724
2183	-0.14857	0.	-1.e-002	0.21684
2188	-0.16	0.	-1.e-002	0.15591
1	0.	0.	3.e-002	6.8068e-002
2	-2.2857e-002	0.	3.e-002	5.1098e-002
3	-4.5714e-002	0.	3.e-002	2.8601e-002
4	-6.8571e-002	0.	3.e-002	1.4695e-002
5	-9.1429e-002	0.	3.e-002	1.4603e-002
6	-0.11429	0.	3.e-002	2.8593e-002
7	-0.13714	0.	3.e-002	5.1972e-002
8	-0.16	0.	3.e-002	6.9954e-002
9	-0.16	0.	2.e-002	6.9954e-002
10	-0.13714	0.	2.e-002	5.1972e-002
11	-0.11429	0.	2.e-002	2.8593e-002
12	-9.1429e-002	0.	2.e-002	1.4603e-002
13	-6.8571e-002	0.	2.e-002	1.4695e-002
14	-4.5714e-002	0.	2.e-002	2.8601e-002
15	0.	0.	2.e-002	6.8068e-002
16	-2.2857e-002	0.	2.e-002	5.1098e-002
59	-2.2857e-002	0.	-2.e-002	5.2506e-002
60	0.	0.	-2.e-002	6.9534e-002
61	-4.5714e-002	0.	-2.e-002	2.8854e-002
62	-6.8571e-002	0.	-2.e-002	1.4465e-002
63	-9.1429e-002	0.	-2.e-002	1.4988e-002
64	-0.11429	0.	-2.e-002	2.8559e-002
65	-0.13714	0.	-2.e-002	5.0833e-002
66	-0.16	0.	-2.e-002	6.873e-002
131	-0.13714	0.	-3.e-002	5.0833e-002
132	-0.16	0.	-3.e-002	6.873e-002
133	-0.11429	0.	-3.e-002	2.8559e-002
134	-9.1429e-002	0.	-3.e-002	1.4988e-002
135	-6.8571e-002	0.	-3.e-002	1.4465e-002
136	-4.5714e-002	0.	-3.e-002	2.8854e-002
137	-2.2857e-002	0.	-3.e-002	5.2506e-002
138	0.	0.	-3.e-002	6.9534e-002
1815	-1.1429e-002	0.	3.e-002	5.9344e-002
1816	0.	0.	2.5e-002	6.8068e-002
1825	-3.4286e-002	0.	3.e-002	3.904e-002
1826	-2.2857e-002	0.	2.5e-002	5.1098e-002
1833	-5.7143e-002	0.	3.e-002	2.1011e-002
1834	-4.5714e-002	0.	2.5e-002	2.8601e-002
1842	-8.e-002	0.	3.e-002	1.2083e-002
1843	-6.8571e-002	0.	2.5e-002	1.4695e-002
1847	-0.10286	0.	3.e-002	2.0946e-002
1848	-9.1429e-002	0.	2.5e-002	1.4603e-002
1853	-0.12571	0.	3.e-002	3.9417e-002
1854	-0.11429	0.	2.5e-002	2.8593e-002
1860	-0.14857	0.	3.e-002	6.0714e-002
1861	-0.13714	0.	2.5e-002	5.1972e-002
1866	-0.16	0.	2.5e-002	6.9954e-002
1875	-0.14857	0.	2.e-002	6.0714e-002
1883	-0.12571	0.	2.e-002	3.9417e-002
1892	-0.10286	0.	2.e-002	2.0946e-002
1898	-8.e-002	0.	2.e-002	1.2083e-002
1903	-5.7143e-002	0.	2.e-002	2.1011e-002
1909	-3.4286e-002	0.	2.e-002	3.904e-002
1915	-1.1429e-002	0.	2.e-002	5.9344e-002
2152	-1.1429e-002	0.	-2.e-002	6.0808e-002
2153	-3.4286e-002	0.	-2.e-002	3.9924e-002
2154	-2.2857e-002	0.	-2.5e-002	5.2506e-002
2159	0.	0.	-2.5e-002	6.9534e-002
2165	-5.7143e-002	0.	-2.e-002	2.0973e-002
2166	-4.5714e-002	0.	-2.5e-002	2.8854e-002
2169	-8.e-002	0.	-2.e-002	1.2057e-002
2170	-6.8571e-002	0.	-2.5e-002	1.4465e-002
2173	-0.10286	0.	-2.e-002	2.1199e-002
2174	-9.1429e-002	0.	-2.5e-002	1.4988e-002
2177	-0.12571	0.	-2.e-002	3.8875e-002
2178	-0.11429	0.	-2.5e-002	2.8559e-002
2181	-0.14857	0.	-2.e-002	5.9549e-002
2182	-0.13714	0.	-2.5e-002	5.0833e-002
2187	-0.16	0.	-2.5e-002	6.873e-002
2594	-0.14857	0.	-3.e-002	5.9549e-002
2595	-0.12571	0.	-3.e-002	3.8875e-002
