Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Magnetic Flux Density (T)
9	-0.12	0.	1.5e-002	0.12206
10	-0.10286	0.	1.5e-002	0.20419
11	-8.5714e-002	0.	1.5e-002	0.30256
12	-6.8571e-002	0.	1.5e-002	0.3441
13	-5.1429e-002	0.	1.5e-002	0.34768
14	-3.4286e-002	0.	1.5e-002	0.31377
15	0.	0.	1.5e-002	0.12223
16	-1.7143e-002	0.	1.5e-002	0.21573
59	-1.7143e-002	0.	-1.5e-002	0.21692
60	0.	0.	-1.5e-002	0.12804
61	-3.4286e-002	0.	-1.5e-002	0.30262
62	-5.1429e-002	0.	-1.5e-002	0.34367
63	-6.8571e-002	0.	-1.5e-002	0.34768
64	-8.5714e-002	0.	-1.5e-002	0.31443
65	-0.10286	0.	-1.5e-002	0.21411
66	-0.12	0.	-1.5e-002	0.11956
385	0.	0.	0.	9.8947e-002
386	-0.12	0.	0.	0.10544
1810	-0.11143	0.	1.5e-002	0.1608
1812	-0.12	0.	7.5e-003	0.11041
1818	-9.4286e-002	0.	1.5e-002	0.25286
1820	-0.10286	0.	0.	0.20676
1821	-0.11143	0.	7.5e-003	0.15403
1826	-7.7143e-002	0.	1.5e-002	0.3233
1828	-8.5714e-002	0.	0.	0.30832
1829	-9.4286e-002	0.	0.	0.25737
1832	-6.e-002	0.	1.5e-002	0.34587
1834	-6.8571e-002	0.	0.	0.34587
1835	-7.7143e-002	0.	0.	0.32918
1838	-4.2857e-002	0.	1.5e-002	0.3307
1840	-5.1429e-002	0.	0.	0.34566
1841	-6.e-002	0.	0.	0.34768
1844	-2.5714e-002	0.	1.5e-002	0.2645
1846	-3.4286e-002	0.	0.	0.30801
1847	-4.2857e-002	0.	0.	0.32863
1850	-8.5714e-003	0.	1.5e-002	0.16638
1852	0.	0.	7.5e-003	0.10817
1858	-1.7143e-002	0.	0.	0.21454
1859	-2.5714e-002	0.	0.	0.2584
1860	-8.5714e-003	0.	7.5e-003	0.15682
2085	-8.5714e-003	0.	-1.5e-002	0.17114
2086	-2.5714e-002	0.	-1.5e-002	0.25942
2088	-8.5714e-003	0.	-7.5e-003	0.15682
2093	0.	0.	-7.5e-003	0.11069
2097	-4.2857e-002	0.	-1.5e-002	0.32311
2101	-6.e-002	0.	-1.5e-002	0.34565
2105	-7.7143e-002	0.	-1.5e-002	0.33102
2109	-9.4286e-002	0.	-1.5e-002	0.2639
2113	-0.11143	0.	-1.5e-002	0.16411
2115	-0.11143	0.	-7.5e-003	0.15869
2121	-0.12	0.	-7.5e-003	0.10823
1	0.	0.	2.25e-002	5.03e-002
2	-1.7143e-002	0.	2.25e-002	3.8219e-002
3	-3.4286e-002	0.	2.25e-002	2.174e-002
4	-5.1429e-002	0.	2.25e-002	1.0934e-002
5	-6.8571e-002	0.	2.25e-002	1.1101e-002
6	-8.5714e-002	0.	2.25e-002	2.111e-002
7	-0.10286	0.	2.25e-002	3.7987e-002
8	-0.12	0.	2.25e-002	5.1194e-002
9	-0.12	0.	1.5e-002	5.1194e-002
10	-0.10286	0.	1.5e-002	3.7987e-002
11	-8.5714e-002	0.	1.5e-002	2.111e-002
12	-6.8571e-002	0.	1.5e-002	1.1101e-002
13	-5.1429e-002	0.	1.5e-002	1.0934e-002
14	-3.4286e-002	0.	1.5e-002	2.174e-002
15	0.	0.	1.5e-002	5.03e-002
16	-1.7143e-002	0.	1.5e-002	3.8219e-002
59	-1.7143e-002	0.	-1.5e-002	3.7696e-002
60	0.	0.	-1.5e-002	5.0296e-002
61	-3.4286e-002	0.	-1.5e-002	2.1374e-002
62	-5.1429e-002	0.	-1.5e-002	1.1024e-002
63	-6.8571e-002	0.	-1.5e-002	1.0967e-002
64	-8.5714e-002	0.	-1.5e-002	2.1485e-002
65	-0.10286	0.	-1.5e-002	3.8871e-002
66	-0.12	0.	-1.5e-002	5.1639e-002
131	-0.10286	0.	-2.25e-002	3.8871e-002
132	-0.12	0.	-2.25e-002	5.1639e-002
133	-8.5714e-002	0.	-2.25e-002	2.1485e-002
134	-6.8571e-002	0.	-2.25e-002	1.0967e-002
135	-5.1429e-002	0.	-2.25e-002	1.1024e-002
136	-3.4286e-002	0.	-2.25e-002	2.1374e-002
137	-1.7143e-002	0.	-2.25e-002	3.7696e-002
138	0.	0.	-2.25e-002	5.0296e-002
1758	-8.5714e-003	0.	2.25e-002	4.4072e-002
1759	0.	0.	1.875e-002	5.03e-002
1765	-2.5714e-002	0.	2.25e-002	2.9387e-002
1766	-1.7143e-002	0.	1.875e-002	3.8219e-002
1771	-4.2857e-002	0.	2.25e-002	1.586e-002
1772	-3.4286e-002	0.	1.875e-002	2.174e-002
1778	-6.e-002	0.	2.25e-002	9.0493e-003
1779	-5.1429e-002	0.	1.875e-002	1.0934e-002
1783	-7.7143e-002	0.	2.25e-002	1.5643e-002
1784	-6.8571e-002	0.	1.875e-002	1.1101e-002
1790	-9.4286e-002	0.	2.25e-002	2.8945e-002
1791	-8.5714e-002	0.	1.875e-002	2.111e-002
1796	-0.11143	0.	2.25e-002	4.4426e-002
1797	-0.10286	0.	1.875e-002	3.7987e-002
1803	-0.12	0.	1.875e-002	5.1194e-002
1810	-0.11143	0.	1.5e-002	4.4426e-002
1818	-9.4286e-002	0.	1.5e-002	2.8945e-002
1826	-7.7143e-002	0.	1.5e-002	1.5643e-002
1832	-6.e-002	0.	1.5e-002	9.0493e-003
1838	-4.2857e-002	0.	1.5e-002	1.586e-002
1844	-2.5714e-002	0.	1.5e-002	2.9387e-002
1850	-8.5714e-003	0.	1.5e-002	4.4072e-002
2085	-8.5714e-003	0.	-1.5e-002	4.3816e-002
2086	-2.5714e-002	0.	-1.5e-002	2.8936e-002
2087	-1.7143e-002	0.	-1.875e-002	3.7696e-002
2092	0.	0.	-1.875e-002	5.0296e-002
2097	-4.2857e-002	0.	-1.5e-002	1.5739e-002
2098	-3.4286e-002	0.	-1.875e-002	2.1374e-002
2101	-6.e-002	0.	-1.5e-002	9.0461e-003
2102	-5.1429e-002	0.	-1.875e-002	1.1024e-002
2105	-7.7143e-002	0.	-1.5e-002	1.5731e-002
2106	-6.8571e-002	0.	-1.875e-002	1.0967e-002
2109	-9.4286e-002	0.	-1.5e-002	2.9594e-002
2110	-8.5714e-002	0.	-1.875e-002	2.1485e-002
2113	-0.11143	0.	-1.5e-002	4.5091e-002
2114	-0.10286	0.	-1.875e-002	3.8871e-002
2120	-0.12	0.	-1.875e-002	5.1639e-002
2519	-0.11143	0.	-2.25e-002	4.5091e-002
2520	-9.4286e-002	0.	-2.25e-002	2.9594e-002
2529	-7.7143e-002	0.	-2.25e-002	1.5731e-002
2533	-6.e-002	0.	-2.25e-002	9.0461e-003
2537	-4.2857e-002	0.	-2.25e-002	1.5739e-002
2543	-2.5714e-002	0.	-2.25e-002	2.8936e-002
2546	-8.5714e-003	0.	-2.25e-002	4.3816e-002
60	0.	0.	-1.5e-002	4.5276e-002
66	-0.12	0.	-1.5e-002	4.3535e-002
131	-0.10286	0.	-2.25e-002	2.5112e-002
132	-0.12	0.	-2.25e-002	2.7939e-002
133	-8.5714e-002	0.	-2.25e-002	1.7924e-002
134	-6.8571e-002	0.	-2.25e-002	1.2368e-002
135	-5.1429e-002	0.	-2.25e-002	1.3017e-002
136	-3.4286e-002	0.	-2.25e-002	1.7162e-002
137	-1.7143e-002	0.	-2.25e-002	2.5726e-002
138	0.	0.	-2.25e-002	2.5177e-002
209	1.	0.	-9.2955e-002	5.1172e-006
210	1.	0.	-0.18591	4.8404e-006
211	1.	0.	-0.27886	4.3419e-006
212	1.	0.	-0.37182	3.713e-006
213	1.	0.	-0.46477	2.8792e-006
214	1.	0.	-0.55773	2.306e-006
215	1.	0.	-0.65068	1.6962e-006
216	1.	0.	-0.74364	1.2361e-006
217	1.	0.	-0.83659	7.3027e-007
218	1.	0.	-0.92955	3.6438e-007
229	0.90783	0.	-1.0225	3.4825e-007
230	0.81565	0.	-1.0225	7.6729e-007
231	0.72348	0.	-1.0225	9.8847e-007
232	0.6313	0.	-1.0225	1.3349e-006
233	0.53913	0.	-1.0225	1.6258e-006
234	0.44696	0.	-1.0225	1.8203e-006
235	0.35478	0.	-1.0225	1.7727e-006
236	0.26261	0.	-1.0225	1.6759e-006
237	0.17043	0.	-1.0225	1.442e-006
238	7.8261e-002	0.	-1.0225	9.6649e-007
239	-1.3913e-002	0.	-1.0225	4.9511e-007
240	-0.10609	0.	-1.0225	4.4917e-007
241	-0.19826	0.	-1.0225	9.1302e-007
242	-0.29043	0.	-1.0225	1.4881e-006
243	-0.38261	0.	-1.0225	1.7702e-006
244	-0.47478	0.	-1.0225	1.8464e-006
245	-0.56696	0.	-1.0225	1.7525e-006
246	-0.65913	0.	-1.0225	1.6046e-006
247	-0.7513	0.	-1.0225	1.3317e-006
248	-0.84348	0.	-1.0225	1.0077e-006
249	-0.93565	0.	-1.0225	7.3345e-007
250	-1.0278	0.	-1.0225	3.5424e-007
256	-1.12	0.	-0.92955	4.1775e-007
257	-1.12	0.	-0.83659	7.3105e-007
258	-1.12	0.	-0.74364	1.212e-006
259	-1.12	0.	-0.65068	1.7198e-006
260	-1.12	0.	-0.55773	2.2942e-006
261	-1.12	0.	-0.46477	2.9878e-006
262	-1.12	0.	-0.37182	3.6073e-006
263	-1.12	0.	-0.27886	4.2516e-006
264	-1.12	0.	-0.18591	4.858e-006
265	-1.12	0.	-9.2955e-002	5.1775e-006
271	9.0909e-002	0.	0.	1.411e-003
272	0.18182	0.	0.	3.1012e-004
273	0.27273	0.	0.	1.1642e-004
274	0.36364	0.	0.	5.7228e-005
275	0.45455	0.	0.	2.8057e-005
276	0.54545	0.	0.	1.8945e-005
277	0.63636	0.	0.	1.2481e-005
278	0.72727	0.	0.	8.8413e-006
279	0.81818	0.	0.	6.7124e-006
280	0.90909	0.	0.	5.4687e-006
281	-1.0291	0.	0.	5.5345e-006
282	-0.93818	0.	0.	6.363e-006
283	-0.84727	0.	0.	8.4741e-006
284	-0.75636	0.	0.	1.3307e-005
285	-0.66545	0.	0.	1.9123e-005
286	-0.57455	0.	0.	3.2797e-005
287	-0.48364	0.	0.	5.1148e-005
288	-0.39273	0.	0.	1.418e-004
289	-0.30182	0.	0.	4.2677e-004
290	-0.21091	0.	0.	1.6049e-003
385	0.	0.	0.	6.895e-002
386	-0.12	0.	0.	6.9897e-002
391	1.	0.	-1.0225	1.987e-007
392	1.	0.	0.	5.2399e-006
393	-1.12	0.	-1.0225	2.0497e-007
394	-1.12	0.	0.	5.2386e-006
399	4.5455e-002	0.	0.	4.6733e-003
400	2.2727e-002	0.	0.	2.0049e-002
401	-0.16545	0.	0.	6.3934e-003
402	-0.14273	0.	0.	3.043e-002
550	8.5217e-002	0.	-0.5225	1.3215e-005
551	-1.7391e-002	0.	-0.2725	9.9482e-005
552	-0.24609	0.	-0.6475	5.8158e-006
553	0.54852	0.	-0.47513	6.9755e-006
554	-0.69881	0.	-0.56925	4.8578e-006
555	-6.0438e-002	0.	-0.14678	5.4096e-004
556	-0.15739	0.	-0.3975	2.5841e-005
557	-0.42022	0.	-0.47682	1.2428e-005
558	0.20502	0.	-0.76082	3.5138e-006
559	0.19309	0.	-0.28707	5.4573e-005
