Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Magnetic Flux Density (T)
13	-0.28	0.	3.5e-002	0.84063
14	-0.25455	0.	3.5e-002	1.2363
15	-0.22909	0.	3.5e-002	1.9701
16	-0.20364	0.	3.5e-002	2.2098
17	-0.17818	0.	3.5e-002	2.4145
18	-0.15273	0.	3.5e-002	2.4903
19	-0.12727	0.	3.5e-002	2.4583
20	-0.10182	0.	3.5e-002	2.4105
21	-7.6364e-002	0.	3.5e-002	2.1447
22	-5.0909e-002	0.	3.5e-002	1.8805
23	0.	0.	3.5e-002	0.87607
24	-2.5455e-002	0.	3.5e-002	1.254
95	-2.5455e-002	0.	-3.5e-002	1.2494
96	0.	0.	-3.5e-002	0.86826
97	-5.0909e-002	0.	-3.5e-002	1.8428
98	-7.6364e-002	0.	-3.5e-002	2.1225
99	-0.10182	0.	-3.5e-002	2.4105
100	-0.12727	0.	-3.5e-002	2.4533
101	-0.15273	0.	-3.5e-002	2.4639
102	-0.17818	0.	-3.5e-002	2.4112
103	-0.20364	0.	-3.5e-002	2.1981
104	-0.22909	0.	-3.5e-002	1.9841
105	-0.25455	0.	-3.5e-002	1.2523
106	-0.28	0.	-3.5e-002	0.86249
462	0.	0.	0.	0.76565
463	-0.28	0.	0.	0.75191
909	-3.8182e-002	0.	0.	1.7192
910	-8.9091e-002	0.	0.	2.3541
911	-0.14664	0.	6.0377e-019	2.4596
912	-0.19091	0.	0.	2.3299
913	-0.23541	0.	-4.9893e-019	1.7919
2100	-0.26727	0.	3.5e-002	1.0208
2103	-0.28	0.	1.75e-002	0.75407
2108	-0.24182	0.	3.5e-002	1.5954
2110	-0.26727	0.	1.75e-002	0.9811
2111	-0.24498	0.	1.75e-002	1.4973
2114	-0.21636	0.	3.5e-002	2.0894
2116	-0.23225	0.	1.75e-002	1.8781
2118	-0.19091	0.	3.5e-002	2.3119
2120	-0.19727	0.	1.75e-002	2.269
2121	-0.21952	0.	1.75e-002	1.9995
2125	-0.16545	0.	3.5e-002	2.4522
2127	-0.16241	0.	1.75e-002	2.4368
2128	-0.18455	0.	1.75e-002	2.372
2130	-0.14	0.	3.5e-002	2.4742
2132	-0.14969	0.	1.75e-002	2.4749
2133	-0.11455	0.	3.5e-002	2.4344
2135	-0.10818	0.	1.75e-002	2.4061
2136	-0.13696	0.	1.75e-002	2.4589
2138	-8.9091e-002	0.	3.5e-002	2.2775
2140	-9.5455e-002	0.	1.75e-002	2.3822
2142	-6.3636e-002	0.	3.5e-002	2.0117
2144	-5.7273e-002	0.	1.75e-002	1.9311
2145	-8.2727e-002	0.	1.75e-002	2.249
2147	-3.8182e-002	0.	3.5e-002	1.5591
2149	-4.4545e-002	0.	1.75e-002	1.7974
2151	-1.2727e-002	0.	3.5e-002	1.051
2154	0.	0.	1.75e-002	0.78033
2160	-1.2727e-002	0.	1.75e-002	0.99512
2161	-3.1818e-002	0.	1.75e-002	1.4708
2568	-1.2727e-002	0.	-3.5e-002	1.0448
2569	-3.8182e-002	0.	-3.5e-002	1.5384
2571	-1.2727e-002	0.	-1.75e-002	0.99251
2572	-3.1818e-002	0.	-1.75e-002	1.4664
2578	0.	0.	-1.75e-002	0.7762
2583	-6.3636e-002	0.	-3.5e-002	1.9812
2585	-4.4545e-002	0.	-1.75e-002	1.7774
2587	-8.9091e-002	0.	-3.5e-002	2.2665
2589	-5.7273e-002	0.	-1.75e-002	1.9198
2590	-8.2727e-002	0.	-1.75e-002	2.2379
2592	-0.11455	0.	-3.5e-002	2.4319
2594	-9.5455e-002	0.	-1.75e-002	2.3821
2596	-0.14	0.	-3.5e-002	2.4585
2598	-0.10818	0.	-1.75e-002	2.4035
2599	-0.13696	0.	-1.75e-002	2.4564
2601	-0.16545	0.	-3.5e-002	2.4375
2603	-0.14969	0.	-1.75e-002	2.4617
2605	-0.19091	0.	-3.5e-002	2.3042
2607	-0.16241	0.	-1.75e-002	2.4353
2608	-0.18455	0.	-1.75e-002	2.3704
2611	-0.21636	0.	-3.5e-002	2.09
2613	-0.19727	0.	-1.75e-002	2.2629
2614	-0.21952	0.	-1.75e-002	1.9936
2618	-0.24182	0.	-3.5e-002	1.613
2620	-0.23225	0.	-1.75e-002	1.8841
2622	-0.26727	0.	-3.5e-002	1.0445
2624	-0.26727	0.	-1.75e-002	0.98717
2625	-0.24498	0.	-1.75e-002	1.5069
2631	-0.28	0.	-1.75e-002	0.76828
4810	-1.9091e-002	0.	0.	1.2385
4818	-0.25771	0.	-2.4947e-019	1.268
7773	-6.3636e-002	0.	0.	2.0362
7779	-0.11787	0.	3.0189e-019	2.4067
7786	-0.16878	0.	3.0189e-019	2.3947
7793	-0.21316	0.	-2.4947e-019	2.0603
1	0.	0.	5.25e-002	0.42887
2	-2.5455e-002	0.	5.25e-002	0.33946
3	-5.0909e-002	0.	5.25e-002	0.22045
4	-7.6364e-002	0.	5.25e-002	0.14444
5	-0.10182	0.	5.25e-002	8.082e-002
6	-0.12727	0.	5.25e-002	4.1939e-002
7	-0.15273	0.	5.25e-002	4.2187e-002
8	-0.17818	0.	5.25e-002	8.1691e-002
9	-0.20364	0.	5.25e-002	0.14641
10	-0.22909	0.	5.25e-002	0.22374
11	-0.25455	0.	5.25e-002	0.33917
12	-0.28	0.	5.25e-002	0.429
13	-0.28	0.	3.5e-002	0.429
14	-0.25455	0.	3.5e-002	0.33917
15	-0.22909	0.	3.5e-002	0.22374
16	-0.20364	0.	3.5e-002	0.14641
17	-0.17818	0.	3.5e-002	8.1691e-002
18	-0.15273	0.	3.5e-002	4.2187e-002
19	-0.12727	0.	3.5e-002	4.1939e-002
20	-0.10182	0.	3.5e-002	8.082e-002
21	-7.6364e-002	0.	3.5e-002	0.14444
22	-5.0909e-002	0.	3.5e-002	0.22045
23	0.	0.	3.5e-002	0.42887
24	-2.5455e-002	0.	3.5e-002	0.33946
95	-2.5455e-002	0.	-3.5e-002	0.33841
96	0.	0.	-3.5e-002	0.42418
97	-5.0909e-002	0.	-3.5e-002	0.22186
98	-7.6364e-002	0.	-3.5e-002	0.14411
99	-0.10182	0.	-3.5e-002	8.2335e-002
100	-0.12727	0.	-3.5e-002	4.13e-002
101	-0.15273	0.	-3.5e-002	4.226e-002
102	-0.17818	0.	-3.5e-002	8.1142e-002
103	-0.20364	0.	-3.5e-002	0.14388
104	-0.22909	0.	-3.5e-002	0.22103
105	-0.25455	0.	-3.5e-002	0.33807
106	-0.28	0.	-3.5e-002	0.42639
199	-0.25455	0.	-5.25e-002	0.33807
200	-0.28	0.	-5.25e-002	0.42639
201	-0.22909	0.	-5.25e-002	0.22103
202	-0.20364	0.	-5.25e-002	0.14388
203	-0.17818	0.	-5.25e-002	8.1142e-002
