Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Magnetic Flux Density (T)
9	-0.16	0.	2.e-002	0.97935
10	-0.13714	0.	2.e-002	1.733
11	-0.11429	0.	2.e-002	2.439
12	-9.1429e-002	0.	2.e-002	2.5722
13	-6.8571e-002	0.	2.e-002	2.5753
14	-4.5714e-002	0.	2.e-002	2.4404
15	0.	0.	2.e-002	1.5768
16	-2.2857e-002	0.	2.e-002	2.151
59	-2.2857e-002	0.	-2.e-002	1.5455
60	0.	0.	-2.e-002	1.0084
61	-4.5714e-002	0.	-2.e-002	2.4093
62	-6.8571e-002	0.	-2.e-002	2.5642
63	-9.1429e-002	0.	-2.e-002	2.5676
64	-0.11429	0.	-2.e-002	2.403
65	-0.13714	0.	-2.e-002	1.8007
66	-0.16	0.	-2.e-002	1.091
385	0.	0.	0.	0.9298
386	-0.16	0.	0.	0.80965
1875	-0.14857	0.	2.e-002	1.3277
1877	-0.16	0.	1.e-002	0.8824
1883	-0.12571	0.	2.e-002	2.082
1885	-0.12571	0.	0.	2.0606
1886	-0.13714	0.	0.	1.7443
1887	-0.14857	0.	1.e-002	1.268
1892	-0.10286	0.	2.e-002	2.5056
1894	-0.10286	0.	0.	2.5031
1895	-0.11429	0.	0.	2.4203
1898	-8.e-002	0.	2.e-002	2.5737
1900	-9.1429e-002	0.	0.	2.5698
1903	-5.7143e-002	0.	2.e-002	2.5078
1905	-6.8571e-002	0.	0.	2.5697
1906	-8.e-002	0.	0.	2.5714
1909	-3.4286e-002	0.	2.e-002	2.2808
1911	-4.5714e-002	0.	0.	2.4241
1912	-5.7143e-002	0.	0.	2.5022
1915	-1.1429e-002	0.	2.e-002	1.8417
1917	0.	0.	1.e-002	1.1267
1922	-2.2857e-002	0.	0.	1.8356
1923	-3.4286e-002	0.	0.	2.2587
1924	-1.1429e-002	0.	1.e-002	1.4079
2152	-1.1429e-002	0.	-2.e-002	0.38482
2153	-3.4286e-002	0.	-2.e-002	1.9182
2155	-1.1429e-002	0.	-1.e-002	1.0634
2160	0.	0.	-1.e-002	0.65935
2165	-5.7143e-002	0.	-2.e-002	2.4865
2169	-8.e-002	0.	-2.e-002	2.5658
2173	-0.10286	0.	-2.e-002	2.485
2177	-0.12571	0.	-2.e-002	2.0952
2181	-0.14857	0.	-2.e-002	1.4455
2183	-0.14857	0.	-1.e-002	1.2801
2188	-0.16	0.	-1.e-002	0.92544
1	0.	0.	3.e-002	0.41932
2	-2.2857e-002	0.	3.e-002	0.2918
3	-4.5714e-002	0.	3.e-002	0.12124
4	-6.8571e-002	0.	3.e-002	3.0543e-002
5	-9.1429e-002	0.	3.e-002	2.9489e-002
6	-0.11429	0.	3.e-002	0.12107
7	-0.13714	0.	3.e-002	0.29717
8	-0.16	0.	3.e-002	0.43082
9	-0.16	0.	2.e-002	0.43082
10	-0.13714	0.	2.e-002	0.29717
11	-0.11429	0.	2.e-002	0.12107
12	-9.1429e-002	0.	2.e-002	2.9489e-002
13	-6.8571e-002	0.	2.e-002	3.0543e-002
14	-4.5714e-002	0.	2.e-002	0.12124
15	0.	0.	2.e-002	0.41932
16	-2.2857e-002	0.	2.e-002	0.2918
59	-2.2857e-002	0.	-2.e-002	0.30002
60	0.	0.	-2.e-002	0.42927
61	-4.5714e-002	0.	-2.e-002	0.12234
62	-6.8571e-002	0.	-2.e-002	2.9388e-002
63	-9.1429e-002	0.	-2.e-002	3.169e-002
