Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Magnetic Flux Density (T)
95	-0.32	0.	4.e-002	0.89277
96	-0.3	0.	4.e-002	1.2077
97	-0.28	0.	4.e-002	1.6631
98	-0.24	0.	4.e-002	2.1228
99	-0.2	0.	4.e-002	2.3587
100	-0.16	0.	4.e-002	2.4295
101	-0.12	0.	4.e-002	2.3753
102	-8.e-002	0.	4.e-002	2.0704
103	-4.e-002	0.	4.e-002	1.766
104	0.	0.	4.e-002	0.91606
105	-2.e-002	0.	4.e-002	1.1689
169	-2.e-002	0.	-4.e-002	1.2153
170	0.	0.	-4.e-002	0.90774
171	-4.e-002	0.	-4.e-002	1.6857
172	-8.e-002	0.	-4.e-002	2.1128
173	-0.12	0.	-4.e-002	2.3747
174	-0.16	0.	-4.e-002	2.4289
175	-0.2	0.	-4.e-002	2.3526
176	-0.24	0.	-4.e-002	2.0987
177	-0.28	0.	-4.e-002	1.6905
178	-0.3	0.	-4.e-002	1.2853
179	-0.32	0.	-4.e-002	0.93864
543	0.	0.	0.	0.75846
544	-0.32	0.	0.	0.7899
1009	-4.e-002	0.	0.	1.6761
1010	-0.28	0.	0.	1.5374
1011	-0.11728	0.	8.1836e-019	2.3746
1012	-0.18695	0.	0.	2.4183
2555	-0.31	0.	4.e-002	1.0317
2557	-0.32	0.	2.e-002	0.78337
2562	-0.29	0.	4.e-002	1.43
2564	-0.31	0.	2.e-002	0.97984
2565	-0.29	0.	2.e-002	1.3525
2569	-0.26	0.	4.e-002	1.8886
2571	-0.28	0.	2.e-002	1.5945
2574	-0.22	0.	4.e-002	2.2406
2576	-0.24	0.	0.	2.1087
2577	-0.26	0.	2.e-002	1.8296
2578	-0.21348	0.	2.e-002	2.27
2582	-0.18	0.	4.e-002	2.3939
2584	-0.19348	0.	2.e-002	2.3884
2586	-0.14	0.	4.e-002	2.4022
2588	-0.13864	0.	2.e-002	2.402
2589	-0.17348	0.	2.e-002	2.4239
2592	-0.1	0.	4.e-002	2.2222
2594	-0.11864	0.	2.e-002	2.3747
2597	-6.e-002	0.	4.e-002	1.9161
2599	-6.e-002	0.	2.e-002	1.8726
2600	-9.8642e-002	0.	2.e-002	2.2209
2604	-3.e-002	0.	4.e-002	1.4591
2606	-4.e-002	0.	2.e-002	1.7168
2608	-1.e-002	0.	4.e-002	1.0274
2610	0.	0.	2.e-002	0.78341
2617	-1.e-002	0.	2.e-002	0.9417
2618	-3.e-002	0.	2.e-002	1.4009
2923	-1.e-002	0.	-4.e-002	1.0465
2924	-3.e-002	0.	-4.e-002	1.4455
2925	-1.e-002	0.	-2.e-002	0.96928
2926	-3.e-002	0.	-2.e-002	1.4208
2931	0.	0.	-2.e-002	0.7869
2934	-6.e-002	0.	-4.e-002	1.8951
2935	-4.e-002	0.	-2.e-002	1.6717
2938	-0.1	0.	-4.e-002	2.2434
2939	-6.e-002	0.	-2.e-002	1.8922
2940	-9.8642e-002	0.	-2.e-002	2.2427
2944	-0.14	0.	-4.e-002	2.4016
2945	-0.11864	0.	-2.e-002	2.3745
2948	-0.18	0.	-4.e-002	2.3905
2949	-0.13864	0.	-2.e-002	2.4017
2950	-0.17348	0.	-2.e-002	2.4236
2953	-0.22	0.	-4.e-002	2.2254
2954	-0.19348	0.	-2.e-002	2.3853
2956	-0.26	0.	-4.e-002	1.8909
2957	-0.26	0.	-2.e-002	1.8172
2958	-0.21348	0.	-2.e-002	2.2578
2962	-0.29	0.	-4.e-002	1.4843
2963	-0.28	0.	-2.e-002	1.6075
2966	-0.31	0.	-4.e-002	1.0932
2967	-0.31	0.	-2.e-002	1.0234
2968	-0.29	0.	-2.e-002	1.3937
2974	-0.32	0.	-2.e-002	0.81656
5221	-2.e-002	0.	0.	1.2114
5230	-0.3	0.	0.	1.1593
8288	-7.8642e-002	0.	4.0918e-019	2.0247
8304	-0.15212	0.	4.0918e-019	2.3964
64	-0.3	0.	-5.e-002	0.37859
65	-0.28	0.	-5.e-002	0.26086
66	-0.24	0.	-5.e-002	0.16162
67	-0.2	0.	-5.e-002	7.8897e-002
68	-0.16	0.	-5.e-002	4.169e-002
69	-0.12	0.	-5.e-002	7.9826e-002
70	-8.e-002	0.	-5.e-002	0.15964
71	-4.e-002	0.	-5.e-002	0.25968
72	-2.e-002	0.	-5.e-002	0.38126
73	-2.e-002	0.	5.e-002	0.38012
74	-4.e-002	0.	5.e-002	0.26248
