Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Magnetic Flux Density (T)
95	-0.36	0.	4.5e-002	0.91093
96	-0.3375	0.	4.5e-002	1.1886
97	-0.315	0.	4.5e-002	1.6027
98	-0.27	0.	4.5e-002	2.0145
99	-0.225	0.	4.5e-002	2.2922
100	-0.18	0.	4.5e-002	2.3961
101	-0.135	0.	4.5e-002	2.3334
102	-9.e-002	0.	4.5e-002	1.9777
103	-4.5e-002	0.	4.5e-002	1.5979
104	0.	0.	4.5e-002	0.99431
105	-2.25e-002	0.	4.5e-002	1.266
169	-2.25e-002	0.	-4.5e-002	1.1274
170	0.	0.	-4.5e-002	0.93094
171	-4.5e-002	0.	-4.5e-002	1.688
172	-9.e-002	0.	-4.5e-002	1.9658
173	-0.135	0.	-4.5e-002	2.3354
174	-0.18	0.	-4.5e-002	2.3957
175	-0.225	0.	-4.5e-002	2.3129
176	-0.27	0.	-4.5e-002	2.0587
177	-0.315	0.	-4.5e-002	1.5779
178	-0.3375	0.	-4.5e-002	1.1531
179	-0.36	0.	-4.5e-002	0.87683
541	0.	0.	0.	0.78508
542	-0.36	0.	0.	0.75798
971	-4.5e-002	0.	0.	1.5686
972	-0.315	0.	0.	1.5063
973	-0.1125	0.	0.	2.2394
974	-0.2025	0.	0.	2.3901
2490	-0.34875	0.	4.5e-002	1.0374
2492	-0.36	0.	2.25e-002	0.78758
2497	-0.32625	0.	4.5e-002	1.3908
2499	-0.34875	0.	2.25e-002	0.95391
2500	-0.32625	0.	2.25e-002	1.326
2503	-0.2925	0.	4.5e-002	1.805
2505	-0.315	0.	2.25e-002	1.5474
2508	-0.2475	0.	4.5e-002	2.1529
2510	-0.27	0.	0.	2.0343
2511	-0.2925	0.	2.25e-002	1.7591
2514	-0.2025	0.	4.5e-002	2.344
2516	-0.2475	0.	0.	2.1745
2517	-0.21375	0.	2.25e-002	2.3411
2519	-0.1575	0.	4.5e-002	2.3647
2521	-0.14625	0.	2.25e-002	2.3177
2522	-0.19125	0.	2.25e-002	2.3931
2525	-0.1125	0.	4.5e-002	2.1548
2527	-0.12375	0.	2.25e-002	2.2863
2529	-6.75e-002	0.	4.5e-002	1.7842
2531	-6.75e-002	0.	2.25e-002	1.7703
2532	-0.10125	0.	2.25e-002	2.1073
2534	-3.375e-002	0.	4.5e-002	1.4274
2536	-4.5e-002	0.	2.25e-002	1.5741
2539	-1.125e-002	0.	4.5e-002	1.1238
2541	0.	0.	2.25e-002	0.849
2547	-1.125e-002	0.	2.25e-002	1.0016
2548	-3.375e-002	0.	2.25e-002	1.3927
2832	-1.125e-002	0.	-4.5e-002	1.0002
2833	-3.375e-002	0.	-4.5e-002	1.4022
2834	-1.125e-002	0.	-2.25e-002	0.94479
2835	-3.375e-002	0.	-2.25e-002	1.3321
2838	0.	0.	-2.25e-002	0.79768
2842	-6.75e-002	0.	-4.5e-002	1.825
2843	-4.5e-002	0.	-2.25e-002	1.6241
2845	-0.1125	0.	-4.5e-002	2.1497
2846	-6.75e-002	0.	-2.25e-002	1.766
2847	-0.10125	0.	-2.25e-002	2.1011
2850	-0.1575	0.	-4.5e-002	2.3654
2851	-0.12375	0.	-2.25e-002	2.2873
2853	-0.2025	0.	-4.5e-002	2.354
2854	-0.14625	0.	-2.25e-002	2.3175
2855	-0.19125	0.	-2.25e-002	2.3929
2858	-0.2475	0.	-4.5e-002	2.1857
2859	-0.21375	0.	-2.25e-002	2.3513
2861	-0.2925	0.	-4.5e-002	1.8135
2862	-0.2925	0.	-2.25e-002	1.7819
2863	-0.23625	0.	-2.25e-002	2.224
2867	-0.32625	0.	-4.5e-002	1.3591
2868	-0.315	0.	-2.25e-002	1.5365
2871	-0.34875	0.	-4.5e-002	1.0036
2872	-0.34875	0.	-2.25e-002	0.93584
2873	-0.32625	0.	-2.25e-002	1.3078
2878	-0.36	0.	-2.25e-002	0.77404
5067	-2.25e-002	0.	0.	1.1735
5077	-0.3375	0.	0.	1.1281
7961	-7.875e-002	0.	0.	1.9029
7973	-0.1575	0.	0.	2.3147
64	-0.3375	0.	-5.625e-002	0.36519
65	-0.315	0.	-5.625e-002	0.25376
66	-0.27	0.	-5.625e-002	0.16061
67	-0.225	0.	-5.625e-002	8.4824e-002
68	-0.18	0.	-5.625e-002	4.8803e-002
69	-0.135	0.	-5.625e-002	8.4423e-002
70	-9.e-002	0.	-5.625e-002	0.16169
71	-4.5e-002	0.	-5.625e-002	0.25566
72	-2.25e-002	0.	-5.625e-002	0.36282
73	-2.25e-002	0.	5.625e-002	0.36624
