Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Magnetic Flux Density (T)
115	-0.44	0.	5.5e-002	0.84671
116	-0.418	0.	5.5e-002	0.99493
117	-0.396	0.	5.5e-002	1.3066
118	-0.352	0.	5.5e-002	1.7573
119	-0.308	0.	5.5e-002	2.0332
120	-0.264	0.	5.5e-002	2.2143
121	-0.22	0.	5.5e-002	2.2919
122	-0.176	0.	5.5e-002	2.2236
123	-0.132	0.	5.5e-002	2.0531
124	-8.8e-002	0.	5.5e-002	1.7623
125	-4.4e-002	0.	5.5e-002	1.3825
126	0.	0.	5.5e-002	0.83562
127	-2.2e-002	0.	5.5e-002	1.0395
205	-2.2e-002	0.	-5.5e-002	1.0335
206	0.	0.	-5.5e-002	0.83761
207	-4.4e-002	0.	-5.5e-002	1.3807
208	-8.8e-002	0.	-5.5e-002	1.8065
209	-0.132	0.	-5.5e-002	2.0765
210	-0.176	0.	-5.5e-002	2.2065
211	-0.22	0.	-5.5e-002	2.2764
212	-0.264	0.	-5.5e-002	2.2162
213	-0.308	0.	-5.5e-002	2.0391
214	-0.352	0.	-5.5e-002	1.7676
215	-0.396	0.	-5.5e-002	1.3191
216	-0.418	0.	-5.5e-002	1.0184
217	-0.44	0.	-5.5e-002	0.86295
595	0.	0.	0.	0.68581
596	-0.44	0.	0.	0.77093
1044	-4.4e-002	0.	0.	1.2966
1045	-0.1306	0.	8.6736e-019	2.0018
1046	-0.21707	0.	0.	2.2635
1047	-0.286	0.	0.	2.1044
1048	-0.35131	0.	1.9516e-018	1.6952
2682	-0.429	0.	5.5e-002	0.91305
2684	-0.44	0.	2.75e-002	0.75105
2690	-0.407	0.	5.5e-002	1.1368
2692	-0.429	0.	2.75e-002	0.85284
2695	-0.374	0.	5.5e-002	1.5305
2697	-0.418	0.	2.75e-002	1.0304
2698	-0.37366	0.	2.75e-002	1.4936
2701	-0.33	0.	5.5e-002	1.8942
2703	-0.35166	0.	2.75e-002	1.7235
2706	-0.286	0.	5.5e-002	2.1235
2708	-0.297	0.	2.75e-002	2.0682
2709	-0.32966	0.	2.75e-002	1.8635
2712	-0.242	0.	5.5e-002	2.253
2714	-0.24054	0.	2.75e-002	2.2388
2715	-0.275	0.	2.75e-002	2.1592
2719	-0.198	0.	5.5e-002	2.2576
2721	-0.21854	0.	2.75e-002	2.2777
2724	-0.154	0.	5.5e-002	2.1379
2726	-0.1533	0.	2.75e-002	2.1124
2727	-0.19654	0.	2.75e-002	2.2434
2730	-0.11	0.	5.5e-002	1.9074
2732	-0.1313	0.	2.75e-002	2.0262
2735	-6.6e-002	0.	5.5e-002	1.5694
2737	-6.6e-002	0.	2.75e-002	1.5274
2738	-0.1093	0.	2.75e-002	1.8795
2741	-3.3e-002	0.	5.5e-002	1.2062
2743	-4.4e-002	0.	2.75e-002	1.3317
2746	-1.1e-002	0.	5.5e-002	0.92279
2748	0.	0.	2.75e-002	0.70777
2752	-1.1e-002	0.	2.75e-002	0.84225
2753	-3.3e-002	0.	2.75e-002	1.1456
3123	-1.1e-002	0.	-5.5e-002	0.92319
3124	-3.3e-002	0.	-5.5e-002	1.2012
3125	-1.1e-002	0.	-2.75e-002	0.83968
3126	-3.3e-002	0.	-2.75e-002	1.1422
3131	0.	0.	-2.75e-002	0.71318
3137	-6.6e-002	0.	-5.5e-002	1.5904
3138	-4.4e-002	0.	-2.75e-002	1.3319
3141	-0.11	0.	-5.5e-002	1.9413
3142	-6.6e-002	0.	-2.75e-002	1.5498
3143	-0.1093	0.	-2.75e-002	1.9028
3147	-0.154	0.	-5.5e-002	2.1411
3148	-0.1313	0.	-2.75e-002	2.0386
3151	-0.198	0.	-5.5e-002	2.2414
3152	-0.1533	0.	-2.75e-002	2.1041
3153	-0.19654	0.	-2.75e-002	2.2349
3158	-0.242	0.	-5.5e-002	2.2461
3159	-0.21854	0.	-2.75e-002	2.27
3162	-0.286	0.	-5.5e-002	2.1274
3163	-0.24054	0.	-2.75e-002	2.2396
3164	-0.275	0.	-2.75e-002	2.1601
3167	-0.33	0.	-5.5e-002	1.9025
3168	-0.297	0.	-2.75e-002	2.0711
3169	-0.32966	0.	-2.75e-002	1.8665
3172	-0.374	0.	-5.5e-002	1.5426
3173	-0.35166	0.	-2.75e-002	1.7289
3176	-0.407	0.	-5.5e-002	1.1551
3177	-0.418	0.	-2.75e-002	1.0374
3178	-0.37366	0.	-2.75e-002	1.5019
3182	-0.429	0.	-5.5e-002	0.93178
3183	-0.429	0.	-2.75e-002	0.8671
3188	-0.44	0.	-2.75e-002	0.76077
5509	-2.2e-002	0.	0.	0.98669
5518	-0.39566	0.	9.7582e-019	1.2278
8505	-8.7298e-002	0.	4.3368e-019	1.6489
8511	-0.17384	0.	4.3368e-019	2.1326
8520	-0.25154	0.	0.	2.1839
8528	-0.31866	0.	9.7582e-019	1.8998
78	-0.418	0.	-6.875e-002	0.35834
79	-0.396	0.	-6.875e-002	0.26622
80	-0.352	0.	-6.875e-002	0.18556
81	-0.308	0.	-6.875e-002	0.12228
82	-0.264	0.	-6.875e-002	7.5334e-002
83	-0.22	0.	-6.875e-002	5.0955e-002
84	-0.176	0.	-6.875e-002	7.3597e-002
85	-0.132	0.	-6.875e-002	0.12266
86	-8.8e-002	0.	-6.875e-002	0.18757
87	-4.4e-002	0.	-6.875e-002	0.26421
88	-2.2e-002	0.	-6.875e-002	0.35704
89	-2.2e-002	0.	6.875e-002	0.3617
90	-4.4e-002	0.	6.875e-002	0.26644
91	-8.8e-002	0.	6.875e-002	0.18699
92	-0.132	0.	6.875e-002	0.12393
93	-0.176	0.	6.875e-002	7.4798e-002
94	-0.22	0.	6.875e-002	5.0932e-002
95	-0.264	0.	6.875e-002	7.4226e-002
96	-0.308	0.	6.875e-002	0.12281
97	-0.352	0.	6.875e-002	0.18747
98	-0.396	0.	6.875e-002	0.26732
99	-0.418	0.	6.875e-002	0.36077
100	0.	0.	6.875e-002	0.42247
101	0.	0.	8.25e-002	0.30659
102	-2.2e-002	0.	8.25e-002	0.28628
103	-4.4e-002	0.	8.25e-002	0.23665
104	-8.8e-002	0.	8.25e-002	0.17417
105	-0.132	0.	8.25e-002	0.12572
106	-0.176	0.	8.25e-002	9.0215e-002
107	-0.22	0.	8.25e-002	7.6062e-002
108	-0.264	0.	8.25e-002	8.977e-002
109	-0.308	0.	8.25e-002	0.12408
110	-0.352	0.	8.25e-002	0.17452
111	-0.396	0.	8.25e-002	0.23801
112	-0.418	0.	8.25e-002	0.28593
113	-0.44	0.	6.875e-002	0.41955
114	-0.44	0.	8.25e-002	0.30355
115	-0.44	0.	5.5e-002	0.53598
116	-0.418	0.	5.5e-002	0.43604
117	-0.396	0.	5.5e-002	0.29729
118	-0.352	0.	5.5e-002	0.20381
119	-0.308	0.	5.5e-002	0.12723
120	-0.264	0.	5.5e-002	6.539e-002
121	-0.22	0.	5.5e-002	2.5802e-002
122	-0.176	0.	5.5e-002	6.5845e-002
123	-0.132	0.	5.5e-002	0.12777
124	-8.8e-002	0.	5.5e-002	0.20325
125	-4.4e-002	0.	5.5e-002	0.29688
126	0.	0.	5.5e-002	0.53858
127	-2.2e-002	0.	5.5e-002	0.43743
205	-2.2e-002	0.	-5.5e-002	0.431
206	0.	0.	-5.5e-002	0.52939
207	-4.4e-002	0.	-5.5e-002	0.29472
208	-8.8e-002	0.	-5.5e-002	0.20347
209	-0.132	0.	-5.5e-002	0.12706
210	-0.176	0.	-5.5e-002	6.456e-002
211	-0.22	0.	-5.5e-002	2.5841e-002
212	-0.264	0.	-5.5e-002	6.6306e-002
213	-0.308	0.	-5.5e-002	0.1262
214	-0.352	0.	-5.5e-002	0.20169
215	-0.396	0.	-5.5e-002	0.29593
216	-0.418	0.	-5.5e-002	0.43349
217	-0.44	0.	-5.5e-002	0.53202
325	-0.418	0.	-8.25e-002	0.28363
326	-0.44	0.	-8.25e-002	0.30069
327	-0.396	0.	-8.25e-002	0.2372
328	-0.352	0.	-8.25e-002	0.17282
329	-0.308	0.	-8.25e-002	0.12418
330	-0.264	0.	-8.25e-002	9.0971e-002
331	-0.22	0.	-8.25e-002	7.608e-002
332	-0.176	0.	-8.25e-002	8.9242e-002
333	-0.132	0.	-8.25e-002	0.1239
334	-8.8e-002	0.	-8.25e-002	0.17513
335	-4.4e-002	0.	-8.25e-002	0.23446
336	-2.2e-002	0.	-8.25e-002	0.28339
337	0.	0.	-8.25e-002	0.3071
347	-0.44	0.	-6.875e-002	0.41617
351	0.	0.	-6.875e-002	0.41811
2532	-0.407	0.	-6.875e-002	0.3104
2533	-0.418	0.	-6.1875e-002	0.39588
2534	-0.418	0.	-7.5625e-002	0.32091
2535	-0.429	0.	-6.875e-002	0.38639
2536	-0.374	0.	-6.875e-002	0.22547
2537	-0.396	0.	-6.1875e-002	0.281
2538	-0.396	0.	-7.5625e-002	0.25161
2539	-0.33	0.	-6.875e-002	0.15327
2540	-0.352	0.	-6.1875e-002	0.19325
2541	-0.352	0.	-7.5625e-002	0.17871
2542	-0.286	0.	-6.875e-002	9.7552e-002
2543	-0.308	0.	-6.1875e-002	0.12353
2544	-0.308	0.	-7.5625e-002	0.1225
2545	-0.242	0.	-6.875e-002	5.8245e-002
2546	-0.264	0.	-6.1875e-002	6.979e-002
2547	-0.264	0.	-7.5625e-002	8.2524e-002
2548	-0.198	0.	-6.875e-002	5.7026e-002
2549	-0.22	0.	-6.1875e-002	3.8395e-002
2550	-0.22	0.	-7.5625e-002	6.3517e-002
2551	-0.154	0.	-6.875e-002	9.6732e-002
2552	-0.176	0.	-6.1875e-002	6.8043e-002
2553	-0.176	0.	-7.5625e-002	8.0796e-002
2554	-0.11	0.	-6.875e-002	0.15453
2555	-0.132	0.	-6.1875e-002	0.12418
2556	-0.132	0.	-7.5625e-002	0.12257
2557	-6.6e-002	0.	-6.875e-002	0.22548
2558	-8.8e-002	0.	-6.1875e-002	0.19514
2559	-8.8e-002	0.	-7.5625e-002	0.18087
2560	-3.3e-002	0.	-6.875e-002	0.30869
2561	-4.4e-002	0.	-6.1875e-002	0.27939
2562	-4.4e-002	0.	-7.5625e-002	0.24922
2563	-2.2e-002	0.	-6.1875e-002	0.39399
2564	-2.2e-002	0.	-7.5625e-002	0.32016
2565	-1.1e-002	0.	-6.875e-002	0.38676
2566	-3.3e-002	0.	6.875e-002	0.31209
2567	-1.1e-002	0.	6.875e-002	0.39122
2568	-2.2e-002	0.	7.5625e-002	0.32393
2569	-2.2e-002	0.	6.1875e-002	0.39953
2570	-6.6e-002	0.	6.875e-002	0.22627
2571	-4.4e-002	0.	7.5625e-002	0.25145
2572	-4.4e-002	0.	6.1875e-002	0.28159
2573	-0.11	0.	6.875e-002	0.15486
2574	-8.8e-002	0.	7.5625e-002	0.1801
2575	-8.8e-002	0.	6.1875e-002	0.19474
2576	-0.154	0.	6.875e-002	9.8078e-002
2577	-0.132	0.	7.5625e-002	0.12412
2578	-0.132	0.	6.1875e-002	0.12516
2579	-0.198	0.	6.875e-002	5.7607e-002
2580	-0.176	0.	7.5625e-002	8.1891e-002
2581	-0.176	0.	6.1875e-002	6.9315e-002
2582	-0.242	0.	6.875e-002	5.7586e-002
2583	-0.22	0.	7.5625e-002	6.3497e-002
2584	-0.22	0.	6.1875e-002	3.8367e-002
2585	-0.286	0.	6.875e-002	9.7146e-002
2586	-0.264	0.	7.5625e-002	8.1361e-002
2587	-0.264	0.	6.1875e-002	6.8762e-002
2588	-0.33	0.	6.875e-002	0.15452
2589	-0.308	0.	7.5625e-002	0.12272
2590	-0.308	0.	6.1875e-002	0.12432
2591	-0.374	0.	6.875e-002	0.22698
2592	-0.352	0.	7.5625e-002	0.18053
2593	-0.352	0.	6.1875e-002	0.19527
2594	-0.407	0.	6.875e-002	0.31212
2595	-0.396	0.	7.5625e-002	0.25257
2596	-0.396	0.	6.1875e-002	0.28224
2597	-0.418	0.	7.5625e-002	0.32327
2598	-0.429	0.	6.875e-002	0.3893
2599	-0.418	0.	6.1875e-002	0.39836
2600	0.	0.	7.5625e-002	0.36449
2601	0.	0.	6.1875e-002	0.48051
2604	-1.1e-002	0.	8.25e-002	0.29573
2609	-3.3e-002	0.	8.25e-002	0.2595
2614	-6.6e-002	0.	8.25e-002	0.20423
2619	-0.11	0.	8.25e-002	0.14884
2624	-0.154	0.	8.25e-002	0.10622
2629	-0.198	0.	8.25e-002	7.9535e-002
2635	-0.242	0.	8.25e-002	7.959e-002
2641	-0.286	0.	8.25e-002	0.10506
2647	-0.33	0.	8.25e-002	0.14813
2654	-0.374	0.	8.25e-002	0.20514
2660	-0.407	0.	8.25e-002	0.26015
2666	-0.429	0.	8.25e-002	0.29408
2670	-0.44	0.	7.5625e-002	0.36147
