Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Magnetic Flux Density (T)
13	-0.24	0.	3.e-002	0.98077
14	-0.21818	0.	3.e-002	1.4654
15	-0.19636	0.	3.e-002	1.9849
16	-0.17455	0.	3.e-002	2.3186
17	-0.15273	0.	3.e-002	2.4456
18	-0.13091	0.	3.e-002	2.501
19	-0.10909	0.	3.e-002	2.4985
20	-8.7273e-002	0.	3.e-002	2.4449
21	-6.5455e-002	0.	3.e-002	2.291
22	-4.3636e-002	0.	3.e-002	2.0886
23	0.	0.	3.e-002	0.99296
24	-2.1818e-002	0.	3.e-002	1.4135
95	-2.1818e-002	0.	-3.e-002	1.3931
96	0.	0.	-3.e-002	0.9023
97	-4.3636e-002	0.	-3.e-002	1.9783
98	-6.5455e-002	0.	-3.e-002	2.3077
99	-8.7273e-002	0.	-3.e-002	2.4607
100	-0.10909	0.	-3.e-002	2.5201
101	-0.13091	0.	-3.e-002	2.5068
102	-0.15273	0.	-3.e-002	2.4464
103	-0.17455	0.	-3.e-002	2.3199
104	-0.19636	0.	-3.e-002	2.0297
105	-0.21818	0.	-3.e-002	1.4035
106	-0.24	0.	-3.e-002	0.91886
462	0.	0.	0.	0.80855
463	-0.24	0.	0.	0.8158
916	-3.8218e-002	0.	-2.4947e-019	1.823
917	-7.6364e-002	0.	0.	2.3789
918	-0.12	0.	0.	2.4955
919	-0.16933	0.	0.	2.3438
920	-0.20727	0.	0.	1.7359
2128	-0.22909	0.	3.e-002	1.2073
2130	-0.24	0.	1.5e-002	0.8608
2137	-0.20727	0.	3.e-002	1.721
2139	-0.22909	0.	1.5e-002	1.1273
2140	-0.21273	0.	1.5e-002	1.5905
2143	-0.18545	0.	3.e-002	2.1512
2145	-0.18285	0.	1.5e-002	2.1616
2146	-0.20182	0.	1.5e-002	1.8582
2149	-0.16364	0.	3.e-002	2.3816
2151	-0.17194	0.	1.5e-002	2.3302
2154	-0.14182	0.	3.e-002	2.4732
2156	-0.13636	0.	1.5e-002	2.4704
2157	-0.16103	0.	1.5e-002	2.3945
2160	-0.12	0.	3.e-002	2.4997
2162	-0.12545	0.	1.5e-002	2.4983
2165	-9.8182e-002	0.	3.e-002	2.4716
2167	-0.11455	0.	1.5e-002	2.497
2170	-7.6364e-002	0.	3.e-002	2.3678
2172	-8.1818e-002	0.	1.5e-002	2.4118
2173	-0.10364	0.	1.5e-002	2.4701
2176	-5.4545e-002	0.	3.e-002	2.1885
2178	-5.1836e-002	0.	1.5e-002	2.0561
2179	-7.0909e-002	0.	1.5e-002	2.3343
2182	-3.2727e-002	0.	3.e-002	1.7457
2184	-4.0927e-002	0.	1.5e-002	1.9533
2186	-1.0909e-002	0.	3.e-002	1.1893
2188	0.	0.	1.5e-002	0.86422
2195	-1.0909e-002	0.	1.5e-002	1.0972
2196	-3.0018e-002	0.	1.5e-002	1.6073
2588	-1.0909e-002	0.	-3.e-002	1.1275
2589	-3.2727e-002	0.	-3.e-002	1.6835
2591	-1.0909e-002	0.	-1.5e-002	1.0901
2592	-3.0018e-002	0.	-1.5e-002	1.5951
2598	0.	0.	-1.5e-002	0.81856
2606	-5.4545e-002	0.	-3.e-002	2.141
2608	-4.0927e-002	0.	-1.5e-002	1.8951
2611	-7.6364e-002	0.	-3.e-002	2.3838
2613	-5.1836e-002	0.	-1.5e-002	2.0631
2614	-7.0909e-002	0.	-1.5e-002	2.3427
2617	-9.8182e-002	0.	-3.e-002	2.4903
2619	-8.1818e-002	0.	-1.5e-002	2.4197
2620	-0.10364	0.	-1.5e-002	2.478
2624	-0.12	0.	-3.e-002	2.5134
2626	-0.11455	0.	-1.5e-002	2.5078
2628	-0.14182	0.	-3.e-002	2.4765
2630	-0.12545	0.	-1.5e-002	2.5011
2633	-0.16364	0.	-3.e-002	2.3828
2635	-0.13636	0.	-1.5e-002	2.4709
2636	-0.16103	0.	-1.5e-002	2.3951
2639	-0.18545	0.	-3.e-002	2.1742
2641	-0.17194	0.	-1.5e-002	2.3313
2644	-0.20727	0.	-3.e-002	1.7121
2646	-0.18285	0.	-1.5e-002	2.1846
2647	-0.20182	0.	-1.5e-002	1.8802
2650	-0.22909	0.	-3.e-002	1.1433
2652	-0.22909	0.	-1.5e-002	1.1002
2653	-0.21273	0.	-1.5e-002	1.5582
2659	-0.24	0.	-1.5e-002	0.83348
4868	-1.9109e-002	0.	-1.2473e-019	1.3113
4876	-0.22364	0.	0.	1.2718
7906	-5.7291e-002	0.	-1.2473e-019	2.0996
7912	-9.8182e-002	0.	0.	2.4372
7918	-0.14467	0.	0.	2.4196
7924	-0.1883	0.	0.	2.039
1	0.	0.	4.5e-002	0.43874
2	-2.1818e-002	0.	4.5e-002	0.3483
3	-4.3636e-002	0.	4.5e-002	0.22485
4	-6.5455e-002	0.	4.5e-002	0.13754
5	-8.7273e-002	0.	4.5e-002	7.0619e-002
6	-0.10909	0.	4.5e-002	3.2504e-002
7	-0.13091	0.	4.5e-002	3.2263e-002
8	-0.15273	0.	4.5e-002	7.057e-002
9	-0.17455	0.	4.5e-002	0.13738
10	-0.19636	0.	4.5e-002	0.2228
11	-0.21818	0.	4.5e-002	0.33941
12	-0.24	0.	4.5e-002	0.42581
13	-0.24	0.	3.e-002	0.42581
14	-0.21818	0.	3.e-002	0.33941
15	-0.19636	0.	3.e-002	0.2228
16	-0.17455	0.	3.e-002	0.13738
17	-0.15273	0.	3.e-002	7.057e-002
18	-0.13091	0.	3.e-002	3.2263e-002
19	-0.10909	0.	3.e-002	3.2504e-002
20	-8.7273e-002	0.	3.e-002	7.0619e-002
21	-6.5455e-002	0.	3.e-002	0.13754
22	-4.3636e-002	0.	3.e-002	0.22485
23	0.	0.	3.e-002	0.43874
24	-2.1818e-002	0.	3.e-002	0.3483
95	-2.1818e-002	0.	-3.e-002	0.34647
96	0.	0.	-3.e-002	0.43636
97	-4.3636e-002	0.	-3.e-002	0.22269
98	-6.5455e-002	0.	-3.e-002	0.13742
99	-8.7273e-002	0.	-3.e-002	7.1823e-002
100	-0.10909	0.	-3.e-002	3.2975e-002
101	-0.13091	0.	-3.e-002	3.2341e-002
102	-0.15273	0.	-3.e-002	6.9853e-002
103	-0.17455	0.	-3.e-002	0.13643
104	-0.19636	0.	-3.e-002	0.22156
105	-0.21818	0.	-3.e-002	0.34449
106	-0.24	0.	-3.e-002	0.43376
199	-0.21818	0.	-4.5e-002	0.34449
200	-0.24	0.	-4.5e-002	0.43376
201	-0.19636	0.	-4.5e-002	0.22156
202	-0.17455	0.	-4.5e-002	0.13643
203	-0.15273	0.	-4.5e-002	6.9853e-002
204	-0.13091	0.	-4.5e-002	3.2341e-002
205	-0.10909	0.	-4.5e-002	3.2975e-002
206	-8.7273e-002	0.	-4.5e-002	7.1823e-002
207	-6.5455e-002	0.	-4.5e-002	0.13742
208	-4.3636e-002	0.	-4.5e-002	0.22269
209	-2.1818e-002	0.	-4.5e-002	0.34647
210	0.	0.	-4.5e-002	0.43636
2052	-1.0909e-002	0.	4.5e-002	0.39236
2053	0.	0.	3.75e-002	0.43874
2059	-3.2727e-002	0.	4.5e-002	0.28334
2060	-2.1818e-002	0.	3.75e-002	0.3483
2067	-5.4545e-002	0.	4.5e-002	0.1806
2068	-4.3636e-002	0.	3.75e-002	0.22485
2073	-7.6364e-002	0.	4.5e-002	0.10348
2074	-6.5455e-002	0.	3.75e-002	0.13754
2079	-9.8182e-002	0.	4.5e-002	5.0558e-002
2080	-8.7273e-002	0.	3.75e-002	7.0619e-002
2087	-0.12	0.	4.5e-002	2.8956e-002
2088	-0.10909	0.	3.75e-002	3.2504e-002
2093	-0.14182	0.	4.5e-002	5.0401e-002
2094	-0.13091	0.	3.75e-002	3.2263e-002
2101	-0.16364	0.	4.5e-002	0.1034
2102	-0.15273	0.	3.75e-002	7.057e-002
2106	-0.18545	0.	4.5e-002	0.17955
2107	-0.17455	0.	3.75e-002	0.13738
2112	-0.20727	0.	4.5e-002	0.27765
2113	-0.19636	0.	3.75e-002	0.2228
2117	-0.22909	0.	4.5e-002	0.38129
2118	-0.21818	0.	3.75e-002	0.33941
2123	-0.24	0.	3.75e-002	0.42581
2128	-0.22909	0.	3.e-002	0.38129
2137	-0.20727	0.	3.e-002	0.27765
2143	-0.18545	0.	3.e-002	0.17955
2149	-0.16364	0.	3.e-002	0.1034
2154	-0.14182	0.	3.e-002	5.0401e-002
2160	-0.12	0.	3.e-002	2.8956e-002
2165	-9.8182e-002	0.	3.e-002	5.0558e-002
2170	-7.6364e-002	0.	3.e-002	0.10348
2176	-5.4545e-002	0.	3.e-002	0.1806
2182	-3.2727e-002	0.	3.e-002	0.28334
2186	-1.0909e-002	0.	3.e-002	0.39236
2588	-1.0909e-002	0.	-3.e-002	0.39033
2589	-3.2727e-002	0.	-3.e-002	0.2814
2590	-2.1818e-002	0.	-3.75e-002	0.34647
2597	0.	0.	-3.75e-002	0.43636
2606	-5.4545e-002	0.	-3.e-002	0.17946
2607	-4.3636e-002	0.	-3.75e-002	0.22269
2611	-7.6364e-002	0.	-3.e-002	0.10413
2612	-6.5455e-002	0.	-3.75e-002	0.13742
2617	-9.8182e-002	0.	-3.e-002	5.1303e-002
2618	-8.7273e-002	0.	-3.75e-002	7.1823e-002
2624	-0.12	0.	-3.e-002	2.9238e-002
2625	-0.10909	0.	-3.75e-002	3.2975e-002
2628	-0.14182	0.	-3.e-002	5.0071e-002
2629	-0.13091	0.	-3.75e-002	3.2341e-002
2633	-0.16364	0.	-3.e-002	0.10258
2634	-0.15273	0.	-3.75e-002	6.9853e-002
2639	-0.18545	0.	-3.e-002	0.17839
2640	-0.17455	0.	-3.75e-002	0.13643
2644	-0.20727	0.	-3.e-002	0.27983
2645	-0.19636	0.	-3.75e-002	0.22156
2650	-0.22909	0.	-3.e-002	0.38801
2651	-0.21818	0.	-3.75e-002	0.34449
2658	-0.24	0.	-3.75e-002	0.43376
3268	-0.22909	0.	-4.5e-002	0.38801
3269	-0.20727	0.	-4.5e-002	0.27983
3279	-0.18545	0.	-4.5e-002	0.17839
3282	-0.16364	0.	-4.5e-002	0.10258
3285	-0.14182	0.	-4.5e-002	5.0071e-002
3291	-0.12	0.	-4.5e-002	2.9238e-002
