Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Magnetic Flux Density (T)
9	-0.12	0.	1.5e-002	1.1951
10	-0.10286	0.	1.5e-002	1.994
11	-8.5714e-002	0.	1.5e-002	2.4833
12	-6.8571e-002	0.	1.5e-002	2.6334
13	-5.1429e-002	0.	1.5e-002	2.6417
14	-3.4286e-002	0.	1.5e-002	2.5186
15	0.	0.	1.5e-002	1.2618
16	-1.7143e-002	0.	1.5e-002	2.0772
59	-1.7143e-002	0.	-1.5e-002	1.9502
60	0.	0.	-1.5e-002	1.1846
61	-3.4286e-002	0.	-1.5e-002	2.4851
62	-5.1429e-002	0.	-1.5e-002	2.632
63	-6.8571e-002	0.	-1.5e-002	2.6419
64	-8.5714e-002	0.	-1.5e-002	2.5225
65	-0.10286	0.	-1.5e-002	2.2402
66	-0.12	0.	-1.5e-002	1.6015
385	0.	0.	0.	0.87416
386	-0.12	0.	0.	1.1439
1810	-0.11143	0.	1.5e-002	1.58
1812	-0.12	0.	7.5e-003	1.1467
1818	-9.4286e-002	0.	1.5e-002	2.2363
1820	-0.10286	0.	0.	2.1035
1821	-0.11143	0.	7.5e-003	1.538
1826	-7.7143e-002	0.	1.5e-002	2.5582
1828	-8.5714e-002	0.	0.	2.5024
1829	-9.4286e-002	0.	0.	2.3562
1832	-6.e-002	0.	1.5e-002	2.6375
1834	-6.8571e-002	0.	0.	2.6377
1835	-7.7143e-002	0.	0.	2.5778
1838	-4.2857e-002	0.	1.5e-002	2.5801
1840	-5.1429e-002	0.	0.	2.6368
1841	-6.e-002	0.	0.	2.6418
1844	-2.5714e-002	0.	1.5e-002	2.2964
1846	-3.4286e-002	0.	0.	2.5014
1847	-4.2857e-002	0.	0.	2.5752
1850	-8.5714e-003	0.	1.5e-002	1.6678
1852	0.	0.	7.5e-003	1.0594
1858	-1.7143e-002	0.	0.	2.0035
1859	-2.5714e-002	0.	0.	2.2777
1860	-8.5714e-003	0.	7.5e-003	1.462
2085	-8.5714e-003	0.	-1.5e-002	1.5544
2086	-2.5714e-002	0.	-1.5e-002	2.2153
2088	-8.5714e-003	0.	-7.5e-003	1.402
2093	0.	0.	-7.5e-003	1.0142
2097	-4.2857e-002	0.	-1.5e-002	2.5584
2101	-6.e-002	0.	-1.5e-002	2.6369
2105	-7.7143e-002	0.	-1.5e-002	2.5822
2109	-9.4286e-002	0.	-1.5e-002	2.3784
2113	-0.11143	0.	-1.5e-002	1.9149
2115	-0.11143	0.	-7.5e-003	1.6589
2121	-0.12	0.	-7.5e-003	1.3569
1	0.	0.	2.25e-002	0.43867
2	-1.7143e-002	0.	2.25e-002	0.29796
3	-3.4286e-002	0.	2.25e-002	0.11125
4	-5.1429e-002	0.	2.25e-002	2.098e-002
5	-6.8571e-002	0.	2.25e-002	2.1274e-002
6	-8.5714e-002	0.	2.25e-002	0.10691
7	-0.10286	0.	2.25e-002	0.29727
8	-0.12	0.	2.25e-002	0.44582
9	-0.12	0.	1.5e-002	0.44582
10	-0.10286	0.	1.5e-002	0.29727
11	-8.5714e-002	0.	1.5e-002	0.10691
12	-6.8571e-002	0.	1.5e-002	2.1274e-002
13	-5.1429e-002	0.	1.5e-002	2.098e-002
14	-3.4286e-002	0.	1.5e-002	0.11125
15	0.	0.	1.5e-002	0.43867
16	-1.7143e-002	0.	1.5e-002	0.29796
59	-1.7143e-002	0.	-1.5e-002	0.29486
60	0.	0.	-1.5e-002	0.43894
61	-3.4286e-002	0.	-1.5e-002	0.10875
