Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Magnetic Flux Density (T)
115	-0.48	0.	6.e-002	0.81031
116	-0.456	0.	6.e-002	0.95693
117	-0.432	0.	6.e-002	1.2557
118	-0.384	0.	6.e-002	1.6786
119	-0.336	0.	6.e-002	1.9571
120	-0.288	0.	6.e-002	2.1191
121	-0.24	0.	6.e-002	2.1941
122	-0.192	0.	6.e-002	2.1258
123	-0.144	0.	6.e-002	1.965
124	-9.6e-002	0.	6.e-002	1.6685
125	-4.8e-002	0.	6.e-002	1.3291
126	0.	0.	6.e-002	0.81611
127	-2.4e-002	0.	6.e-002	1.0084
205	-2.4e-002	0.	-6.e-002	0.96366
206	0.	0.	-6.e-002	0.77371
207	-4.8e-002	0.	-6.e-002	1.2882
208	-9.6e-002	0.	-6.e-002	1.6823
209	-0.144	0.	-6.e-002	1.9884
210	-0.192	0.	-6.e-002	2.1322
211	-0.24	0.	-6.e-002	2.1923
212	-0.288	0.	-6.e-002	2.1475
213	-0.336	0.	-6.e-002	1.9206
214	-0.384	0.	-6.e-002	1.6998
215	-0.432	0.	-6.e-002	1.3177
216	-0.456	0.	-6.e-002	0.96972
217	-0.48	0.	-6.e-002	0.80693
595	0.	0.	0.	0.65062
596	-0.48	0.	0.	0.72374
1054	-4.8e-002	0.	0.	1.284
1055	-0.14247	0.	-7.4083e-019	1.9269
1056	-0.23681	0.	1.6421e-018	2.1727
1057	-0.312	0.	0.	2.0525
1058	-0.38325	0.	-6.5055e-019	1.6132
2668	-0.468	0.	6.e-002	0.87576
2670	-0.48	0.	3.e-002	0.71562
2676	-0.444	0.	6.e-002	1.0938
2678	-0.468	0.	3.e-002	0.8147
2681	-0.408	0.	6.e-002	1.4656
2683	-0.456	0.	3.e-002	0.98261
2684	-0.40763	0.	3.e-002	1.4268
2687	-0.36	0.	6.e-002	1.8169
2689	-0.38363	0.	3.e-002	1.6431
2692	-0.312	0.	6.e-002	2.038
2694	-0.324	0.	3.e-002	2.0043
2695	-0.35963	0.	3.e-002	1.7844
2699	-0.264	0.	6.e-002	2.1564
2701	-0.2624	0.	3.e-002	2.1457
2702	-0.3	0.	3.e-002	2.0856
2706	-0.216	0.	6.e-002	2.1598
2708	-0.2384	0.	3.e-002	2.1834
2711	-0.168	0.	6.e-002	2.045
2713	-0.16723	0.	3.e-002	2.026
2714	-0.2144	0.	3.e-002	2.1491
2717	-0.12	0.	6.e-002	1.8164
2719	-0.14323	0.	3.e-002	1.9447
2722	-7.2e-002	0.	6.e-002	1.4959
2724	-7.2e-002	0.	3.e-002	1.4736
2725	-0.11923	0.	3.e-002	1.795
2728	-3.6e-002	0.	6.e-002	1.1643
2730	-4.8e-002	0.	3.e-002	1.2978
2733	-1.2e-002	0.	6.e-002	0.89891
2735	0.	0.	3.e-002	0.68793
2741	-1.2e-002	0.	3.e-002	0.81165
2742	-3.6e-002	0.	3.e-002	1.1228
3104	-1.2e-002	0.	-6.e-002	0.85606
3105	-3.6e-002	0.	-6.e-002	1.1204
3106	-1.2e-002	0.	-3.e-002	0.78439
3107	-3.6e-002	0.	-3.e-002	1.1018
3113	0.	0.	-3.e-002	0.65934
3117	-7.2e-002	0.	-6.e-002	1.4818
3118	-4.8e-002	0.	-3.e-002	1.2797
3121	-0.12	0.	-6.e-002	1.8352
3122	-7.2e-002	0.	-3.e-002	1.4818
3123	-0.11923	0.	-3.e-002	1.8033
3128	-0.168	0.	-6.e-002	2.06
3129	-0.14323	0.	-3.e-002	1.9571
3132	-0.216	0.	-6.e-002	2.1621
3133	-0.16723	0.	-3.e-002	2.0295
3134	-0.2144	0.	-3.e-002	2.1523
3138	-0.264	0.	-6.e-002	2.1697
3139	-0.2384	0.	-3.e-002	2.1825
3142	-0.312	0.	-6.e-002	2.0338
3143	-0.2624	0.	-3.e-002	2.1599
3144	-0.3	0.	-3.e-002	2.0998
3146	-0.36	0.	-6.e-002	1.8094
3147	-0.324	0.	-3.e-002	1.9858
3148	-0.35963	0.	-3.e-002	1.7664
3150	-0.408	0.	-6.e-002	1.5078
3151	-0.38363	0.	-3.e-002	1.6544
3154	-0.444	0.	-6.e-002	1.1316
3155	-0.456	0.	-3.e-002	1.0119
3156	-0.40763	0.	-3.e-002	1.4601
3159	-0.468	0.	-6.e-002	0.88095
3160	-0.468	0.	-3.e-002	0.81915
